SampleTimeFine,D_Leg_Acc_X,D_Leg_Acc_Y,D_Leg_Acc_Z,L_Wrist_Acc_X,L_Wrist_Acc_Y,L_Wrist_Acc_Z,R_Wrist_Acc_X,R_Wrist_Acc_Y,R_Wrist_Acc_Z,Activity
1520397736,-0.751088,0.786278,-0.309349,3.100598,2.651479,-2.431806,6.89816,-4.153271,4.051846,0
1520431070,-0.561439,0.967003,-0.286736,5.30439,4.345731,-4.660933,4.491399,-2.275712,2.481177,0
1520464404,-0.350707,0.687803,-0.194853,6.317184,5.137815,-4.182034,0.680186,-0.189142,1.119265,0
1520497738,-0.119148,0.318121,-0.244267,5.398839,5.549221,-4.539243,-2.374229,1.44631,-0.101761,0
1520531072,-0.407566,0.094829,-0.355338,1.806917,3.98853,-3.71476,-5.480571,2.609021,-1.409652,0
1520564406,-0.094114,-0.038294,0.187823,-1.877934,1.628569,-2.149827,-7.310171,3.17669,-2.484478,0
1520597740,0.177806,-0.121223,-0.069703,-3.617244,-0.372737,0.626953,-8.271006,3.460196,-2.744942,0
1520631074,0.452136,-0.643567,-0.161613,-5.236902,-2.051178,1.593978,-7.938362,2.417782,-4.092438,0
1520664408,0.729694,-0.881477,0.506988,-5.596774,-5.437789,7.732218,-6.117271,1.851671,-4.458549,0
1520697742,0.851215,-0.323515,0.381271,-3.935308,-4.56855,9.229866,-4.114788,1.47433,-3.833779,0
1520731076,0.211715,-0.14611,0.318097,-2.136675,-4.982067,7.632059,-1.970224,1.506023,-2.860812,0
1520764410,0.3241,-0.08131,0.519614,-1.098004,-3.574371,6.39473,1.575758,1.707662,0.565731,0
1520797744,0.275485,-0.333789,0.155332,-1.044926,-1.667716,4.311027,2.549379,0.372364,-0.219074,0
1520831078,-0.320508,0.371129,0.089041,0.047771,0.938278,0.448916,4.291957,-1.186624,-0.74289,0
1520864412,-0.430274,0.20456,-0.122396,1.849936,2.279081,-2.094851,5.183552,-0.836666,2.836567,0
1520897746,-0.348775,-0.376938,-0.145926,3.084091,3.094723,-3.819294,6.393466,-4.244526,6.513714,0
1520931080,-0.076531,-0.43839,-0.144567,3.873523,3.541734,-6.408082,5.68276,-4.173356,6.015635,0
1520964414,-0.340986,0.320432,-0.463864,5.118082,4.818579,-8.25932,4.219643,-2.372409,4.599211,0
1520997748,-0.479245,0.419681,-0.185102,3.738035,3.315983,-8.548621,2.12403,-0.367242,3.380143,0
1521031082,-0.40016,0.242071,-0.184191,1.639752,3.172834,-7.189945,-1.28094,1.014446,1.391725,0
1521064416,0.172031,-0.048271,0.134143,-0.852828,1.896921,-3.216804,-3.113433,0.615582,-0.013204,0
1521097750,0.385502,-0.219135,0.038454,-2.671754,-0.282029,0.359172,-3.641414,0.772813,-2.301491,0
1521131084,0.425974,-0.495383,0.100659,-3.662672,-2.049723,3.666605,-4.226638,0.972739,-3.871335,0
1521164418,0.00716,-0.231532,0.100036,-3.987335,-4.365197,5.949935,-3.64356,1.186083,-5.31745,0
1521197752,-0.415116,0.392537,-0.101281,-2.203475,-5.244983,6.986357,-2.623422,1.012998,-4.885954,0
1521231086,-0.339574,0.604685,0.083314,-1.056396,-5.52648,8.676281,-1.727922,1.458353,-2.984852,0
1521264420,0.037707,0.016909,0.475456,-1.087342,-3.214951,6.568424,-0.143866,2.424792,-2.350633,0
1521297754,0.152126,-0.186976,0.331313,-0.880509,-1.674558,5.182248,-0.309967,3.642299,-0.805791,0
1521331088,0.257405,-0.037744,0.071267,-0.389345,0.974338,3.111009,1.195038,2.154173,2.624851,0
1521364422,-0.014455,0.598684,0.390728,-0.006706,2.30783,0.095016,3.523535,0.117651,4.909614,0
1521397756,-0.548396,0.71923,0.216585,1.409741,3.321899,-3.797513,3.738072,-1.904512,8.276743,0
1521431090,-0.369799,0.348641,0.321848,2.148532,3.193882,-5.887229,4.136442,-6.75423,7.271889,0
1521464424,-0.432557,0.0773,0.061157,1.398283,5.206312,-7.328656,4.003981,-4.255903,6.55504,0
1521497758,-0.315826,0.346558,0.523063,0.259116,3.750827,-6.725504,3.389418,-2.155683,7.319693,0
1521531092,-0.015682,0.330298,0.377962,-0.519951,1.283692,-3.901659,1.137852,-0.196121,7.28977,0
1521564426,0.297928,-0.186913,0.614083,-1.878064,-2.425002,1.241114,1.117243,-0.444224,4.57945,0
1521597760,0.233444,-0.53591,0.421271,-2.764542,-5.037328,6.342159,-1.854678,1.101654,0.738734,0
1521631094,0.429757,-0.092252,0.590123,0.288401,-6.085179,11.20694,-4.129724,2.303675,-3.001452,0
1521664428,0.060738,0.821028,0.621896,1.342611,-6.955449,9.528271,-5.325928,2.755514,-7.905572,0
1521697762,-0.228328,0.929164,0.336795,1.739482,-3.6306,7.603489,-5.165423,1.218704,-8.517231,0
1521731096,-0.246555,0.472506,0.227448,2.500791,-0.673646,7.756315,-4.502626,1.708794,-7.292706,0
1521764430,-0.306299,-0.020783,-0.0096,1.100731,-0.271076,6.598997,-1.971942,1.502897,-4.788786,0
1521797764,-0.756623,-0.142657,-0.209203,0.433916,0.451627,3.907028,1.031402,-0.669996,3.026364,0
1521831098,-0.608796,-0.423852,-0.096248,0.516853,2.207258,2.391397,4.063957,-4.425656,8.726234,0
1521864432,-0.657801,-0.65307,-0.420977,0.833519,2.165418,0.349537,5.325574,-8.754843,8.521938,0
1521897766,-0.730138,-0.373062,-0.30231,1.914294,1.240182,0.001694,4.63723,-7.856118,8.787191,0
1521931100,-0.989747,0.111191,-0.05393,1.063769,2.107602,-3.905612,3.620603,-2.84982,6.891613,0
1521964434,-0.131094,0.517848,-0.05449,1.000965,1.381518,-3.495817,1.331028,0.233268,7.507006,0
1521997768,0.278207,0.836603,0.097842,0.888149,0.628215,-3.950995,1.845387,0.497593,5.01216,0
1522031102,0.358436,0.855605,0.502736,0.697417,0.693203,-3.730321,-0.016959,2.131765,3.179033,0
1522064436,0.782279,0.716815,0.527521,0.357368,1.215546,-2.88008,-0.708496,2.452765,1.109822,0
1522097770,0.875811,0.609141,0.475253,-0.741536,0.317825,-4.748154,-2.589128,2.689349,-0.865584,0
1522131104,0.780312,0.762948,0.398352,-3.07921,-1.100536,-2.92504,-3.688476,2.636978,-2.852466,0
1522164438,0.558657,-0.087455,0.143021,-2.491789,-0.762253,7.774942,-4.247834,2.023821,-4.459502,0
1522197772,0.222949,-0.621686,-0.065917,-2.459478,-2.361841,7.99617,-3.987369,1.786101,-4.338538,0
1522231106,-0.143292,-0.746276,-0.167038,-1.745634,-3.178537,5.70215,-3.282655,1.837001,-5.234687,0
1522264440,-0.15031,-0.7715,-0.210756,-1.102286,-2.396411,5.774736,-2.474541,0.954305,-6.779825,0
1522297774,-0.294413,-1.011604,-0.342721,-1.993932,-2.949043,5.046687,-2.614057,0.999744,-5.741554,0
1522331108,-0.291221,-0.577054,-0.116771,-1.502501,-1.965115,4.202247,-2.993252,1.186375,-4.659705,0
1522364442,-0.080228,-0.10739,-0.262009,-0.732922,0.020486,1.576888,-0.231589,0.722086,-3.647726,0
1522397776,0.064223,0.248852,-0.129764,0.250847,0.488191,-0.321778,4.175748,-1.04027,-1.033686,0
1522431110,0.271717,0.392514,0.046526,0.989843,1.50515,-1.773622,8.831491,-1.687569,5.483,0
1522464444,0.083641,0.597941,0.039994,1.862266,2.101417,-3.838052,9.623782,-3.218415,2.910255,0
1522497778,0.162637,0.352353,0.010128,2.016995,1.791516,-4.962398,5.7713,-2.313694,0.034729,0
1522531112,0.057997,0.050512,-0.033219,2.657683,1.831441,-6.018404,3.667822,-1.617061,4.195844,0
1522564446,0.290685,-0.221444,-0.120821,3.123765,1.215606,-6.319903,0.693633,0.373446,2.097301,0
1522597780,0.181595,-0.15443,0.220799,2.708321,1.12528,-5.464414,-0.81429,0.150573,1.524693,0
1522631114,0.085404,0.151964,0.098198,2.714786,1.746067,-6.553035,-2.987014,0.912947,0.385655,0
1522664448,-0.081002,0.097022,-0.132554,-0.722583,-1.862127,-6.132751,-3.664224,0.424797,-1.043648,0
1522697782,-0.059938,-0.244953,-0.164856,-3.352795,-0.667215,-0.16992,-3.637483,1.153314,-1.400545,0
1550531672,0.144165,0.01168,-0.030263,0.014789,-0.227565,0.178394,0.065549,0.038803,0.006577,0
1550565006,0.1307,0.063541,-0.077168,0.195674,-0.472973,0.563508,-0.147826,-0.089971,0.237771,0
1550598340,0.198186,0.025193,0.012834,0.292886,-0.369214,0.617858,-0.37721,-0.148677,0.432803,0
1550631674,0.104906,0.084567,0.054398,0.213836,-0.027233,0.307986,-0.61555,-0.364571,0.831066,0
1550665008,-0.01206,0.042432,-0.025845,0.435545,0.131877,0.452391,-1.690714,-0.733726,2.433557,0
1550698342,-0.021871,0.149592,-0.055151,1.206006,0.166604,1.107572,-3.696588,-1.138068,5.062398,0
1550731676,0.15959,0.107982,0.078835,1.435214,0.61348,1.660106,-4.69528,-2.406288,8.60672,0
1550765010,0.161645,0.045378,0.089308,1.390594,0.812523,2.04401,-5.296592,-2.953813,9.348625,0
1550798344,0.050566,-0.022579,0.107867,2.199629,0.708912,3.048325,-4.012729,-0.712406,9.349169,0
1550831678,-0.160621,0.129198,0.174465,2.779699,0.656335,3.275495,-0.59435,0.232486,8.949995,0
1550865012,-0.270338,0.070936,0.059356,2.62865,0.288656,3.640735,1.786802,1.141029,4.839638,0
1550898346,-0.887163,0.103443,0.068203,1.895991,0.238069,4.394819,1.964674,0.835295,-0.67063,0
1550931680,-1.595467,-0.116606,0.231973,0.989716,-0.995189,5.568961,0.430503,1.50845,-3.558605,0
