Wrist_Acc_X,Wrist_Acc_Y,Wrist_Acc_Z,Upper_Leg_Acc_X,Upper_Leg_Acc_Y,Upper_Leg_Acc_Z,Activity
0.990366,-0.50986,-3.794896,-0.006593,1.377863,-2.251733,1
0.549361,-0.969758,-3.197315,0.301774,0.291111,-2.646054,1
0.042688,-1.757104,-2.661143,-0.789833,1.239502,-0.897202,1
-0.01291,-2.387117,-1.9355,-0.584757,1.028316,-0.255097,1
0.457883,0.390839,0.146711,-0.043645,0.090744,0.117548,2
0.511402,0.09594,0.281717,0.176544,-0.040697,0.126331,2
0.330463,-0.108635,0.404724,0.155738,-0.090829,0.14502,2
0.099152,-0.048785,0.476007,0.086483,-0.231514,0.104495,2
-0.060487,-0.010669,0.369592,0.079862,-0.170201,0.145151,2
-0.076882,-0.062283,0.133718,0.086691,-0.127869,0.128971,2
0.035891,-0.261706,0.004467,0.08208,0.035469,0.128782,2
0.083669,-0.404213,-0.083143,0.003998,0.162267,0.115784,2
0.085589,-0.403073,-0.072425,0.037695,0.056056,0.113456,2
0.063425,-0.248083,-0.060966,0.023643,0.0208,0.115244,2
0.025704,-0.119781,0.04326,-0.048376,0.170894,0.156767,2
-0.003293,-0.065202,0.162084,-0.022388,0.19745,0.103518,2
-0.086109,-0.157304,0.182545,-0.219114,0.168145,0.145935,2
-0.161311,-0.196516,0.108638,-0.306962,0.144267,0.122399,2
-0.257282,-0.178191,0.082948,-0.270745,-0.141202,0.10356,2
-0.274677,-0.072945,-0.196287,-0.115515,-0.200523,-0.027435,2
-0.148034,0.149035,-0.189429,0.00974,0.12416,0.160308,2
0.018232,0.294298,0.004179,-0.118676,0.310823,0.302546,2
0.144795,0.426448,0.004648,-0.023641,0.205529,0.185134,2
0.299583,0.633092,0.078406,0.019391,-0.014965,0.133218,2
0.320867,0.413686,0.074686,-0.271211,-0.436097,0.217234,2
0.280553,0.114518,0.086645,-0.205927,-0.466553,0.021201,2
0.110283,-0.06199,-0.076151,-0.184416,-0.307221,-0.006896,2
-0.040951,-0.209831,-0.211519,-0.191572,0.390877,0.127226,2
-0.215692,-0.356726,0.029286,0.074216,0.542811,0.054162,2
-0.343251,-0.439708,0.457038,-0.114105,0.44451,0.142928,2
-0.280617,-0.253753,0.504793,-0.267157,0.602416,0.280999,2
-0.252456,-0.409368,0.613956,-0.578571,0.410211,0.246832,2
-0.034494,-0.604372,0.700644,-0.479863,0.263913,0.212378,2
0.08382,-0.669908,0.112619,0.05685,0.143939,0.032619,2
0.161698,-0.73279,-0.335998,0.242174,0.037926,0.02122,2
0.246999,-0.736572,-0.277624,-0.042933,-0.033896,-0.072292,2
0.269108,-0.743635,-0.10431,-0.188566,0.176503,0.196107,2
0.392765,-0.561837,-0.060074,-0.227822,0.278336,0.194911,2
0.389965,-0.328252,-0.055363,-0.092772,0.333727,0.143596,2
0.354098,-0.177445,0.011887,-0.08675,0.47196,0.141602,2
0.404964,-0.171859,0.042908,-0.125743,0.537053,0.093555,2
0.436241,-0.096097,0.124891,-0.292142,0.508693,0.13923,2
0.281366,0.105653,0.169059,-0.17534,0.71375,0.154455,2
0.149706,0.268362,0.078817,-0.014178,1.070666,0.048828,2
-0.098783,0.473401,0.167325,-0.038455,1.079817,0.001397,2
-0.301462,0.466942,-0.034142,-0.119209,1.121726,-0.084064,2
-0.918096,0.61503,-0.088195,0.410908,1.530617,-0.173057,2
-0.578145,0.960133,-0.919763,1.284758,1.209798,-0.524555,2
-0.656946,0.570997,-0.935524,1.331245,0.101803,-0.766315,2
-0.452347,0.41378,-0.427946,1.45021,-1.36454,1.634356,2
-0.142469,0.485358,0.92431,-0.59001,-3.469896,2.787489,2
-0.466868,0.822884,1.27396,-1.216442,-2.984086,1.620431,2
-0.657184,0.808445,0.488316,-0.406473,-1.700828,-0.409212,2
-0.783241,0.80069,-0.184555,-0.457642,-1.372736,-0.761966,2
-0.748417,0.597189,-0.475219,-0.445413,-0.754505,-1.284625,2
-0.560741,0.318936,-0.403615,0.446923,0.256533,-1.512805,2
-0.378437,0.100833,0.082204,1.516491,1.341411,-0.236831,2
-0.446168,-0.055568,0.383506,0.856738,0.189379,0.901342,2
-0.391237,-0.083572,0.495848,0.622682,0.354394,1.187717,2
-0.381005,-0.173344,0.074061,-0.587834,0.738238,0.340937,2
-0.217974,-0.318437,-0.253663,-0.787376,-0.099457,-0.65657,2
-0.151377,-0.400283,-0.175131,-0.876746,0.118916,-0.196835,2
-0.179007,-0.371464,-0.000195,0.239852,0.406372,0.297777,2
-0.042661,-0.250633,0.15213,0.504169,0.275875,0.316681,2
0.010578,-0.376472,0.344055,0.182637,-0.10744,0.164112,2
-0.010824,-0.512698,0.199632,-0.051194,-0.042708,0.110207,2
-0.084445,-0.36415,-0.115514,-0.154703,0.223148,0.010541,2
-0.076187,-0.146492,-0.209842,-0.020888,0.364357,0.110244,2
0.005755,-0.027213,-0.016234,0.220946,0.285918,0.125657,2
0.079049,0.105555,0.130905,0.255887,-0.191568,0.298955,2
-0.208661,0.287613,0.369054,-0.168361,-0.461069,0.137073,2
-0.476759,0.270258,0.400434,-0.329346,-0.458862,0.129597,2
-0.579617,0.545138,0.236498,0.140794,-0.345177,0.037882,2
-0.650645,0.783247,0.102474,0.476616,-0.101396,0.173682,2
-0.530658,0.646403,-0.145237,0.725751,0.028552,-0.128077,2
-0.33801,0.503055,-0.172861,0.805985,0.310309,0.646087,2
-0.303773,0.364649,0.024108,0.123789,-0.237251,0.580256,2
-0.270172,0.578297,-0.335216,-0.451109,-0.271722,-0.076391,2
-0.30043,0.771702,-0.153402,-0.363515,-0.390592,-0.310806,2
-0.332807,0.541202,-0.086603,-0.02866,-0.621939,-0.48496,2
-0.43333,0.530895,-0.03532,0.278586,-0.107289,-0.178537,2
-0.459603,0.545671,0.321926,0.216409,0.927323,1.076189,2
-0.530954,0.351775,0.39137,0.267764,-0.50146,0.520469,2
-0.560825,0.349993,0.383263,0.028034,-0.045339,0.447257,2
-0.553282,0.274771,0.145284,-0.350326,-0.379427,0.211084,2
-0.514992,0.118,0.001535,-0.206986,-0.342513,-0.284741,2
-0.394765,0.047512,-0.023415,-0.203458,-0.345016,0.132848,2
-0.177156,-0.021462,0.144363,-0.159781,-0.094319,0.437018,2
-0.130176,-0.125462,0.246693,-0.037964,-0.29699,0.362573,2
-0.002839,-0.117974,0.097955,0.306321,-0.359359,0.112202,2
-0.012556,-0.039005,0.131964,0.177125,-0.45327,0.071366,2
-0.04373,0.000932,0.125772,-0.110231,-0.524786,0.093333,2
0.021142,0.322306,0.085841,0.064282,-0.414254,0.026125,2
0.112494,0.20056,0.080416,0.305935,-0.422963,-0.070814,2
