Wrist_Acc_X,Wrist_Acc_Y,Wrist_Acc_Z,Upper_Leg_Acc_X,Upper_Leg_Acc_Y,Upper_Leg_Acc_Z,Activity
-0.430588,0.108263,-1.253422,-0.084897,-0.064128,-0.0914,1
0.001438,0.249923,-1.481316,-0.469271,-0.23647,-0.185346,1
0.101527,0.012459,-1.359787,-0.15383,0.01143,-0.199915,1
-0.383591,0.053747,-1.147556,-0.296745,-0.074212,0.004382,1
-0.101817,0.1007,-1.17688,-0.245875,-0.102398,-0.096166,1
0.048943,0.034571,-1.106434,-0.213733,-0.329911,-0.18427,1
0.256511,-0.164953,-0.641169,-0.457639,-0.276358,0.22273,1
0.180878,-0.140723,-0.544147,-0.309772,0.113024,-0.014004,1
0.084022,-0.273486,-0.87869,-0.322557,0.129036,-0.376205,1
-0.01431,-0.377678,-0.877231,-0.766727,-0.342826,-0.115651,1
-0.15463,-0.320989,-0.822763,-0.501247,0.425121,0.05565,1
-0.143049,-0.316542,-0.979569,0.98949,0.2666,-0.12776,1
-0.319494,-0.477618,-0.872807,1.187433,0.642399,-0.212594,1
-0.319101,-0.388426,-0.83781,0.449107,0.041299,-0.073366,1
-0.327326,-0.436452,-0.657554,0.020593,0.615675,0.098418,1
-0.386799,-0.525292,-0.523541,0.159184,-0.219818,-0.016116,1
-0.429731,-0.475316,-0.335441,-0.170009,-0.067746,0.049478,1
-0.504284,-0.493784,-0.241241,0.054977,0.332266,0.250916,1
-0.470061,-0.584107,-0.157471,0.477799,0.577264,0.13426,1
-0.484182,-0.589493,-0.059689,0.528449,0.779582,0.318343,1
-0.347775,-0.567797,-0.014125,0.199047,0.65907,0.228005,1
-0.278541,-0.594844,0.0626,0.061781,0.693584,0.282867,1
-0.190734,-0.628452,0.148964,0.227739,0.495057,0.046273,1
-0.19781,-0.544948,0.20542,0.240523,0.568018,0.249004,1
-0.059466,-0.38076,0.121877,0.072445,0.191508,0.152878,1
-0.015903,-0.281739,0.12846,-0.088049,-0.083975,0.096394,1
0.029117,-0.081018,0.060832,-0.310509,-0.249384,0.133761,1
0.036449,-0.047757,0.084018,-0.019684,0.038427,0.131535,1
0.082454,-0.01523,0.033953,0.13639,-0.018515,0.046403,1
0.163164,0.130305,-0.09826,0.022688,0.249702,0.175477,1
0.102881,0.111742,-0.103973,0.045619,0.255726,0.182487,1
0.111837,0.13038,-0.227846,-0.10054,0.137259,0.115123,1
0.069215,0.126124,-0.192536,-0.056236,-0.169481,0.076317,1
-0.008432,0.06836,-0.125112,0.067049,0.182158,0.180642,1
-0.006202,0.127146,-0.110765,0.066521,0.404738,0.12013,1
0.02075,0.076764,-0.077465,0.028726,0.07916,0.186521,1
-0.010322,0.018355,-0.052637,-0.096872,-0.220713,0.087993,1
-0.036728,0.013875,0.117235,-0.100685,-0.165288,0.105177,1
-0.038594,0.05709,0.129024,-0.02082,-0.036027,0.1442,1
-0.066769,0.121138,0.014421,0.053415,-0.133798,0.124249,1
-0.088534,0.159267,-0.110681,-0.025203,-0.104464,0.122094,1
-0.028914,0.18226,-0.127618,0.161892,0.152275,0.147685,1
-0.016548,0.163242,-0.128455,-0.024618,0.197154,0.109437,1
0.013426,0.160761,-0.008964,0.077081,0.000137,0.116832,1
0.077635,0.189613,0.048509,0.053911,0.257758,0.152817,1
0.033113,0.130416,0.049924,-0.016629,0.213944,0.136226,1
0.025423,0.091172,-0.000154,-0.066371,-0.081477,0.087357,1
-0.038288,0.079873,-0.022274,0.075507,-0.029153,0.123769,1
-0.009209,0.017555,-0.065934,0.081341,0.026987,0.098597,1
-0.028597,-0.015322,-0.10155,-0.12587,0.001798,0.204484,1
-0.022736,-0.00202,-0.197688,0.041503,-0.003483,0.09239,1
-0.092018,-0.042404,-0.156468,0.007686,0.270898,0.211481,1
-0.003577,-0.00701,-0.187501,-0.070079,0.233702,0.280891,1
0.015229,-0.050011,0.033098,0.048226,0.030084,0.050642,1
0.088488,-0.052232,0.104196,0.227041,-0.089062,-0.023762,1
0.051764,-0.061294,0.170465,0.041873,-0.099126,0.072666,1
0.021256,-0.077837,0.228262,-0.1996,0.040412,0.25369,1
-0.002004,-0.031869,0.145754,0.021467,-0.143758,0.074526,1
-0.038854,-0.054215,0.058913,0.011322,-0.014054,0.099165,1
-0.110585,-0.058182,-0.023384,-0.087779,0.068614,0.229262,1
-0.095999,-0.048168,-0.021133,0.015533,-0.034836,0.160767,1
-0.123065,-0.055589,0.085814,0.074771,-0.045663,0.056516,1
-0.094837,-0.04006,0.072654,-0.123103,0.08134,0.188308,1
-0.06684,-0.030391,0.052493,-0.024397,-0.043677,0.139997,1
-0.065106,0.009689,-0.001773,-0.002093,-0.030947,0.079113,1
-0.009475,0.039407,-0.017242,-0.013268,0.040043,0.163952,1
-5e-06,0.030844,0.010285,0.006515,-0.109401,0.148608,1
0.008326,0.013484,0.017754,0.020271,-0.033373,0.113067,1
0.046033,0.067266,-0.03469,-0.000175,-0.016897,0.11764,1
0.007139,0.110578,-0.019608,0.002582,0.005961,0.108216,1
0.017695,0.034857,0.029148,-0.130455,-0.072619,0.201549,1
-0.008111,0.020603,-0.022182,-0.021614,-0.023849,0.077793,1
-0.058415,-0.007513,-0.002082,0.061552,0.073835,0.108776,1
-0.015734,0.023145,0.010555,-0.066985,0.145949,0.215597,1
0.066863,0.000844,0.026803,0.036861,0.018371,0.099169,1
0.008502,-0.033811,0.014042,0.058276,0.00726,0.09812,1
0.022088,-0.017639,-0.009009,-0.094313,0.01109,0.187891,1
0.016604,-0.046333,0.003936,-0.014935,-0.089083,0.125833,1
0.031789,-0.027862,-0.00724,0.008024,0.010877,0.08938,1
0.035553,-0.046511,0.002776,,,,1
0.787979,-0.516886,0.574003,-0.45716,0.201479,-0.003354,2
0.632096,-0.662639,0.188668,-0.807015,-0.029972,0.331288,2
0.517025,-1.031491,-0.160664,-0.098075,-0.251877,0.239545,2
0.59261,-1.254077,0.051924,0.389038,-0.232569,-0.040728,2
0.65487,-1.290096,0.454351,-0.495721,-0.160072,0.153461,2
0.65657,-1.148546,0.383767,-0.518151,0.006007,0.095451,2
0.432399,-1.123271,-0.000981,-0.034181,0.347686,0.014181,2
0.154853,-0.956682,-0.342301,0.142242,0.534146,0.285446,2
0.124695,-0.545698,-0.415306,0.151557,0.39955,0.203245,2
0.303717,-0.08083,-0.300416,0.008626,-0.094439,0.155068,2
0.412394,0.219568,-0.271111,-0.40335,-0.352517,0.067556,2
0.296052,0.328835,-0.249881,-0.095086,-0.263843,0.045863,2
0.156291,0.321247,-0.067321,0.195877,-0.083694,0.159347,2
-0.04242,0.420253,0.08067,0.277758,-0.03691,0.213364,2
-0.155704,0.560853,0.169172,0.036472,0.032742,0.112334,2
-0.293356,0.763544,0.187303,-0.17075,0.086956,0.068815,2
-0.406348,0.830489,0.040773,-0.219213,0.197555,0.182997,2
-0.502405,0.87892,-0.120566,-0.210387,0.197734,0.098728,2
-0.520347,0.825854,-0.015345,-0.123013,0.116716,0.151143,2
-0.441397,0.619434,0.020592,-0.012303,-0.016397,0.127165,2
-0.304719,0.539381,0.048653,0.059317,-0.036571,0.102506,2
-0.202396,0.360464,0.065585,0.027521,0.035917,0.136744,2
-0.145318,0.208937,0.033056,-0.123247,0.007923,0.146789,2
-0.081641,0.071826,0.029992,-0.221866,-0.027867,0.094155,2
0.01414,-0.035843,-0.026582,-0.14055,-0.017794,0.14069,2
0.085582,-0.180513,-0.026789,-0.039924,-0.014836,0.13816,2
0.105213,-0.310444,-0.066493,-0.06435,0.084876,0.109971,2
0.128369,-0.399734,-0.112438,-0.116744,0.037708,0.139236,2
0.175948,-0.44378,-0.136433,-0.152614,-0.007581,0.070831,2
0.177725,-0.496191,-0.126895,-0.223384,0.021918,0.131147,2
0.154783,-0.462625,-0.136421,-0.196803,0.108458,0.12727,2
0.178637,-0.526863,-0.171914,-0.064572,0.037642,0.162873,2
0.167999,-0.555905,-0.140854,-0.0553,-0.017005,0.107447,2
0.140608,-0.487023,-0.123678,-0.137369,0.079461,0.130265,2
0.098921,-0.477036,-0.089396,-0.039805,-0.024093,0.130774,2
0.093418,-0.37552,-0.05508,-0.103497,0.048192,0.160098,2
0.068699,-0.20916,0.007477,-0.07149,0.001523,0.149602,2
-2.9e-05,-0.069435,-0.001163,-0.018888,0.031292,0.109802,2
0.060638,0.012213,-0.065646,-0.03289,0.033611,0.184318,2
0.018707,0.121423,-0.01158,-0.010024,0.026522,0.15409,2
0.076018,0.316802,0.037166,0.025801,-0.015942,0.188547,2
0.111225,0.409161,-0.012286,0.164746,-0.030565,0.174931,2
0.103386,0.556754,0.040104,0.026068,-0.08807,0.158128,2
0.112457,0.625456,0.035753,0.014228,-0.239331,0.168594,2
0.067628,0.666962,0.016166,-0.005048,-0.021607,0.172908,2
0.055741,0.706895,0.042434,0.173527,0.091672,0.203326,2
0.058525,0.735458,0.001691,0.300998,0.108016,0.331923,2
0.022235,0.7174,0.008528,0.329819,-0.025498,0.118459,2
0.089158,0.678617,-0.028726,0.313702,0.006462,-0.057324,2
-0.000834,0.684957,-0.044041,0.2894,0.205804,-0.01908,2
-0.047618,0.687585,0.001129,0.209338,0.308617,0.144608,2
0.044001,0.604118,-0.040693,0.220361,0.496873,0.312634,2
0.043802,0.472503,-0.04174,0.257553,0.808177,0.568902,2
0.020064,0.410122,-0.032316,0.462131,0.725915,0.341701,2
-0.033859,0.306356,-0.055636,0.537134,0.22675,0.281827,2
0.020863,0.33283,-0.178953,0.493935,-0.146341,0.358369,2
-0.18946,0.095512,-0.002606,0.420774,-0.02249,0.172532,2
-0.14563,0.262577,-0.136189,0.078875,0.027734,0.303833,2
-0.106859,0.035688,-0.088367,0.024734,-0.109575,0.121695,2
-0.154165,-0.125047,-0.06381,-0.3816,-0.142613,0.011379,2
-0.272187,-0.146945,-0.075335,-0.483098,-0.828672,-0.204814,2
-0.427685,-0.186851,0.010427,-0.9568,-1.556783,-0.440254,2
-0.410145,-0.260248,0.058082,-1.009002,-1.234188,-0.339797,2
-0.389469,-0.489543,0.045753,-1.016538,-0.92772,-0.343372,2
-0.299148,-0.276731,-0.112264,-0.714867,-0.796595,-0.148906,2
-0.246204,-0.168382,-0.103225,-0.331567,-0.662883,0.018014,2
-0.228726,-0.126968,-0.025128,-0.00451,-0.444673,0.127069,2
-0.358379,-0.156589,0.028864,0.227308,-0.094988,0.211855,2
-0.3599,-0.068335,0.018225,0.464997,0.318497,0.186788,2
-0.312493,-0.011319,0.038279,0.44762,0.594039,0.205808,2
-0.283044,0.039957,0.022753,0.221802,0.403676,0.373544,2
-0.215254,0.131955,-0.028893,0.422544,0.257984,0.336829,2
-0.102817,0.198768,-0.042902,0.369762,0.765375,0.312946,2
0.007904,0.301603,-0.034507,0.327522,1.032176,0.249321,2
0.136885,0.367134,-0.045813,0.423528,0.995023,0.199577,2
