SampleTimeFine,D_Upper_Arm_Acc_X,D_Upper_Arm_Acc_Y,D_Upper_Arm_Acc_Z,L_Wrist_Acc_X,L_Wrist_Acc_Y,L_Wrist_Acc_Z,R_Wrist_Acc_X,R_Wrist_Acc_Y,R_Wrist_Acc_Z,Activity
2680887612,1.651712,-0.338054,1.027515,-4.111679,-0.772473,1.761744,-6.185505,0.817245,-4.434275,0
2680920946,0.924917,-0.369416,0.084394,-5.70645,-1.859267,4.534299,-7.361375,1.165341,-3.607529,0
2680954280,1.030052,0.927842,-1.007548,-6.477539,-4.016521,6.018811,-7.357335,0.972101,-4.680993,0
2680987614,0.89176,0.683436,-0.78266,-4.757231,-3.31289,5.077551,-7.007987,0.866307,-5.021147,0
2681020948,0.52127,1.003618,-0.578369,-2.442386,-2.309626,4.408939,-5.707598,0.992191,-3.869813,0
2681054282,0.385538,1.0493,0.495812,-1.267531,-0.86433,4.773327,-4.54568,0.83844,-3.720669,0
2681087616,-0.047605,0.970855,0.700801,-0.218036,-0.003603,4.615154,-1.682196,0.265566,-4.603511,0
2681120950,-0.284215,1.213764,0.117112,0.343441,1.36032,5.537847,3.232314,1.757292,-2.498547,0
2681154284,-0.393521,-0.195862,-1.17387,1.227422,1.647553,3.641866,5.022635,0.865,2.072612,0
2681187618,-0.718382,-0.641685,-1.375756,1.668413,1.844403,1.379314,9.11056,-0.654549,4.606763,0
2681220952,-0.813269,-3.364588,-2.398185,1.367924,1.898129,-0.481213,9.360955,-2.308216,5.192764,0
2681254286,-1.617418,-3.329788,-1.09624,1.829888,1.773941,-2.940562,9.211684,-3.776163,4.964821,0
2720888412,0.209116,-1.085971,1.454814,1.846859,-0.326712,2.94119,-6.850541,-4.671249,13.197342,0
2720921746,0.814183,0.747582,1.790248,1.665571,-0.324323,2.875793,-6.287511,-0.853997,13.488733,0
2720955080,1.359026,1.879522,1.713885,1.570951,-0.338594,3.093264,-2.001357,0.865257,12.101885,0
2720988414,2.253326,2.753822,2.121192,1.651123,-0.908459,3.220327,4.588747,0.300472,7.167994,0
2721021748,1.894602,2.161425,2.522071,1.173094,-1.322299,3.601421,4.042785,2.123595,-2.221016,0
2721055082,1.023734,2.157083,2.582565,0.224616,-0.337682,3.18952,2.684676,0.157495,-5.576245,0
2721088416,0.229558,2.273071,1.459455,-0.261131,0.044511,4.382748,1.739512,-0.985021,-5.694091,0
2721121750,-1.595784,1.57897,1.373706,-1.025699,0.344501,4.032201,-0.110417,-2.970667,-6.830528,0
2721155084,-2.188368,0.902269,0.048472,-1.080411,1.338224,3.803941,-1.709008,-3.283383,-6.110806,0
2721188418,-1.956344,0.068697,-1.232603,-1.68728,1.394666,3.405873,-2.335069,-1.852947,-4.732799,0
2721221752,-1.739458,-0.992326,-1.471837,-0.962916,1.477368,1.827492,-1.090015,-0.885523,-5.265057,0
2721255086,-1.667921,-1.632994,-1.625628,-0.947446,0.733427,1.19538,-0.310672,0.91715,-4.973424,0
2721288420,-1.128584,-1.302795,-2.287089,-0.542348,0.122845,-0.146753,1.989214,2.023402,-5.175447,0
2721321754,-0.674315,-0.813005,-2.486406,-0.155754,-0.062543,-1.874887,2.781891,3.726727,-5.707972,0
2721355088,0.744558,-1.22792,-3.415887,-0.313372,-0.768287,-2.928335,5.153579,3.389246,-5.724554,0
2721388422,1.688994,-2.117155,-3.684501,0.488781,-1.289403,-3.516981,7.432282,3.154219,-4.235298,0
2721421756,1.608006,-2.347744,-4.152645,1.529499,-1.689749,-4.14453,7.66164,1.275723,-5.055219,0
2721455090,1.688306,-2.785414,-3.717328,2.424702,-1.243124,-3.323045,8.135885,-0.083838,-5.473443,0
2721488424,0.384128,-1.215329,-2.644384,3.419502,-0.668654,-2.963098,6.352581,1.569472,-4.151209,0
2721521758,-0.356297,0.315385,-1.574118,3.102569,-0.325222,-3.00466,4.22659,1.920395,-1.761187,0
2721555092,0.288116,0.3941,-0.485529,2.623711,-0.05439,-3.392252,0.83964,1.238984,-0.98969,0
2721588426,0.428268,-0.201639,0.08193,2.13725,0.758367,-4.36814,-2.125453,-1.09223,0.857284,0
2721621760,-0.28244,0.642943,1.671589,1.73854,1.992725,-5.513857,-4.274179,-0.759679,2.52661,0
2721655094,0.170129,1.793983,2.456595,-4.360314,-0.093715,-6.716827,-5.251473,-1.741297,3.771931,0
2721688428,0.432574,1.965484,3.250754,-4.988106,0.651842,-4.365941,-7.866416,-2.894747,4.402184,0
2721721762,0.411616,0.568356,3.152411,-4.63547,-0.214527,-3.884371,-8.582867,-3.451876,4.537247,0
2721755096,0.308963,0.302533,2.823277,-5.960588,-1.213714,-3.307461,-7.170647,-3.00479,3.47051,0
2721788430,0.221398,1.119464,1.615744,-6.924155,-1.938921,-2.144198,-6.375801,-2.240173,1.708585,0
2721821764,0.597156,1.474347,0.44755,-5.658047,-1.593493,-0.707139,-4.889518,-1.670853,-0.169755,0
2721855098,0.554535,1.791986,-0.648947,-3.701518,-1.616653,0.123336,-3.200385,-0.650033,-1.12292,0
2721888432,0.099751,1.143596,-1.604567,-2.663194,-0.063406,0.277042,-1.711865,-0.093203,-2.28439,0
2721921766,-0.7087,0.489743,-1.134585,-0.420659,0.153311,0.286231,-0.114602,1.197904,-3.74993,0
2721955100,0.116969,-0.442624,-1.59503,1.399932,0.333825,1.097279,3.028785,2.180571,-3.926999,0
2721988434,1.512218,-1.039531,-3.26598,2.555936,0.530964,1.240218,6.785552,1.301737,-2.96112,0
2722021768,0.444907,-2.03722,-2.333549,3.587696,0.074943,1.913019,8.905169,0.284124,-2.288398,0
2722055102,0.805988,-2.62429,-2.804737,4.379668,-0.683445,2.496328,11.253204,-2.6282,-1.858734,0
2722088436,0.644686,-2.041329,-2.932161,4.904459,-0.81051,2.411513,12.919345,-2.609705,-0.933127,0
2722121770,-1.230663,-0.44683,-0.886237,4.672613,-0.712767,1.637771,9.530229,-0.928651,-0.156568,0
2722155104,-1.165264,0.922251,-0.31128,5.083946,-0.839243,0.587765,4.489212,1.424119,0.048493,0
2722188438,0.069115,0.482279,-0.284302,5.007004,-0.613555,-0.289028,0.534288,1.235682,0.063568,0
2722221772,0.107153,-0.096139,-0.035968,4.103146,0.024403,-2.260959,-2.463665,1.061241,0.354931,0
2722255106,0.865721,0.43312,0.40729,2.978556,0.693436,-3.600772,-5.069699,0.109899,0.628043,0
2722288440,0.10986,1.88611,1.095128,2.274511,2.469789,-3.714062,-6.235411,-0.062502,0.97334,0
2722321774,0.320212,1.453046,1.242931,-3.121331,2.782377,-2.739321,-7.2124,-0.660338,1.611825,0
2722355108,-0.565852,-0.941157,1.753531,-7.97509,2.003619,-0.55119,-8.100744,-1.78755,1.096675,0
2722388442,0.360793,-1.277486,1.548984,-11.041565,0.538717,1.42291,-9.047797,-1.871309,0.818616,0
2722421776,0.586618,0.384129,1.572764,-9.623243,-2.186291,1.533331,-8.334691,-1.154699,-0.453457,0
2722455110,0.817009,1.406048,0.95196,-6.774051,-2.057094,2.047117,-7.377306,-0.430896,-0.958015,0
2722488444,0.62903,0.841025,0.661827,-4.824695,-1.919215,1.867019,-6.227031,-0.145409,-1.475709,0
2722521778,-0.10766,1.322225,1.545973,-2.99816,-1.268849,2.389112,-4.016937,-0.230366,-1.945176,0
2722555112,-0.005912,0.90452,0.341628,-0.259219,-0.436194,2.223968,-1.610066,0.918661,-1.776313,0
2722588446,-0.203236,1.68153,0.503036,1.999371,-0.290875,1.576155,1.261383,2.275693,-1.881219,0
2722621780,-0.056767,-0.06837,-0.442689,3.024404,0.130491,1.164968,5.947161,3.260258,-0.733733,0
2722655114,-0.270351,-1.052659,-1.407348,3.924984,0.110029,0.396902,10.532268,0.195608,1.026683,0
2722688448,0.035402,-3.031845,-2.904138,4.272726,0.591294,0.201144,12.042987,-0.441361,4.888431,0
2722721782,-0.529696,-3.820434,-3.405189,4.75069,0.586203,-0.843235,11.118868,-4.29116,3.273841,0
2722755116,-0.836487,-3.043714,-3.174355,5.400225,-0.347457,-1.612477,11.041245,-2.707927,1.708094,0
2722788450,-1.564299,-1.912842,-2.38318,5.519337,-0.580502,-2.112787,11.003115,-0.479529,2.477216,0
2722821784,-1.189748,-1.476373,-1.961026,6.105753,-0.56162,-3.20454,12.651203,0.766772,1.768498,0
2722855118,-1.581538,-0.236814,-0.139728,4.296621,0.709805,-3.269757,7.686659,2.888036,-1.509695,0
2722888452,-1.657997,0.746675,-0.287977,2.72165,2.126411,-4.060057,1.578103,2.817077,-2.357711,0
2722921786,-0.608345,0.277248,1.014353,0.741928,2.468762,-5.835781,-2.562484,1.75966,-2.681809,0
2722955120,-0.522622,1.806816,0.73576,-4.296444,2.667513,-3.999221,-7.755024,-1.050329,-2.577403,0
2722988454,1.265849,2.798903,1.266676,-9.681849,1.716063,-0.441957,-11.194055,-1.93145,-2.514029,0
2723021788,1.179208,1.087881,1.655484,-13.502892,-0.935797,3.743129,-11.957324,-3.531124,-2.813978,0
2723055122,3.63533,-0.217612,1.670738,-12.960618,-4.455316,6.132951,-12.937587,-1.196399,-2.809019,0
2723088456,2.018275,1.106639,1.969614,-9.523914,-4.3736,6.619543,-11.740304,-1.297484,-4.005358,0
2723121790,2.807358,1.953323,0.980709,-7.403261,-3.950331,5.723792,-8.88299,-1.860992,-4.963243,0
2723155124,2.483816,2.686888,2.181775,-2.558524,-1.909717,4.115228,-8.182702,-0.302675,-6.308473,0
2723188458,1.508017,2.296813,0.186777,2.540439,0.022454,1.706143,-3.632934,1.328091,-5.708363,0
