SampleTimeFine,D_Leg_Acc_X,D_Leg_Acc_Y,D_Leg_Acc_Z,R_Wrist_Acc_X,R_Wrist_Acc_Y,R_Wrist_Acc_Z,Activity
454747676,0.351694,-0.041112,0.096916,-0.447912,-0.233336,0.157071,1
454781010,0.167794,0.122718,0.081938,-0.376979,-0.236652,0.319286,1
454814344,0.048465,0.448863,0.129518,-0.372242,0.183369,0.238841,1
454847678,0.163959,0.400366,0.208822,0.216177,0.36229,-0.479315,1
454881012,0.412823,0.419808,0.172049,-0.21971,-0.083267,0.271986,1
454914346,0.455142,0.218768,0.200392,0.018893,-0.408203,0.419148,1
454947680,0.274463,-0.046888,0.108725,0.015912,0.048761,0.515864,1
454981014,0.046802,-0.152943,0.11273,-0.05781,0.053038,0.553138,1
455014348,-0.08926,0.024469,0.151073,0.182332,-0.115457,-0.045321,1
455047682,-0.202036,0.054811,0.010649,-0.150562,-0.19544,0.617721,1
455081016,-0.343705,-0.044009,0.051477,0.0944,-0.052022,0.113985,1
455114350,-0.262565,-0.133733,-0.026953,0.038566,0.596599,-0.210885,1
455147684,-0.119174,-0.082139,0.065256,-0.042989,-0.163938,-0.01707,1
455181018,-0.123465,-0.00122,0.16221,0.286345,-0.378569,-0.644627,1
455214352,-0.151385,0.105218,0.054807,0.430319,-0.255198,-1.153348,1
455247686,-0.061559,-0.03776,0.053681,-0.21141,-0.133058,-0.200298,1
455281020,-0.138924,0.025932,0.100307,0.002093,-0.243087,0.113393,1
455314354,-0.316579,0.044453,0.144003,-0.070219,0.157644,0.342004,1
455347688,-0.200064,0.072043,0.14625,-0.253361,0.19624,1.128506,1
455381022,-0.170684,0.128728,0.119878,-0.13438,0.190028,0.978855,1
455414356,-0.32867,0.100504,0.113173,0.43071,-0.023162,0.071673,1
455447690,-0.491666,-0.168311,0.034609,0.695901,-0.37611,-1.420725,1
455481024,-0.765571,0.043627,0.135347,0.546599,-0.049432,-1.890434,1
455514358,-0.291294,0.237405,0.157097,0.296475,0.510781,-0.670211,1
455547692,0.244827,0.549686,0.227612,0.714997,0.796566,-0.46354,1
455581026,0.532347,0.378158,0.163672,0.292391,0.024496,0.259094,1
455614360,0.286909,0.323361,0.399152,0.782761,-0.679393,-0.131067,1
455647694,0.214688,0.244816,0.153643,0.117071,-0.692982,-0.448706,1
455681028,0.178352,0.310083,0.224571,-0.349616,-0.433928,-0.290126,1
455714362,-0.166822,0.278945,0.068541,-0.573106,-0.377019,0.219703,1
455747696,-0.239634,4.2e-05,0.024946,-0.256258,-0.400711,0.564283,1
455781030,-0.187532,-0.060415,0.129659,0.27838,-0.365275,0.267557,1
455814364,-0.13998,-0.101819,0.158565,0.690776,0.022435,-0.443865,1
455847698,0.010156,0.015094,0.180374,0.864238,0.610478,-1.029158,1
455881032,0.140965,0.178748,0.244294,1.174968,0.814193,-1.229483,1
455914366,0.47717,0.327118,0.150459,2.279013,1.565264,-1.801045,1
455947700,0.490055,0.580346,0.167787,-0.322169,1.231117,0.766741,1
455981034,0.193138,0.742369,0.136359,-0.799192,-0.133736,2.994527,1
456014368,0.312734,0.450618,0.300406,-0.98219,0.004686,3.368451,1
456047702,0.416956,-0.161955,0.18734,-0.184186,-0.378088,1.869974,1
456081036,0.13121,0.054648,0.179966,0.498538,-0.397422,0.648744,1
456114370,-0.03333,0.693194,0.012254,0.229787,-0.491063,0.219194,1
456147704,-0.115848,0.785414,0.297773,0.060817,-0.670334,-0.017388,1
456181038,0.111592,0.389834,0.174264,0.075461,-0.889606,-0.132507,1
456214372,0.030027,-0.122515,0.102939,0.505768,0.207953,-0.396665,1
456247706,-0.138932,-0.271175,0.073274,1.181909,0.7167,-1.322376,1
456281040,-0.385447,-0.074401,0.067034,0.804262,0.549228,-0.99633,1
456314374,-0.514845,0.135781,0.044415,0.252987,0.500778,-0.64859,1
456347708,-0.37801,0.195272,0.142995,-0.487353,-0.072024,0.668473,1
456381042,-0.236392,-0.080501,0.053039,-0.765043,-0.955303,1.191612,1
456414376,-0.347186,-0.296611,0.081084,-0.736692,-0.816568,0.981926,1
456447710,-0.605759,-0.231701,-0.016409,0.017188,-0.075942,-0.105778,1
456481044,-0.654824,0.051977,-0.002361,-0.062802,-0.338485,-1.494794,1
456514378,-0.802376,0.201091,0.106331,0.549279,0.271324,-2.256051,1
456547712,-0.689631,0.01631,0.011093,-0.61354,0.990865,-0.491947,1
456581046,-0.487268,-0.173147,-0.001719,-0.908165,-0.078571,-0.52737,1
456614380,-0.240138,-0.211929,0.109858,-0.511749,-0.97715,-1.465723,1
456647714,-0.140436,-0.103013,0.025748,-0.646691,-0.451601,-1.626605,1
456681048,-0.069612,0.140286,-0.002296,-0.945694,-0.290996,-1.438651,1
456714382,0.140903,0.074331,0.317019,-0.892046,-1.130768,-2.373982,1
456747716,0.177174,0.041243,0.340491,-1.463276,-1.255241,-3.16222,1
456781050,0.121533,0.099209,0.132441,-1.23039,-1.312368,-4.523808,1
456814384,0.118229,0.099169,-0.085394,-1.467979,-0.371803,-4.722704,1
456847718,-0.054977,0.027271,-0.026108,-1.839884,0.148897,-4.53885,1
456881052,-0.149501,0.236216,-0.017397,-1.95077,1.341398,-4.260904,1
456914386,-0.345879,0.310066,0.097972,-2.16186,2.329988,-3.478559,1
456947720,-0.742659,0.130779,0.485678,-2.664738,2.329759,-2.882307,1
456981054,-0.915631,-0.142491,0.298087,-2.191878,3.54897,-1.821483,1
457014388,-0.672065,0.058903,-0.293321,-1.599992,5.572777,2.219017,1
457047722,0.189043,0.144141,-0.459307,-1.97711,3.724857,3.724829,1
457081056,1.125954,0.286924,0.08819,-1.867313,1.679599,3.567515,1
457114390,1.028171,0.64877,0.397731,-0.094311,2.108083,4.498454,1
457147724,0.727282,0.849008,0.530708,0.713189,0.827819,5.731155,1
457181058,1.331176,0.196093,0.176674,2.534955,-0.945062,6.696463,1
457214392,1.573458,-1.07023,-0.107542,4.913056,-2.984778,5.685305,1
457247726,0.919609,-1.326969,-0.056986,5.9841,-3.715183,4.148488,1
457281060,0.065462,-1.525011,0.029243,4.028276,-2.417317,1.985415,1
457314394,-0.639373,-0.59181,-0.487347,1.035879,-1.931902,0.991001,1
457347728,-0.852854,0.170821,-0.284574,0.764286,-2.511417,0.465125,1
457381062,0.586209,1.918273,0.690676,1.565489,-2.852329,0.181872,1
457414396,0.590397,1.46985,0.847621,2.732736,-3.242877,0.021006,1
457447730,0.916075,0.036635,0.552982,3.428384,-3.412392,-0.131568,1
457481064,0.956223,-0.534695,-0.011228,3.045758,-3.082364,-0.256392,1
457514398,0.513532,-0.752134,0.036833,2.32515,-2.39278,-0.021044,1
457547732,0.462766,-0.345356,0.068767,1.444213,-1.373536,0.533958,1
457581066,-0.150014,0.036533,-0.012622,1.092144,-0.426055,1.054778,1
457614400,-0.698682,0.459934,0.05486,0.21539,0.474676,1.182048,1
457647734,-0.868081,0.953966,-0.008481,-0.664346,1.078604,0.994702,1
457681068,-1.09897,0.907169,-0.137751,-1.088976,1.435123,0.515158,1
457714402,-1.112148,0.411608,-0.308288,-1.297948,1.601787,0.072346,1
457747736,-0.929283,0.213086,-0.201661,-1.436528,1.765921,-0.316777,1
457781070,-0.891539,0.145638,-0.099573,-1.615808,1.895164,-0.600012,1
457814404,-0.974873,0.117345,0.035166,-1.863638,2.037608,-0.853967,1
457847738,-0.748291,0.161879,-0.055761,-1.977012,2.103305,-0.959875,1
457881072,-0.030326,0.150564,-0.071626,-1.950141,1.986981,-1.101954,1
457914406,1.239083,0.213303,0.316349,-1.806686,1.763736,-1.127871,1
457947740,2.347199,0.007466,0.763254,-1.649809,1.501891,-0.79022,1
457981074,2.609799,-0.017832,0.64372,-1.431749,1.215879,-0.234406,1
458014408,1.4739,-0.013031,0.392631,-1.196128,0.929517,0.243524,1
458047742,-0.020776,0.152811,0.079337,-0.939209,0.659742,0.502316,1
