Left_Wrist_Acc_X,Left_Wrist_Acc_Y,Left_Wrist_Acc_Z,Right_Wrist_Acc_X,Right_Wrist_Acc_Y,Right_Wrist_Acc_Z,Upper_Leg_Acc_X,Upper_Leg_Acc_Y,Upper_Leg_Acc_Z,Activity
0.499,0.412,0.875,0.677,-0.59,0.26,0.669,-0.422,0.61,0
0.604,0.59,0.96,0.896,-0.385,0.577,0.628,-0.43,0.607,0
0.366,0.438,1.001,0.854,-0.341,0.628,0.66,-0.411,0.627,0
0.141,0.28,0.917,0.794,-0.4,0.707,0.709,-0.387,0.628,0
0.013,0.215,0.729,0.683,-0.427,0.647,0.714,-0.41,0.625,0
0.077,0.234,0.667,0.664,-0.564,0.752,0.679,-0.439,0.59,0
0.384,0.057,0.544,0.49,-0.609,0.804,0.674,-0.417,0.614,0
0.962,0.197,0.782,0.314,-0.583,0.653,0.671,-0.379,0.627,0
0.994,0.478,0.937,0.249,-0.345,0.593,0.708,-0.409,0.638,0
0.767,0.307,0.811,0.386,-0.21,0.767,0.654,-0.452,0.609,0
0.725,0.321,0.816,0.708,-0.091,0.499,0.61,-0.413,0.611,0
0.695,0.276,0.738,1.058,-0.36,0.551,0.634,-0.405,0.641,0
0.467,0.113,0.746,0.912,-0.351,0.606,0.616,-0.443,0.646,0
0.389,0.113,0.7,0.711,-0.274,0.638,0.666,-0.398,0.673,0
0.404,0.218,0.736,0.715,-0.249,0.701,0.655,-0.425,0.677,0
0.736,0.0,0.563,0.767,-0.24,0.647,0.699,-0.443,0.688,0
0.989,0.43,0.707,0.735,-0.203,0.585,0.628,-0.439,0.678,0
0.84,0.024,0.546,0.686,-0.215,0.556,0.573,-0.479,0.644,0
0.852,0.166,0.618,0.944,-0.21,0.467,0.567,-0.436,0.662,0
0.905,0.291,0.61,1.188,-0.393,0.328,0.559,-0.441,0.704,0
0.831,0.206,0.75,1.075,-0.282,0.433,0.561,-0.451,0.729,0
0.46,0.193,0.789,0.916,-0.206,0.385,0.556,-0.422,0.735,0
0.364,0.148,0.779,0.823,-0.419,0.303,0.511,-0.414,0.72,0
0.454,0.268,0.743,0.614,-0.449,0.392,0.527,-0.439,0.701,0
0.436,0.257,0.589,0.588,-0.331,0.48,0.507,-0.42,0.716,0
0.593,0.039,0.422,0.672,-0.264,0.518,0.5,-0.438,0.721,0
1.321,0.057,0.584,0.732,-0.239,0.48,0.514,-0.437,0.736,0
0.998,0.06,0.469,0.827,-0.238,0.364,0.486,-0.442,0.747,0
0.91,0.119,0.6,0.903,-0.251,0.286,0.502,-0.442,0.757,0
1.048,0.152,0.417,1.002,-0.175,0.308,0.523,-0.448,0.759,0
0.932,0.344,0.439,1.13,-0.194,0.271,0.521,-0.433,0.776,0
0.792,0.156,0.539,1.149,-0.221,0.257,0.483,-0.428,0.746,0
0.695,0.063,0.613,1.048,-0.25,0.335,0.53,-0.4,0.768,0
0.757,0.231,0.65,0.956,-0.268,0.311,0.506,-0.459,0.772,0
0.709,0.261,0.491,0.805,-0.266,0.319,0.481,-0.463,0.754,0
1.006,-0.05,0.291,0.815,-0.292,0.491,0.473,-0.449,0.757,0
0.987,0.261,0.377,0.926,-0.327,0.541,0.464,-0.411,0.761,0
0.915,0.055,0.407,0.926,-0.356,0.593,0.462,-0.546,0.802,0
0.975,0.109,0.416,0.845,-0.392,0.565,0.375,-0.465,0.814,0
1.028,0.229,0.457,0.697,-0.406,0.523,0.443,-0.386,0.825,0
0.934,0.197,0.465,0.602,-0.305,0.495,0.399,-0.426,0.811,0
0.754,0.117,0.534,0.681,-0.248,0.417,0.431,-0.42,0.794,0
0.709,0.225,0.589,0.943,-0.37,0.469,0.377,-0.442,0.756,0
0.798,0.249,0.542,0.887,-0.329,0.57,0.352,-0.465,0.781,0
0.83,0.204,0.506,0.824,-0.421,0.664,0.364,-0.488,0.822,0
0.906,0.159,0.404,0.763,-0.427,0.755,0.345,-0.501,0.856,0
0.468,0.092,0.211,0.646,-0.442,0.746,0.333,-0.411,0.868,0
0.863,0.09,0.393,0.569,-0.491,0.834,0.341,-0.456,0.879,0
0.88,0.204,0.425,0.328,-0.407,0.738,0.335,-0.451,0.93,0
0.896,0.194,0.497,0.314,-0.457,0.666,0.326,-0.463,0.934,0
0.777,0.15,0.522,0.36,-0.45,0.645,0.311,-0.46,0.878,0
0.733,0.063,0.528,0.532,-0.561,0.538,0.274,-0.353,0.883,0
0.753,0.138,0.507,0.546,-0.563,0.649,0.224,-0.362,0.908,0
0.849,0.176,0.533,0.38,-0.476,0.675,0.243,-0.436,0.913,0
0.897,0.167,0.602,0.441,-0.573,0.713,0.178,-0.283,0.873,0
0.927,0.184,0.512,0.388,-0.6,0.729,0.18,-0.353,0.921,0
0.868,0.158,0.477,0.318,-0.562,0.834,0.22,-0.322,0.96,0
0.806,0.108,0.53,0.293,-0.542,0.875,0.26,-0.288,0.989,0
0.81,0.165,0.595,0.199,-0.462,0.824,0.214,-0.386,0.903,0
0.709,0.197,0.657,0.109,-0.364,0.755,0.241,-0.356,0.842,0
0.705,0.153,0.744,0.313,-0.455,0.722,0.366,-0.492,0.875,0
0.772,0.064,0.686,0.534,-0.568,0.8,0.37,-0.475,0.834,0
0.88,0.094,0.616,0.476,-0.53,0.759,0.403,-0.453,0.824,0
0.853,0.076,0.538,0.335,-0.497,0.777,0.394,-0.467,0.825,0
0.944,0.171,0.638,0.324,-0.508,0.772,0.394,-0.522,0.794,0
1.007,0.338,0.811,0.315,-0.519,0.772,0.384,-0.497,0.793,0
0.667,0.105,0.727,0.237,-0.463,0.768,0.447,-0.47,0.8,0
0.382,-0.065,0.802,0.251,-0.458,0.679,0.526,-0.513,0.789,0
0.27,-0.052,0.821,0.441,-0.496,0.78,0.489,-0.488,0.771,0
0.34,0.0,0.844,0.515,-0.521,0.698,0.537,-0.491,0.729,0
0.394,-0.029,0.55,0.533,-0.502,0.684,0.526,-0.442,0.727,0
0.687,-0.146,0.546,0.563,-0.527,0.749,0.573,-0.391,0.727,0
0.943,-0.25,0.827,0.504,-0.516,0.742,0.557,-0.521,0.668,0
0.741,0.151,0.756,0.45,-0.469,0.723,0.564,-0.494,0.688,0
0.779,0.189,0.838,0.41,-0.397,0.763,0.56,-0.432,0.675,0
0.831,0.112,0.746,0.621,-0.339,0.649,0.548,-0.44,0.67,0
0.675,-0.09,0.843,0.879,-0.529,0.68,0.585,-0.435,0.656,0
0.514,-0.104,0.865,0.847,-0.399,0.502,0.574,-0.455,0.648,0
0.39,0.057,0.82,0.688,-0.338,0.48,0.566,-0.461,0.65,0
0.431,0.077,0.833,0.566,-0.37,0.603,0.626,-0.458,0.616,0
0.531,0.08,0.779,0.484,-0.318,0.744,0.611,-0.406,0.636,0
0.745,0.055,0.74,0.546,-0.338,0.715,0.599,-0.493,0.601,0
0.91,0.164,0.751,0.683,-0.277,0.507,0.656,-0.425,0.622,0
0.764,0.149,0.799,0.992,-0.302,0.539,0.701,-0.466,0.605,0
0.695,0.134,0.807,0.998,-0.22,0.429,0.724,-0.459,0.631,0
0.582,0.071,0.88,0.998,-0.257,0.441,0.668,-0.412,0.626,0
0.49,0.024,0.833,0.985,-0.29,0.527,0.66,-0.386,0.604,0
0.408,0.031,0.849,0.937,-0.401,0.564,0.657,-0.408,0.615,0
0.367,0.097,0.931,0.712,-0.47,0.618,0.652,-0.431,0.593,0
0.351,0.135,0.818,0.545,-0.471,0.708,0.71,-0.361,0.584,0
0.388,0.051,0.719,0.406,-0.42,0.705,0.707,-0.359,0.566,0
0.725,0.049,0.716,0.359,-0.449,0.568,0.692,-0.413,0.549,0
0.836,0.156,0.797,0.534,-0.348,0.59,0.762,-0.394,0.538,0
0.744,0.156,0.765,0.732,-0.487,0.519,0.765,-0.371,0.551,0
0.67,0.024,0.846,0.689,-0.452,0.552,0.766,-0.386,0.51,0
0.58,0.043,0.891,0.615,-0.475,0.637,0.797,-0.361,0.508,0
0.454,0.027,0.877,0.582,-0.569,0.77,0.805,-0.401,0.506,0
0.402,-0.015,0.884,0.47,-0.544,0.819,0.782,-0.357,0.5,0
0.355,0.022,0.906,0.327,-0.481,0.89,0.79,-0.339,0.481,0
0.348,0.084,0.852,0.183,-0.496,0.75,0.826,-0.333,0.458,0
0.388,-0.056,0.863,0.202,-0.508,0.624,0.759,-0.374,0.479,0
0.555,0.098,0.853,0.714,-0.392,0.486,0.826,-0.364,0.427,0
0.643,0.12,0.798,0.879,-0.35,0.652,0.895,-0.307,0.398,0
0.619,0.116,0.83,0.682,-0.325,0.63,0.849,-0.329,0.382,0
0.588,0.107,0.83,0.713,-0.329,0.822,0.815,-0.404,0.411,0
0.533,0.125,0.883,0.618,-0.305,0.826,0.847,-0.324,0.391,0
0.42,0.055,0.936,0.577,-0.289,0.824,0.881,-0.298,0.424,0
0.264,0.031,1.065,0.576,-0.313,0.643,0.904,-0.392,0.29,0
0.14,0.058,0.988,0.545,-0.175,0.617,0.936,-0.235,0.25,0
0.066,0.0,0.844,0.569,-0.169,0.702,0.946,-0.3,0.242,0
0.071,0.096,0.743,0.683,-0.072,0.56,0.934,-0.327,0.27,0
0.14,0.25,0.822,0.865,-0.299,0.673,0.907,-0.287,0.269,0
0.356,0.261,0.969,0.86,-0.335,0.785,0.891,-0.298,0.236,0
0.494,0.295,0.897,0.773,-0.219,0.68,0.885,-0.302,0.208,0
0.454,0.269,0.918,0.746,-0.258,0.577,0.924,-0.265,0.153,0
0.442,0.307,0.969,0.725,-0.322,0.59,0.94,-0.285,0.176,0
0.415,0.294,1.088,0.776,-0.28,0.653,0.929,-0.29,0.182,0
0.258,0.22,0.996,0.774,-0.281,0.717,0.927,-0.308,0.161,0
0.096,0.132,0.964,0.723,-0.358,0.689,0.97,-0.26,0.144,0
0.043,0.097,1.026,0.583,-0.462,0.75,0.933,-0.337,0.151,0
0.008,0.178,0.842,0.428,-0.508,0.627,0.962,-0.286,0.144,0
0.234,0.095,0.819,0.451,-0.428,0.645,0.967,-0.303,0.113,0
0.449,0.096,0.921,0.562,-0.43,0.686,0.98,-0.268,0.068,0
0.559,0.142,0.916,0.609,-0.38,0.667,0.938,-0.299,0.044,0
0.454,0.125,0.843,0.721,-0.369,0.702,0.978,-0.277,0.044,0
0.498,0.168,0.831,0.716,-0.348,0.705,0.964,-0.219,-0.024,0
0.473,0.228,0.915,0.711,-0.462,0.711,0.977,-0.179,-0.027,0
0.399,0.164,0.927,0.706,-0.527,0.764,0.948,-0.198,-0.035,0
0.31,0.195,0.994,0.366,-0.383,0.806,0.962,-0.161,0.006,0
0.214,0.167,1.046,0.305,-0.324,0.838,0.978,-0.157,0.015,0
0.092,0.21,1.052,0.509,-0.401,0.841,0.99,-0.129,-0.018,0
-0.032,0.244,0.976,0.721,-0.432,0.645,0.989,-0.081,-0.015,0
-0.015,0.226,0.82,0.728,-0.481,0.745,0.985,-0.117,-0.024,0
0.119,0.117,0.807,0.806,-0.604,0.834,0.985,-0.074,-0.031,0
