Left_Wrist_Acc_X,Left_Wrist_Acc_Y,Left_Wrist_Acc_Z,Right_Wrist_Acc_X,Right_Wrist_Acc_Y,Right_Wrist_Acc_Z,Upper_Leg_Acc_X,Upper_Leg_Acc_Y,Upper_Leg_Acc_Z,Activity
-0.213,0.936,0.274,0.438,0.93,0.202,-0.04,0.978,-0.209,1
-0.209,0.959,0.284,0.424,0.941,0.191,-0.031,0.982,-0.198,1
-0.226,0.947,0.312,0.413,0.895,0.189,-0.039,0.98,-0.199,1
-0.173,0.953,0.309,0.407,0.923,0.186,-0.039,0.981,-0.204,1
-0.209,0.969,0.323,0.402,0.928,0.173,-0.026,0.977,-0.206,1
-0.122,0.955,0.333,0.397,0.934,0.179,-0.035,0.979,-0.204,1
-0.179,0.891,0.274,0.355,0.905,0.178,-0.044,0.982,-0.205,1
-0.197,0.955,0.299,0.377,0.875,0.175,-0.058,0.979,-0.203,1
-0.185,0.922,0.343,0.372,0.896,0.208,-0.044,0.982,-0.2,1
-0.233,0.958,0.298,0.375,0.952,0.201,-0.049,0.984,-0.199,1
-0.179,0.893,0.289,0.409,0.95,0.174,-0.045,0.97,-0.221,1
-0.203,0.925,0.285,0.389,0.902,0.14,-0.046,0.99,-0.176,1
-0.17,0.994,0.257,0.387,0.92,0.162,-0.044,0.972,-0.195,1
-0.143,0.921,0.311,0.368,0.92,0.161,-0.048,0.977,-0.219,1
-0.195,0.911,0.298,0.361,0.915,0.175,-0.041,0.981,-0.2,1
-0.186,0.958,0.305,0.347,0.894,0.183,-0.038,0.978,-0.202,1
-0.213,0.969,0.309,0.339,0.928,0.212,-0.039,0.981,-0.197,1
-0.205,0.991,0.273,0.35,0.929,0.216,-0.043,0.982,-0.196,1
-0.181,0.98,0.25,0.384,0.914,0.194,-0.048,0.983,-0.199,1
-0.223,0.908,0.218,0.388,0.929,0.213,-0.042,0.973,-0.214,1
-0.248,0.851,0.197,0.378,0.899,0.207,-0.057,0.97,-0.212,1
-0.267,0.988,0.192,0.386,0.912,0.212,-0.062,0.974,-0.221,1
