Left_Wrist_Acc_X,Left_Wrist_Acc_Y,Left_Wrist_Acc_Z,Right_Wrist_Acc_X,Right_Wrist_Acc_Y,Right_Wrist_Acc_Z,Upper_Leg_Acc_X,Upper_Leg_Acc_Y,Upper_Leg_Acc_Z,Activity
-0.064,0.824,0.867,0.57,0.429,0.467,-0.166,1.004,0.128,0
-0.19,0.776,0.712,0.618,0.453,0.636,-0.157,1.009,0.135,0
-0.266,0.68,0.514,0.525,0.487,0.627,0.035,0.977,0.034,0
-0.405,0.632,0.346,0.401,0.486,0.674,-0.108,1.009,0.035,0
-0.635,0.668,0.255,0.373,0.524,0.763,-0.147,1.015,0.009,0
-0.025,0.964,0.266,0.224,1.072,0.227,-0.027,0.988,-0.341,1
-0.012,0.959,0.274,0.235,0.985,0.134,-0.028,0.958,-0.32,1
0.0,0.965,0.288,0.403,0.898,0.2,-0.038,0.927,-0.355,1
0.018,0.967,0.283,0.278,0.889,0.249,-0.063,0.929,-0.373,1
-0.006,0.947,0.273,0.266,0.93,0.303,-0.076,0.938,-0.345,1
0.003,0.968,0.279,0.2,1.022,0.33,-0.044,0.963,-0.294,1
-0.012,0.992,0.282,0.182,0.945,0.32,-0.007,0.989,-0.254,1
-0.021,0.957,0.264,-0.062,0.936,0.36,0.023,0.917,-0.325,1
-0.009,0.978,0.273,0.272,0.959,0.313,0.148,0.918,-0.47,1
-0.008,0.974,0.286,0.203,0.947,0.292,0.052,0.929,-0.309,1
0.009,0.97,0.267,0.272,0.915,0.288,0.048,0.965,-0.275,1
-0.014,0.958,0.256,0.263,0.914,0.29,0.135,0.908,-0.398,1
-0.001,0.968,0.247,0.255,0.958,0.278,0.096,0.95,-0.302,1
-0.055,0.945,0.261,0.257,0.94,0.268,0.084,0.958,-0.292,1
0.009,1.025,0.309,0.225,0.937,0.276,0.081,0.921,-0.359,1
0.0,0.966,0.291,0.239,0.927,0.278,0.067,0.924,-0.359,1
-0.025,0.932,0.269,0.22,0.93,0.288,0.014,0.954,-0.29,1
-0.035,0.978,0.292,0.211,0.952,0.299,-0.014,0.963,-0.295,1
-0.028,0.968,0.305,0.223,0.963,0.287,-0.036,0.947,-0.333,1
-0.025,0.963,0.282,0.256,0.946,0.257,-0.003,0.935,-0.323,1
-0.021,0.983,0.257,0.223,0.904,0.244,-0.09,0.976,-0.323,1
-0.014,0.959,0.239,0.222,0.944,0.237,-0.121,0.956,-0.278,1
0.01,0.951,0.245,0.256,0.943,0.246,-0.084,0.947,-0.213,1
0.021,0.958,0.262,0.224,0.963,0.268,-0.146,1.0,-0.304,1
0.01,0.97,0.274,0.218,0.954,0.275,-0.196,0.937,-0.233,1
-0.006,0.962,0.28,0.237,0.94,0.269,-0.167,1.032,-0.134,1
-0.0,0.986,0.289,0.235,0.938,0.267,-0.145,1.016,-0.029,1
-0.037,0.988,0.277,0.246,0.93,0.257,-0.062,0.876,-0.294,1
-0.023,0.971,0.261,0.249,0.937,0.253,-0.119,0.912,-0.248,1
-0.022,0.964,0.25,0.251,0.941,0.259,-0.101,0.917,-0.22,1
