SampleTimeFine,D_Leg_Acc_X,D_Leg_Acc_Y,D_Leg_Acc_Z,D_Upper_Arm_Acc_X,D_Upper_Arm_Acc_Y,D_Upper_Arm_Acc_Z,L_Wrist_Acc_X,L_Wrist_Acc_Y,L_Wrist_Acc_Z,R_Wrist_Acc_X,R_Wrist_Acc_Y,R_Wrist_Acc_Z,Activity
3604647390,0.719485,-0.105937,-0.077796,0.188767,0.506637,0.019411,0.747423,-0.421305,0.694727,1.171727,0.856344,-0.678011,0
3604680724,0.284479,0.017768,0.032374,-0.056832,0.358062,-0.258093,0.908557,-0.469221,0.884701,1.182464,0.770001,-0.872345,0
3604714058,-0.240199,0.113333,0.115989,0.192866,0.271517,-0.190944,0.459211,-0.53218,0.753165,1.021809,0.811361,-0.718567,0
3604747392,-0.343774,0.185171,0.14068,0.214536,0.160281,-0.290003,-0.147317,-0.609643,0.485315,0.517358,0.895705,-0.832479,0
3604780726,-0.537061,-0.308473,0.108067,-0.007509,0.058422,-0.226546,-0.296482,-0.737089,0.428128,0.262351,0.937635,-0.773312,0
3604814060,-0.87857,-0.365698,0.226618,-0.037953,0.232635,-0.062215,-0.38862,-0.609943,0.319229,0.005152,0.779032,-1.085672,0
3604847394,-0.788024,-0.370031,0.267013,-0.108969,0.298825,-0.031863,-0.425098,-0.683301,0.195529,0.110682,0.855484,-0.845063,0
3604880728,-0.389098,-0.388182,0.040927,-0.163552,0.247461,0.031974,-0.420484,-0.479077,0.132643,0.222229,0.692382,-0.948535,0
3604914062,-0.043825,-0.280162,0.159904,-0.192184,0.201465,0.065984,-0.780298,-0.115209,-0.067312,-0.007059,0.397636,-0.844818,0
3604947396,0.258769,0.032329,-0.018467,-0.021073,0.040264,0.101481,-1.308373,-0.288364,-0.384915,-0.202458,0.163816,-0.418887,0
3604980730,0.272751,-0.363155,-0.115764,-0.037857,-0.449115,0.235017,-1.406317,-0.03088,-0.282416,-0.432931,-0.497322,0.00951,0
3605014064,-0.399327,-0.136234,0.276999,-0.026934,-0.815111,0.163018,-1.440756,0.153622,-0.041348,-0.472766,-0.624138,0.45697,0
3605047398,-0.375749,0.27797,0.270658,-0.079206,-1.123436,0.094443,-1.655794,-0.358068,0.384209,-0.338498,-0.60758,-0.035326,0
3605080732,0.112697,0.177026,0.2041,0.392954,-1.159507,-0.138126,-2.193855,-1.29174,1.611749,-0.425203,-0.533328,-0.972868,0
3605114066,0.469629,0.093203,0.113348,0.723725,-1.329921,-0.721025,-3.078899,-1.841344,2.293281,-0.08105,-0.480913,-2.333182,0
3605147400,0.648131,0.318806,-0.068934,0.770745,-1.021599,-1.327993,-3.327951,-2.502883,2.797363,0.303367,0.137548,-3.333992,0
3605180734,0.571344,0.282225,0.042837,0.340974,-0.212176,-1.55401,-2.562647,-2.473253,2.195691,1.010927,0.548938,-4.052052,0
3605214068,-0.094508,-0.014434,-0.065019,-0.362697,0.5233,-1.364608,-1.639022,-2.338875,0.115765,2.204481,-0.099907,-3.477863,0
3605247402,-1.360707,-0.184829,0.223104,-0.865182,0.6591,-1.403721,-0.823069,-1.892008,-2.205011,1.41378,0.916467,-3.073921,0
3605280736,-1.677588,-0.082693,0.607856,-0.886494,0.340631,-1.226308,0.690019,-0.824745,-4.498118,1.369073,1.046626,-1.25047,0
3605314070,-1.613604,-0.667312,0.415301,-0.204681,0.157076,-0.375978,1.621825,0.103554,-6.323935,-0.016908,0.968589,-0.601009,0
3605347404,-1.580149,-1.429654,-0.058808,0.411261,-0.09175,-0.092405,2.536264,2.026408,-6.571123,-1.42554,0.741603,1.043562,0
3605380738,-1.466994,-0.609619,0.482597,0.168305,-0.257936,0.427377,3.586041,1.495528,-6.595469,-2.650506,0.148609,2.562991,0
3605414072,-3.094356,-0.524558,0.430468,0.000499,-1.087652,0.311527,5.024467,2.085702,-6.069668,-3.390336,-0.95237,2.5973,0
3605447406,-0.192385,0.736564,-0.067085,0.042826,-1.078954,-0.698905,3.93916,3.561739,-7.010205,-3.432027,-1.944724,2.913081,0
3605480740,2.105793,3.298435,-1.091543,-0.050646,-1.794526,-1.472784,4.223522,3.857278,-5.540696,-2.114629,-1.811826,1.966593,0
3605514074,-0.529841,-1.331142,-0.030973,0.089542,-0.666887,-1.13348,4.95083,2.694253,-2.307698,-1.070324,-1.325794,0.049329,0
3605547408,-1.052825,-1.899317,0.592111,0.351337,0.207627,-1.821385,2.148609,1.195388,0.759753,0.561155,-1.169356,-1.196831,0
3605580742,0.221327,-0.128188,-1.12958,-0.232305,0.700187,-2.225879,-0.326446,0.065084,5.430249,1.362741,0.094217,-3.633375,0
3605614076,0.080189,-2.112666,-0.115799,-0.376669,1.252871,-1.492986,-2.614028,-1.74199,7.432774,2.628595,1.183462,-5.37647,0
3605647410,0.537882,-1.005211,-1.103181,-0.552779,1.738557,-1.582648,-4.714386,-3.438371,8.461878,3.693713,1.291818,-5.798849,0
