SampleTimeFine,D_Leg_Acc_X,D_Leg_Acc_Y,D_Leg_Acc_Z,D_Upper_Arm_Acc_X,D_Upper_Arm_Acc_Y,D_Upper_Arm_Acc_Z,L_Wrist_Acc_X,L_Wrist_Acc_Y,L_Wrist_Acc_Z,R_Wrist_Acc_X,R_Wrist_Acc_Y,R_Wrist_Acc_Z,Activity
3795382505,0.099204,-0.612088,-0.093566,3.386722,0.352308,-3.007353,-6.705866,-1.962356,-1.320395,-4.430178,-12.918031,6.714596,0
3795415839,0.001665,-0.415922,-0.134256,2.641163,-0.280233,-2.164108,-6.132762,-1.564981,-2.381689,-3.853642,-10.205558,5.363232,0
3795449173,-0.139335,-0.533848,-0.322101,1.687949,-1.010674,-1.183127,-5.220209,-0.834255,-3.475224,-2.246271,-8.033924,4.602672,0
3795482507,-0.39555,-0.816964,-0.409018,0.608946,-0.922941,-0.109054,-4.846848,-0.367737,-4.138413,0.415022,-5.102669,2.604926,0
3795515841,-0.260243,-0.722607,-0.152789,0.69952,-0.952357,0.75308,-5.298809,-0.486658,-6.689409,1.841093,-2.106176,1.027957,0
3795549175,0.003975,-0.524516,-0.117998,0.840913,0.249567,0.914619,-0.370849,-2.281837,0.242736,2.275455,1.471241,1.181973,0
3795582509,0.436106,-0.394421,-0.131173,-0.604341,0.955273,2.106082,-0.577634,-3.307289,-1.130146,1.963464,6.064909,-0.930655,0
3795615843,0.550195,0.134788,0.242793,-2.695364,1.505331,1.554541,2.985336,-1.552351,0.059367,1.884081,9.433237,-1.441032,0
3795649177,0.299031,0.871255,0.590465,-3.379344,2.344418,1.687453,7.671144,1.023139,4.720969,1.639833,10.8686,-1.282331,0
3795682511,-0.335315,0.691731,0.357349,-2.683927,2.406089,1.37755,8.783134,4.489722,6.86367,0.983749,11.905427,-2.527813,0
3795715845,-0.404606,0.506882,0.206789,-2.86936,1.576055,0.116916,6.550859,5.230157,3.583617,0.056081,10.541672,-4.10141,0
3795749179,-0.243734,-0.179378,0.131611,-2.916133,0.102108,-1.182186,5.039693,3.938264,1.497969,-0.287963,8.440874,-5.685445,0
3795782513,0.139283,-0.542199,-0.094637,-1.646167,-0.594876,-1.563058,5.036363,2.939007,0.38194,-0.27941,6.309667,-7.414638,0
3795815847,0.578386,-0.677058,-0.310705,-1.124236,-0.774019,-0.413616,2.44148,1.029574,-1.464808,0.382207,3.25675,-7.502601,0
3795849181,0.658004,-0.840928,-0.325855,-0.502227,-1.10528,-0.541075,-0.509749,-0.027319,-2.568983,2.00423,-1.356133,-4.828839,0
3795882515,-0.017794,-0.612914,-0.301705,1.040113,-1.047197,-1.252804,-2.740134,-0.991501,-2.922253,-0.897357,-8.477238,-3.527828,0
3795915849,-0.079792,-0.406586,0.025178,2.49862,-0.772229,-1.699014,-5.484749,-2.640968,-3.307318,-1.620359,-12.581975,0.254786,0
3795949183,0.208872,-0.20687,0.068903,3.73937,-0.364604,-2.683919,-8.177284,-3.033298,-4.853852,-4.625659,-15.275812,8.363298,0
3795982517,0.030318,-0.214059,0.213351,5.077625,-0.33579,-2.003261,-9.399696,-2.921073,-6.2693,-7.750586,-12.688105,6.682949,0
3796015851,-0.353789,0.18329,0.299762,2.846483,-1.838055,0.966755,-8.537481,-4.522971,-6.947102,-1.425327,-6.817297,5.442966,0
3796049185,-0.888984,0.627017,0.446958,0.911677,-0.714338,1.768088,-2.782833,-3.54099,-4.470173,0.928592,-3.545192,2.823421,0
3796082519,-0.451053,0.558543,0.630976,-0.617627,0.883993,2.297821,0.994783,-2.95252,-2.240395,2.034969,1.503056,0.586226,0
3796115853,0.57617,0.190117,0.372532,-1.730032,1.524545,2.386505,5.877416,-0.09738,5.503891,4.486159,5.585123,-1.595784,0
3796149187,1.074901,-0.110342,0.289791,-2.127051,1.915947,1.762276,6.694336,2.029222,7.069311,3.394876,7.816318,-2.742321,0
3796182521,0.9134,-0.422195,0.179027,-2.911551,1.285186,0.269767,5.903142,5.765266,9.141386,3.040678,8.560053,-4.98103,0
3796215855,0.426982,-0.586645,0.061276,-3.996439,0.350627,-0.923548,4.290014,5.587489,7.481316,2.792595,6.795544,-5.820802,0
3796249189,-0.089581,-0.58299,-0.167623,-3.215606,0.084195,-1.204971,2.739311,3.781666,5.794897,3.480576,5.312212,-3.804791,0
3796282523,-0.05276,-0.817096,-0.34991,-1.248243,0.256067,-1.605611,0.911166,0.972978,4.693786,0.783256,1.651886,-2.159414,0
3796315857,0.100809,-0.790402,-0.356878,-1.009721,-0.435361,-1.81099,-0.926818,-1.731002,2.007451,0.875356,-0.486268,-0.734492,0
3796349191,-0.039906,-0.679532,-0.164686,-1.051813,-1.335858,-0.187961,-3.221534,-2.554349,-0.031567,-0.964374,-3.543251,2.499716,0
3796382525,-0.311402,-0.419534,-0.281828,1.325533,-1.036714,0.500598,-4.554359,-2.044622,-0.216503,-2.442739,-4.28547,7.341032,0
3796415859,-0.541444,-0.513199,-0.427664,4.573,-0.111351,1.626593,-5.200083,-1.921342,-1.80383,-6.951134,-3.575796,8.780884,0
3796449193,-0.129201,-1.059592,-0.453771,5.592318,-0.230662,1.724813,-4.689075,-1.643208,-2.591271,-8.803603,-4.023532,5.934416,0
3796482527,0.250797,-0.960877,-0.069507,3.950029,-1.373133,1.315495,-3.912042,-1.3103,-3.077271,-3.580485,-2.809187,7.561628,0
3796515861,0.244257,-0.50298,0.1254,2.40674,-0.235818,1.851604,-3.003526,-0.78306,-3.277675,1.227003,-1.386891,8.265631,0
3796549195,0.188098,-0.188707,0.211792,0.815118,0.624307,2.6607,-1.158582,-1.020623,-3.319541,0.865366,-1.457453,5.934784,0
3796582529,0.283764,-0.357888,0.363324,-0.702205,0.740858,3.42325,1.421855,-0.256152,-3.428691,3.421389,-0.428248,3.021667,0
3796615863,0.61382,-0.464888,0.471386,-1.57844,-0.167711,3.032212,2.783595,-0.956242,0.250405,4.424745,1.950135,-0.324336,0
3796649197,0.662297,-0.327636,0.724049,-1.666275,0.361685,2.518834,4.99037,0.788062,4.821096,3.786733,3.018424,-3.143716,0
3796682531,0.644331,-0.070064,0.812557,-1.406596,0.659056,1.524485,4.832648,4.254195,8.203953,3.096962,4.695716,-2.689416,0
3796715865,0.78678,-0.015004,0.687068,-1.544198,1.347996,0.856074,2.290044,5.676537,7.909393,2.567831,5.122911,-1.199924,0
3796749199,0.178821,0.129134,0.794365,-1.745888,1.06831,1.014124,0.623346,2.988305,7.133156,1.697526,5.210528,-1.167483,0
3796782533,-0.00066,0.144667,0.694747,-1.89616,0.142469,1.077975,-0.930146,-1.083606,5.470519,-0.185357,4.886805,-0.399551,0
3796815867,0.064056,0.094228,0.449335,-2.174913,-0.708103,1.760278,-2.351169,-2.752482,4.943258,-0.81642,3.778686,-1.923681,0
3796849201,-0.076164,-0.122147,0.348402,-2.098227,-1.606553,1.577083,-3.068092,-2.405159,4.208456,-0.655762,2.366657,-1.893296,0
3796882535,-0.308699,-0.241656,0.109258,-1.038859,-1.389568,0.48676,-2.971298,-1.974139,3.043893,-0.64932,-1.048307,-0.39547,0
3796915869,-0.190057,-0.368256,0.195786,0.798299,0.074894,0.781899,-1.942751,-0.369691,2.291017,-0.707419,-3.433816,1.245727,0
3796949203,0.044147,-0.494093,-0.108006,1.25118,-0.120309,0.198318,-0.348867,0.897944,2.161706,-1.505966,-5.103965,1.78454,0
3796982537,0.46595,-0.613778,-0.090467,1.786959,-0.328993,0.471587,0.759914,1.574192,0.524448,-2.388113,-5.925596,1.549613,0
3797015871,0.273068,-0.855226,-0.459937,2.684173,-0.52004,0.014235,0.717737,2.270365,-0.481392,-3.702632,-5.225278,2.358051,0
3797049205,0.579861,-0.533999,-0.051684,3.029377,-0.591764,-0.097798,0.30957,1.473054,-2.728152,-2.80657,-3.783344,2.816882,0
3797082539,0.019612,-0.192619,-0.125618,2.631685,-0.667414,-0.57267,-0.550114,0.485191,-4.232859,-1.023658,-1.194503,4.238337,0
3797115873,-0.12091,-0.088426,-0.098434,2.437184,0.43524,-0.728967,-1.052186,-0.539374,-5.293285,-0.429875,-1.175869,3.67907,0
3797149207,-0.002949,0.223163,0.185419,1.855446,0.094165,-0.382674,-1.642364,-0.679999,-5.469561,-0.664302,-1.25033,3.560786,0
3797182541,-0.262332,0.193937,0.338441,0.662967,-0.247335,-0.357516,-2.122289,-0.986319,-5.794569,0.63792,-0.146031,4.381109,0
3797215875,-0.580106,0.044012,-0.258881,-0.40458,-0.598253,0.290828,-1.577179,-1.770082,-6.568008,0.657753,-0.611292,3.680675,0
3797249209,-0.202691,-0.829415,-0.506641,-0.48753,-0.332352,-0.15596,0.176763,-0.655609,-5.920192,0.470305,-0.786848,3.409632,0
3797282543,-0.33944,-0.71799,-0.299412,-0.254198,-0.016824,0.471913,0.288573,-2.120499,-1.69421,1.059879,-0.207266,0.650844,0
3797315877,-0.317123,-0.546271,-0.251964,-0.101002,0.50988,0.628749,1.291586,-1.000433,3.263643,2.332277,2.319911,-2.29359,0
3797349211,0.323459,-0.187261,0.444608,-1.464077,1.197299,0.039345,2.475736,0.911049,6.101677,3.544347,4.303434,-4.150865,0
3797382545,0.449964,0.382839,0.488009,-2.0955,1.242591,-0.21091,2.528633,2.945756,9.138784,4.905792,7.038771,-4.158231,0
3797415879,0.589566,0.459808,0.70147,-2.521542,1.333103,1.085067,1.162151,3.248542,8.256311,4.449086,7.450572,-5.398384,0
3797449213,1.055256,0.074769,0.677977,-2.324678,1.06347,1.366333,-0.414304,2.716853,7.258827,2.879419,7.162699,-5.810793,0
3797482547,1.278856,-0.214216,0.257324,-1.857589,0.38415,1.142578,-0.937898,1.009825,5.27349,1.882146,5.407816,-5.176188,0
3797515881,1.186936,-0.533774,0.002912,-2.182771,-0.476463,1.024508,-1.658547,-0.116929,3.157284,1.474523,2.615294,-4.739005,0
3797549215,1.085234,-0.733304,-0.267574,-0.904391,-0.061806,-0.119865,-1.86226,-0.99288,0.601445,0.180708,-1.608713,-3.166597,0
3797582549,0.736348,-0.819753,-0.467721,0.226616,-0.942657,-1.668601,-1.963544,-1.171028,-0.296917,-0.690425,-4.819817,-1.069028,0
3797615883,0.338246,-0.884605,-0.330233,1.342245,-0.731367,-1.458138,-1.886477,-1.291811,-1.801891,-4.345681,-8.592733,0.780869,0
3797649217,0.151542,-0.543511,-0.336865,3.682327,-0.543084,-3.283604,-1.679746,-1.462926,-2.693783,-7.782701,-8.966893,4.365217,0
3797682551,0.094879,-0.23863,-0.269768,3.487209,-0.696951,-3.102309,-1.599559,-1.616084,-3.370058,-5.894704,-6.543426,5.405748,0
3797715885,-0.417621,0.031952,-0.115781,2.473449,-1.127961,-2.517192,-1.549739,-1.667511,-4.166698,-4.08225,-5.26618,3.756783,0
3797749219,-0.048833,0.21672,0.28196,1.333851,-0.883983,-0.603512,-1.872034,-1.65571,-4.500354,-1.998278,-4.926536,4.274267,0
3797782553,0.205291,0.681803,0.177976,0.782029,-0.722853,0.320389,-2.538839,-1.28783,-4.904617,-1.240257,-3.95818,3.884606,0
