SampleTimeFine,D_Leg_Acc_X,D_Leg_Acc_Y,D_Leg_Acc_Z,D_Upper_Arm_Acc_X,D_Upper_Arm_Acc_Y,D_Upper_Arm_Acc_Z,L_Wrist_Acc_X,L_Wrist_Acc_Y,L_Wrist_Acc_Z,R_Wrist_Acc_X,R_Wrist_Acc_Y,R_Wrist_Acc_Z,Activity
1329503010,-0.459591,0.135318,0.36678,-1.288746,1.143467,-0.367937,4.317462,1.869735,-0.53264,1.529378,-4.663214,0.914792,0
1329536344,-0.389744,-0.044495,0.209058,-1.6468,2.03176,0.025391,3.808921,-0.551639,-0.066351,0.576837,-3.434176,2.892179,0
1329569678,-0.219135,0.136856,0.214991,-1.605579,1.645115,1.305235,4.100619,1.309292,0.785967,0.642113,-1.250118,1.387716,0
1329603012,0.493013,0.609453,0.357855,-0.671114,0.62297,1.681017,2.67749,1.807292,-1.886016,0.255419,0.859585,-0.776981,0
1329636346,0.699956,1.028028,0.259339,0.365433,-0.551338,1.278373,-1.33401,0.04522,-1.398998,-1.16619,1.974222,-0.348057,0
1329669680,0.587631,1.21757,0.03865,1.571754,-1.612299,1.018814,-2.238468,2.115125,-0.250724,-1.593005,3.457275,-0.936213,0
1329703014,0.181133,0.411151,-0.250956,2.59043,-1.816927,0.048724,-2.982511,1.434885,0.973369,-1.691981,3.954874,-1.933079,0
1329736348,0.495713,-0.841214,-0.100587,3.330467,-2.350633,-0.195058,-3.61245,1.305994,1.258409,-1.474209,5.146457,-2.879631,0
1329769682,1.013852,-0.359112,-0.823242,2.826104,-1.749401,-0.615226,-2.138319,1.159401,2.479814,-1.848958,4.836679,-2.482223,0
1329803016,0.968439,0.518307,-0.573936,1.959261,-1.295878,-1.18461,-0.585134,1.077381,2.595748,-1.543273,4.139838,-2.662187,0
1329836350,0.588807,0.840988,0.013898,0.793515,-1.583233,-1.345047,2.034017,2.254647,1.113196,-2.094717,2.244798,-0.728757,0
1329869684,-0.293211,0.588299,0.175147,-0.895876,-2.072823,-1.153066,3.689013,2.277539,-0.248388,-1.105272,-0.910442,1.785506,0
1329903018,-1.20224,0.12894,0.015654,-1.652715,-1.16997,-1.632363,3.253996,0.240973,-2.576149,-0.146792,-3.799407,2.703842,0
1329936352,-1.222908,-0.201042,0.52168,-1.820933,-0.421266,-1.157644,2.467894,-1.06751,-2.960077,-0.144927,-5.105746,1.83181,0
1329969686,-1.168261,-0.188599,0.275287,-2.113977,-0.244138,-0.34638,3.100237,-1.40299,-4.424645,-0.713712,-4.069859,1.287507,0
1330003020,-0.54794,0.098776,-0.103861,-1.367697,0.560301,0.756585,2.428653,-1.916466,-3.285678,0.129208,-1.969236,-0.107356,0
1330036354,-0.243791,-0.05621,0.278973,0.188218,2.263685,1.152605,2.767931,-0.907939,-2.972605,0.205096,-0.970065,0.109796,0
1330069688,-0.1453,-0.105749,0.193153,0.46291,2.036992,1.492489,-0.475768,-1.536824,1.315192,-0.619448,0.938965,-0.372101,0
1330103022,0.109124,-0.256789,-0.297285,1.325993,0.769784,1.547647,-5.509146,-0.41556,4.626726,1.14931,2.976679,-1.491421,0
1330136356,0.034583,-0.135936,-0.217545,2.627347,-0.08383,0.814327,-6.016982,1.084356,3.584483,1.597436,3.310068,-1.51779,0
1330169690,-0.018891,-0.035318,-0.032911,1.646204,-0.950125,0.231933,-5.234694,1.706847,2.454933,0.856273,3.621011,-0.441661,0
1330203024,-0.013589,-0.140095,-0.245401,0.394441,-1.080875,-0.153312,-5.101513,1.408954,2.468833,1.035126,3.195187,-2.276429,0
1330236358,0.164377,-0.434132,-0.308203,-0.731481,-1.026111,-0.869542,-2.615511,0.30204,0.712823,-0.477165,1.001411,-0.994839,0
1330269692,0.069785,-0.219428,-0.335172,-1.095318,-1.057689,-1.566033,-0.278129,-0.260337,-0.223318,-1.196636,-1.594619,0.459759,0
1330303026,0.053993,0.195788,-0.016502,-1.211609,-1.339224,-1.273422,1.214296,-0.973729,-0.749078,-1.329838,-3.617997,2.164797,0
1330336360,-0.090361,0.539442,0.160039,-1.597129,-0.954121,-0.751461,4.813806,-0.433236,-1.055114,-0.983563,-3.330785,1.431144,0
1330369694,-0.407767,0.822182,0.134264,-1.612309,-0.136716,-0.78208,3.722456,0.360119,0.465684,-0.415845,-1.712077,-0.200624,0
