Left_Wrist_Acc_X,Left_Wrist_Acc_Y,Left_Wrist_Acc_Z,Right_Wrist_Acc_X,Right_Wrist_Acc_Y,Right_Wrist_Acc_Z,Upper_Leg_Acc_X,Upper_Leg_Acc_Y,Upper_Leg_Acc_Z,Activity
-0.714,0.559,-0.232,1.496,-0.067,0.271,0.194,0.765,0.656,0
-0.798,0.464,0.062,1.309,-0.184,-0.071,0.148,0.809,0.591,0
-0.683,0.559,-0.225,0.518,0.269,-0.222,0.108,0.822,0.562,0
-0.922,0.519,0.246,0.886,0.428,-0.465,0.083,0.875,0.522,0
-0.688,0.467,0.219,1.548,0.17,-0.148,0.199,0.832,0.505,0
-0.636,0.447,-0.026,1.23,0.058,0.011,0.193,0.875,0.489,0
-0.666,0.308,-0.07,0.631,0.284,-0.473,0.147,0.847,0.503,0
-1.435,1.124,0.005,0.934,0.62,-0.526,0.044,0.891,0.449,0
-1.765,0.399,0.362,1.215,0.071,-0.115,0.163,0.893,0.41,0
-0.144,0.501,-0.003,1.458,-0.027,-0.013,0.234,0.911,0.365,0
-0.549,-0.198,0.381,0.632,0.519,-0.32,0.158,0.938,0.306,0
-1.72,0.672,-0.049,0.584,0.456,-0.341,0.106,0.927,0.333,0
-0.529,0.263,-0.146,1.136,0.294,-0.223,0.201,0.92,0.276,0
-1.384,0.122,-0.088,1.285,0.13,0.552,0.304,0.936,0.347,0
-1.104,-0.123,0.54,1.122,0.125,-0.019,0.025,0.968,0.199,0
-0.468,0.066,0.11,0.622,0.51,-0.181,0.091,0.966,0.182,0
-0.33,-0.027,0.448,0.665,0.518,-0.165,0.239,0.991,0.25,0
-1.102,-0.141,0.048,1.018,0.289,0.375,0.081,0.99,0.106,0
-0.833,0.066,0.271,0.961,0.25,0.186,0.131,0.976,0.058,0
-1.03,0.223,0.055,1.041,0.342,-0.059,0.035,0.99,0.024,0
-0.897,0.096,0.123,0.923,0.366,-0.391,0.133,1.022,0.206,0
-1.087,-0.179,0.283,0.959,0.478,-0.281,0.167,0.969,-0.112,0
-1.238,-0.02,-0.062,0.982,0.442,-0.035,0.019,0.998,-0.012,0
-0.926,0.135,-0.15,1.406,0.275,0.307,-0.016,0.934,0.048,0
-0.965,0.193,0.109,1.143,0.119,0.297,0.24,1.056,0.238,0
-0.997,0.026,0.018,0.936,0.326,-0.164,-0.014,0.984,-0.061,0
0.648,0.878,0.42,0.202,0.955,0.273,0.041,0.997,-0.062,1
