PacketCounter,SampleTimeFine,Arm_Euler_X,Arm_Euler_Y,Arm_Euler_Z,Arm_Acc_X,Arm_Acc_Y,Arm_Acc_Z,Arm_Gyr_X,Arm_Gyr_Y,Arm_Gyr_Z,Leg_Euler_X,Leg_Euler_Y,Leg_Euler_Z,Leg_Acc_X,Leg_Acc_Y,Leg_Acc_Z,Leg_Gyr_X,Leg_Gyr_Y,Leg_Gyr_Z,Activity
1,4151727455,-77.529052734375,-49.60493850708008,-4.73404359817505,7.89689493179321,-4.92541551589966,1.10129833221436,-14.98594093322754,-11.19187641143799,16.96854400634766,-121.53157806396484,-66.37169647216797,108.23088073730467,0.0,0.0,0.0,0.0,0.0,0.0,0
2,4151760789,-78.37074279785156,-49.46784210205078,-3.96306157112122,7.91647243499756,-5.37605571746826,1.54148411750793,-8.07129287719727,-14.30676937103271,7.13729286193848,-122.98494720458984,-68.58111572265625,108.6322784423828,9.49409198760986,-3.57251501083374,-2.01371049880981,-32.02045822143555,31.89640998840332,-58.49579620361328,0
3,4151794123,-79.28186798095703,-49.84222793579102,-3.28314161300659,7.78711032867432,-4.83415365219116,0.57609903812408,-12.20600700378418,-15.61684036254883,-8.46447944641113,-124.17234802246094,-70.65642547607422,109.34487915039062,9.29461765289307,-3.33674287796021,-2.11022424697876,-15.1286678314209,28.64727973937988,-55.96891403198242,0
4,4151827457,-81.19725799560547,-50.93018341064453,-2.78181624412537,7.56712007522583,-5.07801580429077,-0.03641594201326,-46.28216934204102,-15.46295547485352,-30.52970695495605,-125.92878723144533,-72.36152648925781,110.66389465332033,9.53716468811035,-3.12390804290771,-2.51187181472778,-14.7128849029541,19.52149963378906,-49.0693473815918,0
5,4151860791,-82.6771011352539,-52.79764556884766,-2.37861227989197,7.70439052581787,-5.71192407608032,0.16259291768074,-35.27439117431641,-15.72593402862549,-54.4040412902832,-128.22007751464844,-73.74942016601562,112.71962738037108,9.21704959869385,-3.01628923416138,-2.55276918411255,-9.29445362091064,11.18025398254395,-44.04191207885742,0
6,4151894125,-83.92633819580078,-55.11475372314453,-1.84195160865784,7.97259855270386,-5.79268741607666,-0.36297398805618,-24.8421802520752,-17.98338890075684,-67.91472625732422,-132.10853576660156,-74.96170043945312,116.30792236328124,9.29835414886475,-2.31045055389404,-2.48505783081055,-12.54024028778076,1.6929235458374,-46.49875259399414,0
7,4151927459,-84.3352279663086,-57.90174102783203,-0.82033914327621,7.85787153244019,-6.08516216278076,-0.22317929565907,12.92186641693115,-25.82975387573242,-81.4271240234375,-137.0518341064453,-76.19681549072266,120.93512725830078,9.31007862091064,-2.1618504524231,-1.87212896347046,-13.40082168579102,1.79923069477081,-50.63232421875,0
8,4151960793,-83.47307586669922,-61.16136169433594,0.82337367534637,8.12270069122314,-5.70962285995483,0.15760757029057,67.9947280883789,-35.69197845458984,-94.58141326904295,-142.65847778320312,-77.14545440673828,126.6483917236328,9.22622585296631,-1.90764939785004,-1.69389879703522,-0.96697580814362,-3.30882334709167,-48.52812957763672,0
9,4151994127,-81.66250610351562,-64.86195373535156,3.05988383293152,8.96453952789307,-5.05572080612183,0.38380205631256,113.72899627685548,-44.98892593383789,-106.16731262207033,-147.58389282226562,-77.76939392089844,132.22543334960938,9.50570869445801,-1.89475667476654,-2.03951573371887,15.9983606338501,-4.99782037734985,-40.50382614135742,0
10,4152027461,-79.36104583740234,-68.69937896728516,5.23865842819214,9.96855926513672,-4.36435604095459,1.61079680919647,128.73216247558594,-44.82012557983398,-109.33753204345705,-152.9925537109375,-78.27079010009766,138.21133422851562,9.89483451843262,-1.33252143859863,-2.3921754360199,13.84495449066162,-4.98074626922607,-39.82942199707031,0
