PacketCounter,SampleTimeFine,Forearm_Acc_X,Forearm_Acc_Y,Forearm_Acc_Z,Forearm_Gyr_X,Forearm_Gyr_Y,Forearm_Gyr_Z,Upper_Arm_Acc_X,Upper_Arm_Acc_Y,Upper_Arm_Acc_Z,Upper_Arm_Gyr_X,Upper_Arm_Gyr_Y,Upper_Arm_Gyr_Z,Activity
0,903896670,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,903930004,9.20894336700439,-2.80101609230042,2.12691688537598,-4.13703107833862,-1.00205540657043,-1.22993791103363,9.81922721862793,0.52353399991989,1.60664343833923,1.38154590129852,-1.32982432842255,-2.034019947052,0
2,903963338,9.11509323120117,-2.93514919281006,2.24910640716553,-2.9886372089386,-1.78507745265961,-2.08203101158142,9.7654857635498,0.5225390791893,1.59651052951813,3.6661741733551,-1.10465681552887,-2.34383821487427,0
3,903996672,9.25065422058105,-3.01036262512207,2.27020883560181,-0.91515153646469,-2.27272701263428,-2.15556192398071,9.87735462188721,0.68303030729294,1.49505031108856,5.82732391357422,-0.37436178326607,-1.4191107749939,0
4,904030006,9.30294799804688,-3.05289077758789,2.26385569572449,0.55360579490662,-0.97694855928421,-1.03186845779419,9.85763645172119,0.78545749187469,1.45530414581299,4.40401792526245,-0.18951481580734,-1.10550200939178,0
5,904063340,9.25814056396484,-2.95916128158569,2.20107960700989,2.39160537719727,-0.92220777273178,0.35670810937881,9.89581966400146,0.74492800235748,1.53669512271881,2.43258881568909,-0.31683552265167,-0.84790849685669,0
6,904096674,9.2824764251709,-2.85270690917969,2.19258785247803,2.95375919342041,-0.93843972682953,0.2916966676712,9.8659610748291,0.70847898721695,1.53122961521149,4.40972328186035,0.83975422382355,-0.22327236831188,0
7,904130008,9.22873973846436,-2.77977776527405,2.14746832847595,3.43706750869751,-1.05740118026733,-0.02273767441511,9.79201221466064,0.74614530801773,1.47614014148712,4.6640830039978,0.91387730836868,-0.04040404036641,0
8,904163342,9.21208190917969,-2.74803686141968,2.08888101577759,2.83531022071838,-1.44205915927887,-0.16449758410454,9.78036594390869,0.72148829698563,1.49921369552612,3.1097629070282,0.25600212812424,-0.77874779701233,0
9,904196676,9.27060890197754,-2.78311681747437,2.07178258895874,1.05451345443726,-1.77771055698395,-0.91033637523651,9.82406711578369,0.72764259576797,1.51419222354889,4.4036660194397,-0.13536953926086,-0.29083225131035,0
