PacketCounter,SampleTimeFine,Forearm_Acc_X,Forearm_Acc_Y,Forearm_Acc_Z,Forearm_Gyr_X,Forearm_Gyr_Y,Forearm_Gyr_Z,Upper_Arm_Acc_X,Upper_Arm_Acc_Y,Upper_Arm_Acc_Z,Upper_Arm_Gyr_X,Upper_Arm_Gyr_Y,Upper_Arm_Gyr_Z,Activity
0,421211269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,421244603,9.25342178344727,-3.39392280578613,1.09975242614746,-2.20775437355042,0.74032884836197,-2.88153505325317,9.6454963684082,0.99507033824921,-2.08505511283875,0.66700583696365,-0.75125569105148,0.10154154151678,0
2,421277937,9.24701690673828,-3.41625094413757,1.1300562620163,-2.20188236236572,0.24243703484535,-2.29622030258179,9.66473865509033,0.98418855667114,-2.11404538154602,0.44540804624557,-0.84891366958618,0.14301170408726,0
3,421311271,9.26031875610352,-3.44171357154846,1.13251578807831,-0.51831459999084,-0.24233138561249,-1.39993596076965,9.66156387329102,0.99802029132843,-2.12316274642944,0.42899027466774,-0.84793400764465,0.2120059132576,0
4,421344605,9.29172706604004,-3.41892385482788,1.14211165904999,0.27554780244827,-0.42929765582085,-0.37542134523392,9.64984798431396,1.00971364974976,-2.14087796211243,0.33952197432518,-0.73397356271744,0.26528352499008,0
5,421377939,9.28542709350586,-3.3331253528595,1.13797950744629,-0.20522497594357,-0.17375335097313,0.31372997164726,9.62954139709473,1.05584740638733,-2.16135358810425,0.24493427574635,-0.68218469619751,0.33464911580086,0
6,421411273,9.31661701202393,-3.39321970939636,1.14789283275604,-1.05858242511749,0.12460578233004,0.9151354432106,9.65550899505615,1.0454877614975,-2.12251353263855,-0.34527838230133,-1.19688141345978,0.3878947198391,0
7,421444607,9.23075103759766,-3.34093427658081,1.16649281978607,0.72425669431686,-0.30656799674034,1.43061637878418,9.67111301422119,1.00396192073822,-2.10629439353943,0.14045044779778,-1.00824379920959,0.24253626167774,0
8,421477941,9.23301696777344,-3.30948948860168,1.18004012107849,1.52077960968018,-0.99601072072983,1.61150622367859,9.67908477783203,0.99584805965424,-2.11326026916504,0.01497062575072,-0.80895483493805,0.2591877579689,0
9,421511275,9.26187992095947,-3.34639143943787,1.20720303058624,2.11079406738281,-0.80454933643341,2.09346699714661,9.64712619781494,0.97284132242203,-2.11277151107788,-0.41460880637169,-0.92667078971863,0.44844636321068,0
