PacketCounter,SampleTimeFine,Forearm_Acc_X,Forearm_Acc_Y,Forearm_Acc_Z,Forearm_Gyr_X,Forearm_Gyr_Y,Forearm_Gyr_Z,Upper_Arm_Acc_X,Upper_Arm_Acc_Y,Upper_Arm_Acc_Z,Upper_Arm_Gyr_X,Upper_Arm_Gyr_Y,Upper_Arm_Gyr_Z,Activity
0,1030167939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,1030201273,9.68900680541992,-1.8245552778244,1.65509402751923,-4.69583415985107,0.5150363445282,0.3061583340168,9.39044570922852,2.2769238948822,2.18193316459656,-0.75360244512558,-0.09089305996895,-0.04494388401508,0
2,1030234607,9.64863777160645,-1.98867440223694,1.65629363059998,-1.66583371162415,0.09966541081667,-0.31048032641411,9.33627033233643,2.2829475402832,2.12980461120605,1.19166612625122,0.27889987826347,0.22175796329975,0
3,1030267941,9.63007736206055,-2.04730033874512,1.58526539802551,1.48576700687408,-0.14146853983402,-0.20943184196949,9.35055351257324,2.34328556060791,2.08451437950134,2.23722171783447,0.55200177431107,0.25897324085236,0
4,1030301275,9.65285778045654,-1.98737907409668,1.52153396606445,2.72924447059631,0.12016197293997,0.12344040721655,9.36449527740479,2.38625741004944,2.0825366973877,1.33042287826538,0.22728390991688,0.3396084010601,0
5,1030334609,9.65515327453613,-1.89838016033173,1.52162551879883,2.13540124893188,0.34522718191147,0.32291850447655,9.38218688964844,2.40529155731201,2.08450818061829,1.27058506011963,-0.01616161316633,0.25408115983009,0
6,1030367943,9.67454051971436,-1.85287928581238,1.56157219409943,0.81495761871338,0.24529279768467,0.20757809281349,9.3824987411499,2.41957974433899,2.09674000740051,1.25503826141357,0.25553470849991,0.17297856509686,0
7,1030401277,9.67888259887695,-1.82433903217316,1.59103620052338,1.17131984233856,0.31638726592064,-0.39822301268578,9.34574508666992,2.44353151321411,2.10572123527527,0.61890208721161,0.55179041624069,0.18997900187969,0
8,1030434611,9.67437839508057,-1.80093169212341,1.55701994895935,1.66612839698792,0.3083224594593,-0.53195649385452,9.34035015106201,2.4132776260376,2.09932613372803,0.72354912757874,0.74339896440506,0.06056442856789,0
9,1030467945,9.65988636016846,-1.89800572395325,1.55601286888123,1.46052265167236,0.34766998887062,-0.40847772359848,9.31260204315186,2.40469431877136,2.08178663253784,0.91334563493729,0.89544230699539,0.23420572280884,0
10,1030501279,9.63752555847168,-1.94952666759491,1.54883658885956,1.31005430221558,0.32721823453903,-0.07101760804653,9.33540058135986,2.38867974281311,2.05725932121277,0.60039693117142,0.8293040394783,0.40939661860466,0
11,1030534613,9.64388656616211,-1.95223438739777,1.54279017448425,0.89187896251678,0.39090740680695,0.2481742054224,9.33585166931152,2.38036775588989,2.06174659729004,0.47772487998009,0.71716517210007,0.58314675092697,0
12,1030567947,9.6481990814209,-1.89617192745209,1.56852924823761,1.15806543827057,0.4781890809536,0.57458889484406,9.31680297851562,2.40481376647949,2.06566715240479,1.02097034454346,0.62272471189499,0.68427205085754,0
13,1030601281,9.66997814178467,-1.86942374706268,1.55280220508575,1.41438114643097,0.58644437789917,0.73453694581985,9.32915496826172,2.41375255584717,2.04979610443115,1.19255602359772,0.7484382390976,0.77752155065536,0
14,1030634615,9.6745548248291,-1.89127719402313,1.52975463867188,0.8846081495285,0.82731252908707,0.52695244550705,9.36431789398193,2.42497706413269,2.04965734481812,0.03987577185035,0.60033929347992,0.93433523178101,0
