PacketCounter,SampleTimeFine,Forearm_Acc_X,Forearm_Acc_Y,Forearm_Acc_Z,Forearm_Gyr_X,Forearm_Gyr_Y,Forearm_Gyr_Z,Upper_Arm_Acc_X,Upper_Arm_Acc_Y,Upper_Arm_Acc_Z,Upper_Arm_Gyr_X,Upper_Arm_Gyr_Y,Upper_Arm_Gyr_Z,Activity
0,812437761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,812454428,9.70552349090576,-1.05444324016571,1.57061100006104,2.91008186340332,2.41649913787842,5.91867351531982,9.89610767364502,-1.10121560096741,0.10400991141796,-0.00131905416492,2.65654325485229,2.99998378753662,0
2,812487762,9.66555118560791,-1.03523588180542,1.44998562335968,-4.94450521469116,1.56671452522278,7.77255630493164,9.83139801025391,-1.27546167373657,0.21650314331055,-3.28622531890869,2.28668022155762,3.13426232337952,0
3,812521096,9.67192840576172,-1.25490486621857,1.55095541477203,-6.30620241165161,0.09947027266026,8.63472366333008,9.85100078582764,-1.47431421279907,0.28480669856071,-2.95235109329224,0.249118745327,1.97927641868591,0
4,812554430,9.68613433837891,-1.22050845623016,1.69499289989471,1.07041621208191,-0.62559700012207,6.36719655990601,9.88248538970947,-1.53466331958771,0.33070436120033,-2.69935464859009,-0.70005917549133,0.50226831436157,0
5,812587764,9.6613941192627,-1.01113653182983,1.76384615898132,2.10523986816406,-1.88001108169556,2.77245044708252,9.92418193817139,-1.49068927764893,0.33603265881538,-1.96202218532562,-0.70931166410446,0.38655644655228,0
6,812621098,9.77389526367188,-0.88183486461639,1.94261825084686,-4.0384635925293,-1.65233957767487,-0.64289802312851,9.93657302856445,-1.50723528862,0.26831114292145,-2.39424967765808,0.2042164504528,0.68229669332504,0
7,812654432,9.78807926177979,-1.04841697216034,1.99384224414825,-10.54335784912109,-0.40003260970116,-2.30742645263672,9.96939182281494,-1.41987526416779,0.28802400827408,-4.4365496635437,1.19315195083618,-0.23414497077465,0
8,812687766,9.7354154586792,-1.32114338874817,1.88108944892883,-10.52588844299316,0.43155226111412,-2.82560396194458,9.94922637939453,-1.41020750999451,0.39446213841438,-4.23214149475098,2.20962429046631,-0.94491046667099,0
9,812721100,9.67955780029297,-1.41833055019379,1.74419844150543,-3.43575263023376,0.49389305710793,-3.65832114219666,9.8902759552002,-1.56706261634827,0.3801794052124,-0.74349838495255,2.52165079116821,-1.76081573963165,0
