PacketCounter,SampleTimeFine,Forearm_Acc_X,Forearm_Acc_Y,Forearm_Acc_Z,Forearm_Gyr_X,Forearm_Gyr_Y,Forearm_Gyr_Z,Upper_Arm_Acc_X,Upper_Arm_Acc_Y,Upper_Arm_Acc_Z,Upper_Arm_Gyr_X,Upper_Arm_Gyr_Y,Upper_Arm_Gyr_Z,Activity
0,979862402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,979895736,9.68706607818604,-0.8432594537735,1.77817320823669,0.46233481168747,0.9034304022789,-0.68443220853806,9.83075332641602,0.61906456947327,1.70221126079559,-0.79465967416763,0.86655133962631,0.13160766661167,0
2,979929070,9.61244297027588,-0.87269181013107,1.79803276062012,-1.11420047283173,-0.56152963638306,-1.00943803787231,9.76309108734131,0.63205671310425,1.66938292980194,-0.88605856895447,0.61801850795746,0.07878787070513,0
3,979962404,9.62979888916016,-0.91632735729218,1.81476700305939,-1.98902797698975,-1.897500872612,-1.08280575275421,9.75295257568359,0.59168994426727,1.67489397525787,-1.09654366970062,0.26360270380974,-0.19561059772968,0
4,979995738,9.67211055755615,-0.94580525159836,1.86146235466003,-2.19001746177673,-2.45652413368225,-0.93733859062195,9.77372169494629,0.59184789657593,1.66932094097137,-0.89673894643784,-0.33925297856331,-0.23860147595406,0
5,980029072,9.7025671005249,-0.96713030338287,1.9079442024231,-2.27685403823853,-2.39670848846436,-0.51605755090714,9.81428623199463,0.60494470596313,1.6646910905838,-0.48236402869225,-0.64187353849411,-0.25690823793411,0
6,980062406,9.73523902893066,-0.98929327726364,1.95342016220093,-1.73881757259369,-2.01724052429199,-0.1184363514185,9.83910274505615,0.60627204179764,1.66568195819855,-0.31210350990295,-0.58978998661041,-0.26246610283852,0
7,980095740,9.73959159851074,-0.95947694778442,1.96190440654755,-1.13237929344177,-1.52212774753571,0.34746831655502,9.82650470733643,0.60795640945435,1.66352510452271,-0.06881491839886,-0.45005995035172,-0.3501960337162,0
8,980129074,9.71723079681396,-0.93613237142563,1.96917939186096,-0.88381427526474,-0.83523333072662,0.62635219097137,9.80667209625244,0.60832649469376,1.64615178108215,0.11752066016197,-0.18393757939339,-0.39293721318245,0
9,980162408,9.71802997589111,-0.92989718914032,1.96391999721527,-0.64003252983093,-0.17034685611725,0.3456369638443,9.79809093475342,0.58542692661285,1.63622748851776,0.16191387176514,0.13767145574093,-0.14580668509007,0
10,980195742,9.68813037872314,-0.91737115383148,1.92667663097382,-0.3626022040844,0.24504312872887,-0.1120523661375,9.78859233856201,0.5817773938179,1.66015589237213,-0.18761302530766,0.25662326812744,0.13040386140347,0
11,980229076,9.66812133789062,-0.90015506744385,1.92766427993774,-0.49227291345596,0.44459167122841,-0.27037727832794,9.76576519012451,0.59466630220413,1.66383969783783,-0.02193087525666,0.40228909254074,0.19141972064972,0
12,980262410,9.688720703125,-0.92792093753815,1.87127351760864,-1.20145642757416,0.1653363853693,-0.20046739280224,9.82219696044922,0.5817112326622,1.68077731132507,0.39879932999611,0.33385190367699,-0.1163777038455,0
13,980295744,9.70918369293213,-0.93276417255402,1.90745949745178,-0.91216099262238,-0.44833427667618,-0.17120489478111,9.85176086425781,0.58020675182343,1.69728684425354,1.0440217256546,-0.06825144588947,-0.39305248856544,0
14,980329078,9.67581939697266,-0.92774790525436,1.90174949169159,-0.95635586977005,-0.6242807507515,-0.29244261980057,9.79258346557617,0.61182349920273,1.64436411857605,1.47477602958679,0.18347977101803,-0.21693955361843,0
15,980362412,9.66817474365234,-0.93492293357849,1.91201078891754,-1.58169639110565,-0.71468722820282,-0.1598584651947,9.77976036071777,0.61532908678055,1.65105426311493,0.76782715320587,0.1763274371624,0.13142196834087,0
16,980395746,9.71433258056641,-0.92944538593292,1.96252346038818,-1.46496021747589,-0.39642378687859,-0.16222766041756,9.80440139770508,0.61662769317627,1.65818274021149,0.58468663692474,0.42797544598579,0.00909891165793,0
17,980429080,9.72279357910156,-0.9273653626442,1.96177875995636,-1.18775379657745,0.09974225610495,-0.14287084341049,9.7980318069458,0.62020123004913,1.64006340503693,0.90189033746719,0.5897291302681,-0.02711744792759,0
18,980462414,9.68017292022705,-0.91996240615845,1.90833210945129,-1.63066124916077,0.71063709259033,-0.10214024037123,9.77661228179932,0.61025810241699,1.6644366979599,0.96606945991516,0.52052372694016,0.01962893269956,0
19,980495748,9.69742584228516,-0.94767016172409,1.92251229286194,-1.72722780704498,0.61847633123398,-0.16753588616848,9.8208646774292,0.58191931247711,1.70524084568024,0.66868668794632,0.26114386320114,0.080516718328,0
20,980529082,9.70553302764893,-0.9640845656395,1.91886782646179,-1.04751467704773,0.15307752788067,-0.28268736600876,9.84522247314453,0.60364198684692,1.66847538948059,1.51308012008667,0.31738939881325,0.23483324050903,0
21,980562416,9.68919944763184,-0.95429342985153,1.91804003715515,-0.3742111325264,-0.24430988729,-0.1898637264967,9.82888126373291,0.61337238550186,1.66240966320038,1.84126210212708,0.66807860136032,0.0653860270977,0
22,980595750,9.6997127532959,-0.92306119203568,1.93047308921814,-0.60708826780319,-0.21778799593449,0.02272486686707,9.81237316131592,0.62517875432968,1.67574429512024,1.29641556739807,0.55642634630203,0.1031199246645,0
23,980629084,9.71815299987793,-0.93741375207901,1.93933165073395,-1.00632607936859,-0.01456401962787,0.09024633467197,9.81042289733887,0.61402142047882,1.66309154033661,0.65635424852371,0.5544541478157,0.09827913343906,0
24,980662418,9.71537971496582,-0.95070230960846,1.9389796257019,-0.59753459692001,0.10202178359032,-0.24624368548393,9.82373714447021,0.58151113986969,1.67926037311554,0.78664922714233,0.5667450428009,0.09145014733076,0
25,980695752,9.68442249298096,-0.96603298187256,1.9148736000061,0.23992693424225,0.1433222591877,-0.41957125067711,9.80972003936768,0.58735340833664,1.67531621456146,1.62284600734711,0.48603937029839,0.06649696826935,0
26,980729086,9.66712760925293,-0.94720327854156,1.90169298648834,0.45213457942009,0.16967770457268,-0.24524477124214,9.77669334411621,0.60169577598572,1.65345573425293,2.19743204116821,0.37663796544075,-0.04466855153441,0
27,980762420,9.66296195983887,-0.94961893558502,1.89353382587433,0.17220696806908,-0.00136707781348,-0.03934430330992,9.81207847595215,0.61942571401596,1.62035536766052,2.04280781745911,0.38308590650558,-0.13729047775269,0
28,980795754,9.67479801177979,-0.92824053764343,1.91444170475006,0.05796153843403,-0.10064191371202,-0.0576830022037,9.78964424133301,0.63171052932739,1.61850273609161,1.72870683670044,0.44218727946281,0.07893514633179,0
29,980829088,9.69405364990234,-0.91743040084839,1.8863924741745,-1.07275915145874,-0.1430309265852,0.0108725912869,9.79538440704346,0.64055496454239,1.60597610473633,1.24769377708435,0.40716189146042,0.14828151464462,0
30,980862422,9.73944187164307,-0.94312036037445,1.93743109703064,-1.92121207714081,-0.19216249883175,0.02257759869099,9.86547374725342,0.63067519664764,1.63028383255005,0.66740614175797,0.06250459700823,0.13329169154167,0
31,980895756,9.7292652130127,-0.94126731157303,1.96834564208984,-1.7382025718689,0.00313755567186,-0.07517646998167,9.83798408508301,0.644067466259,1.63642764091492,0.62517714500427,0.25285816192627,0.25426685810089,0
32,980929090,9.7107458114624,-0.94310736656189,1.93444013595581,-1.33175480365753,0.29999515414238,-0.21016179025173,9.83822727203369,0.63672453165054,1.6575026512146,0.18847423791885,0.69852554798126,0.29029753804207,0
33,980962424,9.71091556549072,-0.9365970492363,1.94881510734558,-0.93989324569702,0.57241183519363,-0.25817283987999,9.80704307556152,0.61350381374359,1.68937981128693,0.29987028241158,0.60913079977036,0.28203743696213,0
34,980995758,9.7200231552124,-0.95499175786972,1.92758762836456,-0.35943901538849,0.35873785614967,-0.21094298362732,9.83098697662354,0.60675758123398,1.65533554553986,1.26190257072449,0.51594543457031,-0.07095358520746,0
35,981029092,9.67767333984375,-0.94223046302795,1.883824467659,-0.20866666734219,0.09294848144054,-0.25045377016068,9.8103666305542,0.61387872695923,1.64790725708008,1.88369596004486,0.34061375260353,-0.14916199445724,0
36,981062426,9.68390560150146,-0.96773117780685,1.86982071399689,-0.42710131406784,-0.77261656522751,-0.30560109019279,9.84642505645752,0.61312353610992,1.65773546695709,1.05820488929749,0.19013269245625,-0.15158876776695,0
37,981095760,9.70144653320312,-0.94870501756668,1.91403675079346,-0.15884035825729,-1.24182856082916,-0.57618647813797,9.82849788665771,0.64025610685349,1.66185307502747,0.85001194477081,-0.11507786810398,-0.12100080400705,0
38,981129094,9.69581604003906,-0.90358316898346,1.95861375331879,-0.67178595066071,-1.23401033878326,-0.57938808202744,9.79743099212646,0.64709621667862,1.62810480594635,1.18381571769714,-0.04263234138489,-0.16276870667934,0
39,981162428,9.70223999023438,-0.9217654466629,1.96646869182587,-1.37169766426086,-0.76305669546127,-0.44029825925827,9.79305744171143,0.63158047199249,1.6588841676712,0.81218838691711,-0.09516398608685,-0.21657457947731,0
40,981195762,9.69601631164551,-0.92979121208191,2.00249218940735,-1.24129068851471,-0.18958200514317,-0.46607753634453,9.81591510772705,0.62885737419128,1.63675260543823,0.40817359089851,-0.06439032405615,-0.1272246837616,0
41,981229096,9.68712329864502,-0.98767113685608,1.97963929176331,-0.62830835580826,0.06814899295568,-0.35212659835815,9.80797958374023,0.62971550226212,1.61656761169434,0.51880764961243,0.35736441612244,0.10164079070091,0
42,981262430,9.69796943664551,-0.92162489891052,1.9464852809906,-0.49129316210747,-0.07411354035139,-0.11194989830256,9.83413887023926,0.61742186546326,1.62812530994415,0.55782854557037,0.35902920365334,0.25110369920731,0
43,981295764,9.69758987426758,-0.9270766377449,1.93224465847015,-2.0200514793396,-0.04275720566511,0.22948342561722,9.82692813873291,0.62426310777664,1.6357764005661,0.24738985300064,0.49519911408424,0.23060071468353,0
44,981329098,9.68295860290527,-0.95202457904816,1.91778528690338,-2.72611045837402,-0.16253499686718,0.55060261487961,9.80970096588135,0.63233357667923,1.61816394329071,-0.30600771307945,0.36000245809555,0.03473401814699,0
45,981362432,9.65759754180908,-0.9442053437233,1.95222401618958,-2.75605797767639,0.01107749342918,0.56922310590744,9.76718044281006,0.61422127485275,1.65478527545929,-0.47920718789101,0.26718205213547,-0.01299844495952,0
46,981395766,9.67387580871582,-0.92835962772369,1.96584558486938,-2.30721473693848,0.06733579188585,0.27709743380547,9.78303050994873,0.59211075305939,1.65330934524536,0.03748738765717,0.35328555107117,0.11478010565042,0
47,981429100,9.71748065948486,-0.96247100830078,1.96067726612091,-1.87330365180969,-0.32888951897621,-0.20176088809967,9.88187599182129,0.60548502206802,1.68914401531219,0.66289830207825,0.1089980378747,0.10714752227068,0
48,981462434,9.72323799133301,-0.93771827220917,1.99304831027985,-0.72911989688873,-0.21361950039864,-0.52628010511398,9.82872486114502,0.65560632944107,1.67288219928741,1.54298901557922,0.18111701309681,0.2189085483551,0
49,981495768,9.6811466217041,-0.95247745513916,1.95303475856781,-0.69572728872299,0.06920550763607,-0.61771100759506,9.78723526000977,0.66092216968536,1.6404584646225,1.19602024555206,0.53005802631378,0.2744048833847,0
50,981529102,9.67970180511475,-0.95485502481461,1.95033740997314,-1.17646491527557,0.38698866963387,-0.15953190624714,9.79946136474609,0.65481972694397,1.64216363430023,0.19783571362495,0.38088965415955,0.4977348446846,0
51,981562436,9.68248462677002,-0.96544587612152,1.96193099021912,-1.16354966163635,0.49372956156731,0.38155874609947,9.80373668670654,0.64824908971786,1.62730371952057,0.04869934171438,0.53595530986786,0.32241588830948,0
