PacketCounter,SampleTimeFine,Arm_Euler_X,Arm_Euler_Y,Arm_Euler_Z,Arm_Acc_X,Arm_Acc_Y,Arm_Acc_Z,Arm_Gyr_X,Arm_Gyr_Y,Arm_Gyr_Z,Leg_Euler_X,Leg_Euler_Y,Leg_Euler_Z,Leg_Acc_X,Leg_Acc_Y,Leg_Acc_Z,Leg_Gyr_X,Leg_Gyr_Y,Leg_Gyr_Z,Activity
0,104831787,-49.38494491577148,-70.69835662841797,9.4659595489502,0.0,0.0,0.0,0.0,0.0,0.0,25.62677764892578,-83.99759674072266,-10.53011226654053,0.0,0.0,0.0,0.0,0.0,0.0,0
1,104865121,-49.31543350219727,-70.7011489868164,9.40170764923096,9.39682197570801,-2.47506880760193,2.17078948020935,-0.18610826134682,-0.08721123635769,-0.62520599365234,25.45530319213867,-83.99583435058594,-10.351487159729,9.94640159606934,0.46758669614792,0.8895800113678,0.64807170629501,0.65634459257126,0.42309615015984,0
2,104898455,-49.19939422607422,-70.69735717773438,9.30185127258301,9.40492057800293,-2.36606478691101,2.18227076530457,0.20231151580811,0.30866184830666,-0.70810788869858,25.20737648010254,-84.01192474365234,-10.08754634857178,9.93607425689697,0.5202551484108,0.96611434221268,0.90007507801056,0.28770741820335,0.89306348562241,0
3,104931789,-49.14522933959961,-70.67439270019531,9.19753837585449,9.36479187011719,-2.49372172355652,2.18165802955627,-1.78095364570618,0.7194704413414,-0.30206337571144,24.98731422424316,-84.00975799560547,-9.8842658996582,9.9021110534668,0.56802451610565,0.9589056968689,-0.07395988702774,0.69685757160187,0.48958045244217,0
4,104965123,-49.0138053894043,-70.65292358398438,9.06763935089111,9.39117336273193,-2.37200736999512,2.14212012290955,-0.18618510663509,0.88266801834106,-0.50646549463272,24.84191703796387,-83.9749755859375,-9.79721260070801,9.94290828704834,0.52072465419769,0.91928976774216,-1.30109643936157,1.43191015720367,-0.25196173787117,0
5,104998457,-48.94524383544922,-70.65130615234375,8.94437789916992,9.33274841308594,-2.368656873703,2.14236950874329,-1.88413763046265,0.44334945082664,-0.91500419378281,24.71492958068848,-83.96866607666016,-9.74549102783203,9.91331768035889,0.43178823590279,0.98150473833084,-1.80736351013184,0.60333281755447,0.01221725810319,0
6,105031791,-48.90583419799805,-70.67343139648438,8.87370109558105,9.32431125640869,-2.46338629722595,2.16627645492554,-1.2686802148819,-0.41968327760696,-1.11050248146057,24.5982780456543,-83.95353698730469,-9.7007360458374,9.89809799194336,0.39229929447174,1.01447558403015,-1.70205044746399,0.84037834405899,-0.11997949331999,0
7,105065125,-48.84892272949219,-70.72216033935547,8.83520793914795,9.35165596008301,-2.43934750556946,2.20664215087891,0.16667146980762,-1.1856632232666,-1.50048184394836,24.60254287719727,-83.9306869506836,-9.74619007110596,9.93680286407471,0.44215202331543,0.99688166379929,-0.76559239625931,0.93091917037964,-0.47492024302483,0
8,105098459,-48.80327606201172,-70.78390502929688,8.8176851272583,9.37496757507324,-2.40637922286987,2.18236589431763,0.42266404628754,-1.60005748271942,-1.65717387199402,24.75486755371094,-83.91575622558594,-9.89875507354736,9.94630718231201,0.41460391879082,1.01287364959717,0.47927764058113,0.57167541980743,-0.68625062704086,0
9,105131793,-48.77415466308594,-70.85145568847656,8.82803249359131,9.34456157684326,-2.47456979751587,2.21477937698364,0.7160896062851,-1.92214369773865,-1.60660147666931,25.01568603515625,-83.89808654785156,-10.15051460266113,9.92596435546875,0.42680671811104,1.02630770206451,0.77655786275864,0.5099104642868,-1.0095020532608,0
