SampleTimeFine,D_Leg_Acc_X,D_Leg_Acc_Y,D_Leg_Acc_Z,L_Wrist_Acc_X,L_Wrist_Acc_Y,L_Wrist_Acc_Z,R_Wrist_Acc_X,R_Wrist_Acc_Y,R_Wrist_Acc_Z,Activity
1053892279,0.181592,1.017022,-0.218822,2.049476,0.019737,0.460825,-1.536131,0.71869,0.177938,1
1053925613,0.210895,0.777992,0.222121,4.352376,1.782448,0.752135,-1.481716,1.025586,-0.14873,1
1053958947,0.279562,0.759996,0.317621,4.213093,0.882456,1.297801,-1.10049,1.543577,-0.381813,1
1053992281,-0.034252,1.061736,0.113041,2.731642,-0.446001,1.685829,0.137111,1.511467,-0.18969,1
1054025615,0.348666,0.312073,-0.188335,1.496701,-1.234586,1.432402,1.6671,1.060996,0.274428,1
1054058949,0.736548,1.19047,0.237069,0.630379,-1.510401,0.718935,2.4524,0.926337,0.328728,1
1054092283,0.889671,1.296956,0.07595,0.002403,-1.147145,0.125156,2.501751,0.747581,0.194919,1
1054125617,0.815871,0.323539,0.108643,-0.7851,-0.656157,-0.41128,2.815306,0.443251,0.341705,1
1054158951,0.325949,0.135323,0.124759,-0.752226,0.257409,-0.776755,3.43188,0.371401,0.383624,1
1054192285,0.149047,0.035485,0.117642,-0.76213,0.464665,-0.626329,3.885307,0.20934,0.289639,1
1054225619,-0.227554,0.266109,-0.071546,-0.594994,0.264086,-0.286078,3.948748,-0.022003,0.126177,1
1054258953,-0.246935,0.294941,0.037207,-0.575295,0.148746,-0.272632,3.779695,-0.177811,0.013074,1
1054292287,-0.04657,0.310999,0.112969,-0.286409,0.241487,-0.3002,3.567125,-0.379858,-0.064878,1
1054325621,0.089043,0.325895,0.088637,0.050755,0.420127,-0.457376,3.140888,-0.598862,-0.091011,1
1054358955,0.186918,0.075177,0.10158,0.225399,0.580918,-0.466372,2.503964,-0.767194,-0.018281,1
1054392289,0.323348,0.018855,0.123616,0.47185,0.587127,-0.388515,1.953516,-0.987067,0.038599,1
1054425623,0.398268,0.081368,0.070371,0.601619,0.66445,-0.427135,1.474189,-1.399774,0.3605,1
1054458957,0.378692,0.072876,0.059233,0.662146,0.644864,-0.525114,1.035144,-1.800719,0.642719,1
1054492291,0.434023,0.285167,0.132451,0.649369,0.577494,-0.59706,0.470403,-2.053826,0.789673,1
1054525625,0.345927,0.442487,0.011207,0.678726,0.364334,-0.641353,-0.17786,-1.992254,0.856806,1
1054558959,0.70389,0.606247,0.062355,0.608887,-0.029229,-0.656436,-0.741954,-1.626807,0.878487,1
1054592293,0.806385,0.734562,0.038566,0.823861,-0.205351,-0.403567,-1.243563,-1.275793,0.793187,1
1054625627,0.755998,0.416195,0.128833,0.845193,-0.318291,-0.143286,-1.370138,-1.097294,0.500061,1
1054658961,0.708116,0.312155,0.044275,0.782613,-0.373395,-0.104882,-1.084787,-0.933308,0.124928,1
1054692295,0.558639,-0.19136,-0.096531,0.530664,-0.480716,-0.307381,-0.765534,-0.808487,-0.282001,1
1054725629,0.746135,0.57545,0.147928,0.346911,-0.547568,-0.094582,-0.325364,-0.58767,-0.219501,1
1054758963,0.949526,1.657421,0.639147,0.334859,-0.509417,0.985737,0.140382,-0.394121,0.769637,1
1054792297,0.90176,0.921988,0.33204,0.122043,-0.687936,1.506618,0.73216,-0.501696,1.266559,1
1054825631,0.815498,-0.024944,0.303106,-0.06153,-0.455181,0.694489,1.169088,-0.594387,0.672605,1
1054858965,0.7531,-0.544343,0.09245,-0.243887,-0.251282,-0.267455,1.513095,-0.939948,-0.081047,1
1054892299,1.060282,-0.28437,0.099825,-0.35797,-0.205199,-0.494737,1.668689,-1.364785,-0.012342,1
1054925633,1.585413,-0.145469,-0.141317,-0.285222,-0.009364,-0.382421,1.449296,-1.089201,0.332163,1
1054958967,1.707628,-0.313572,0.187748,-0.209173,0.363251,-0.387938,1.060353,-0.565712,0.644993,1
1054992301,1.627626,-1.233428,0.618322,-0.255244,0.737046,-0.691685,0.743008,-0.00275,0.823309,1
1055025635,1.381507,-2.37406,0.334589,-0.522928,0.893968,-0.884529,0.676938,0.278836,0.870614,1
1055058969,1.766172,-3.219457,0.40027,-0.692377,0.669912,-0.842029,0.692343,0.586092,0.733282,1
1055092303,1.657803,-3.194589,0.930105,-0.868803,0.421746,-0.602019,0.668024,0.856259,0.490874,1
1055125637,0.335487,-2.877035,0.955907,-0.91756,0.347501,-0.458234,0.629283,1.025149,0.280779,1
1055158971,-1.536985,-1.012443,1.18915,-0.744714,0.37448,-0.316746,0.197198,1.247985,0.015461,1
1055192305,-2.864793,1.134579,1.342797,-0.543112,0.341864,0.410441,-0.494267,1.705771,-0.207644,1
1055225639,-3.221198,1.535466,0.435942,-0.49344,0.396553,1.131182,-1.23154,1.979881,-0.47578,1
1055258973,-2.258762,1.696409,-0.43753,-0.302903,0.553621,1.435487,-1.598146,1.590951,-0.390534,1
1055292307,-2.574769,1.502117,-0.760997,-0.217848,0.746048,1.052212,-3.535115,1.70214,-1.657605,1
1055325641,-2.331707,2.0594,-0.825011,-0.293056,0.735218,0.610863,-3.313082,1.870751,-1.835138,1
