SampleTimeFine,D_Leg_Acc_X,D_Leg_Acc_Y,D_Leg_Acc_Z,D_Upper_Arm_Acc_X,D_Upper_Arm_Acc_Y,D_Upper_Arm_Acc_Z,L_Wrist_Acc_X,L_Wrist_Acc_Y,L_Wrist_Acc_Z,R_Wrist_Acc_X,R_Wrist_Acc_Y,R_Wrist_Acc_Z,Activity
2164988416,0.628881,-1.150438,-0.707016,0.398225,-0.870597,-0.260377,0.321674,-3.203527,-0.340519,-1.532221,-4.049163,-0.777915,1
2165021750,2.242536,-0.030914,-0.920864,0.63658,-0.538385,-0.078113,0.28322,-2.996128,-0.438409,-1.837445,-5.728632,-2.18357,1
2165055084,1.026654,1.625197,-1.075878,0.667501,-0.439097,0.035132,0.138629,-2.661263,-0.424717,-1.607863,-4.507498,-1.275424,1
2165088418,-1.845637,2.78822,-0.416443,0.148138,-0.644834,0.02746,-0.057775,-2.529238,-0.241419,-1.377575,-3.830628,-0.137606,1
2165121752,-3.204891,-1.047452,3.168303,-0.059749,-0.750339,0.116683,-0.286393,-2.612777,0.181815,-1.27291,-2.598179,0.596581,1
2165155086,0.427059,-4.787669,-0.724282,0.013179,-1.054353,-0.52449,-0.302895,-3.046196,-0.279421,-1.165118,-1.587651,0.118184,1
2165188420,0.729806,-0.229867,-0.064999,0.276157,-0.179006,-0.316058,-0.629864,-3.021311,0.083528,-1.408598,-1.127891,-0.269151,1
2165221754,0.126786,-1.504503,0.77312,0.460073,-0.0524,-0.10428,-0.587564,-2.884877,0.410544,-0.914132,-0.3436,0.164941,1
2165255088,0.394115,-0.74159,0.443316,0.331826,-0.274293,0.108803,-0.622818,-2.451376,0.665792,-0.38558,0.308445,0.342303,1
2165288422,-0.764105,0.051948,-0.384361,0.386754,-0.430705,0.182846,-0.651044,-1.829745,0.842471,-0.150443,0.940834,0.408409,1
2165321756,0.525309,1.211223,-0.459289,0.286795,-0.621784,0.180473,-0.603417,-1.231003,0.869741,0.129685,1.351518,0.338021,1
2165355090,0.680943,0.446552,-0.020833,0.026236,-0.846356,0.155412,-0.541757,-0.586383,0.823718,0.676884,1.545125,0.123012,1
2165388424,0.724623,-1.291162,-0.006596,-0.034814,-0.753272,-0.142396,-0.444171,0.091764,0.581635,1.366529,1.443816,-0.164643,1
2165421758,0.271362,-0.864736,-0.049068,0.101956,-0.462942,-0.389249,-0.377345,0.853773,0.295009,1.80213,1.312567,-0.481294,1
2165455092,-0.084547,-0.815072,0.213909,0.302325,-0.11205,-0.316032,-0.22972,1.462928,0.097058,1.809299,1.114321,-0.477546,1
2165488426,-0.043519,-0.667016,0.345216,0.405061,-0.030804,-0.066854,-0.182175,1.986816,-0.138962,1.499012,0.819392,-0.312951,1
2165521760,-0.721644,-0.642382,0.444333,0.37391,-0.128149,0.084562,-0.126076,2.20818,-0.406703,1.402516,0.546891,-0.153033,1
2165555094,-0.474151,-0.482085,0.169463,0.285939,-0.349867,0.037311,-0.056007,2.176366,-0.66726,1.492225,0.298481,0.002772,1
2165588428,1.837956,-0.269365,-0.298499,0.200995,-0.56855,8e-06,-0.011629,2.005967,-0.75679,1.577506,0.003732,0.120084,1
2165621762,2.389799,0.788314,-0.675763,0.194803,-0.759164,0.037511,0.166229,1.990007,-0.861278,1.501061,-0.294995,0.334721,1
2165655096,-0.379956,2.606457,-0.392359,0.412862,-0.696732,0.232509,0.307582,2.055938,-0.913721,1.216557,-0.564195,0.59825,1
2165688430,-4.822419,-3.687886,1.91463,0.322983,-0.608535,0.205969,0.433213,1.753532,-0.616838,1.064772,-0.986479,0.820834,1
2165721764,-2.847384,-3.675211,-1.486225,0.364785,-0.742258,-0.505672,0.369083,1.278047,-0.852358,0.670953,-1.286375,0.181396,1
2165755098,0.779977,1.239291,0.352423,0.692803,-0.200229,-0.198111,0.285533,1.062636,-0.513125,-0.100208,-1.469164,0.029908,1
2165788432,1.668983,-0.164232,0.867862,0.590454,-0.099073,0.221438,0.220906,0.698125,0.21908,-0.470421,-1.660362,0.41554,1
2165821766,-0.800342,0.07185,0.148983,0.45031,-0.441824,0.473603,0.050797,0.242584,0.619532,-0.873212,-1.720265,0.487444,1
2165855100,-0.523012,0.159874,0.013977,0.411676,-0.422182,0.406027,-0.092825,-0.074435,0.679582,-1.434976,-1.640057,0.357059,1
2165888434,0.851501,-0.034293,-0.135001,0.179839,-0.450553,0.209528,-0.179464,-0.414393,0.575503,-1.370091,-1.398138,0.252104,1
2165921768,1.201187,0.051652,-0.04416,-0.063986,-0.616943,0.010642,-0.291052,-0.745456,0.241923,-1.035262,-1.123384,0.095888,1
2165955102,-0.504325,-0.187492,0.329252,-0.01631,-0.487446,-0.076303,-0.457552,-0.915979,0.090036,-0.903825,-0.918152,-0.107759,1
2165988436,-1.464851,-0.692995,0.150922,0.182085,-0.303081,0.069559,-0.423751,-1.062834,0.164392,-0.996797,-0.724688,-0.182348,1
2166021770,-0.473408,-0.357399,0.206968,0.247936,-0.197387,0.156469,-0.260884,-1.772948,0.158427,-0.877282,-0.553281,-0.127372,1
