SampleTimeFine,D_Leg_Acc_X,D_Leg_Acc_Y,D_Leg_Acc_Z,D_Upper_Arm_Acc_X,D_Upper_Arm_Acc_Y,D_Upper_Arm_Acc_Z,L_Wrist_Acc_X,L_Wrist_Acc_Y,L_Wrist_Acc_Z,R_Wrist_Acc_X,R_Wrist_Acc_Y,R_Wrist_Acc_Z,Activity
2110889286,0.047758,-0.039995,-0.0699,-4.239273,5.549362,-2.62653,-0.903302,-1.634032,2.236361,0.830462,-2.887719,-1.518026,0
2110922620,0.463359,0.473852,0.656319,-4.719154,5.513793,-1.680112,-0.577284,-1.514593,1.705467,1.126051,-2.095852,0.228094,0
2110955954,-0.096805,-0.188616,-0.076788,-4.634182,5.63932,-1.69165,-0.408374,-0.417576,1.07368,0.750314,-0.724072,2.036193,0
2110989288,0.21158,0.289569,0.197332,-4.442892,5.792509,-1.154676,-0.911384,0.880614,0.781957,-0.123477,0.694286,1.397202,0
2111022622,0.692578,0.689264,0.668539,-3.903646,5.477287,-1.880439,0.167928,0.962923,-0.899793,-1.802953,0.684376,3.38109,0
2111055956,1.323431,0.032494,0.376868,-3.670487,5.283023,-3.069902,-0.357474,1.221043,-0.479756,-0.657128,2.497856,2.662441,0
2111089290,1.09248,-1.805725,0.394196,-4.301865,4.043114,-3.427128,-0.609526,1.367085,-3.128005,-0.927293,3.488138,2.567624,0
2111122624,0.71444,0.376716,0.354036,-3.911576,4.414837,-2.759253,-1.166182,1.508101,-2.459702,0.738505,2.017981,0.072333,0
2111155958,-0.656151,0.549369,-0.544263,-3.896048,4.287187,-1.150862,-0.075002,1.396885,-1.807587,1.543343,0.837442,-0.203105,0
2111189292,-0.358333,-0.016799,-0.199311,-3.333914,4.697398,-1.480434,1.455967,-0.172763,-0.163037,1.682569,-0.070401,-1.300687,0
2111222626,0.035504,0.623668,0.086149,-3.526244,5.536179,-1.66327,0.510749,-1.070969,1.280365,1.453003,-0.95426,-0.440674,0
2111255960,-0.142772,0.378884,-0.109867,-3.982959,5.437404,-1.971398,-1.321338,1.090281,2.230469,1.300949,-0.758309,-0.010568,0
2111289294,-0.581328,-0.426112,-0.002147,-4.365362,4.668921,-0.854016,-0.586168,0.588317,3.943348,1.036009,-1.626142,0.231513,0
2111322628,0.422826,0.062822,0.449071,-3.163143,5.870338,-0.561976,2.230349,-2.674468,2.065162,0.857678,-1.180421,-0.239631,0
