SampleTimeFine,D_Upper_Arm_Acc_X,D_Upper_Arm_Acc_Y,D_Upper_Arm_Acc_Z,L_Wrist_Acc_X,L_Wrist_Acc_Y,L_Wrist_Acc_Z,R_Wrist_Acc_X,R_Wrist_Acc_Y,R_Wrist_Acc_Z,Activity
189294493,0.032356,0.754992,0.303946,1.671777,-1.967825,3.067698,2.138206,-1.441,-3.060259,0
189327827,-0.292575,-0.379495,0.424013,1.124317,-2.520386,2.82859,2.302747,-1.715381,-2.400901,0
189361161,-0.207776,-0.340316,-0.045829,0.181705,-2.192423,3.575209,2.158515,-1.118047,-2.744678,0
189394495,-0.419728,-0.512327,0.491578,-0.063635,-2.08175,2.430263,2.00772,-1.095212,-2.487204,0
189427829,-0.07478,-0.148964,0.588038,0.424101,-1.856025,0.487173,1.143632,-0.8514,-1.278143,0
189461163,-0.486249,-0.180453,0.321563,0.174807,-0.530073,0.270644,0.312256,0.831868,0.901106,0
189494497,-0.388625,0.11849,0.129915,-2.824972,2.222819,-0.623773,-0.703135,0.295389,5.307421,0
189527831,-0.287554,0.780247,0.372005,-2.807582,1.637997,-0.995842,-0.456327,-0.115782,1.942068,0
189561165,-1.088736,0.186474,-0.553823,1.518567,0.598173,-0.841957,-1.060408,5.999972,-3.796177,0
189594499,0.263802,-0.050432,-0.171003,0.740339,-0.085092,-2.719969,-1.853504,3.233939,-0.762473,0
189627833,0.681562,-0.230219,0.52704,-1.563521,0.686507,-2.338706,-1.48961,-0.196363,2.033906,0
189661167,-1.070619,-0.528091,1.138151,-0.897257,0.594286,-1.936355,-1.045216,-1.376614,3.37111,0
189694501,0.117779,-0.358385,0.429863,0.221406,-0.430199,-1.061036,-0.859298,-1.184129,2.01623,0
189727835,0.731668,0.089157,0.518272,0.229991,0.385144,1.266595,-0.338456,-0.060569,1.185556,0
189761169,-0.500961,0.377217,0.817182,1.112077,-0.930885,2.157254,0.444228,-0.21389,-0.14511,0
189794503,-0.38024,-0.518517,0.666189,0.14838,-2.074965,1.061954,1.186688,-1.347796,-0.041196,0
189827837,-0.153447,-0.762872,0.4623,-2.19277,-1.111331,0.802945,2.579414,-0.593715,-0.630672,0
189861171,-0.283385,-0.611466,0.883127,-3.312694,1.154573,-1.824373,2.911843,0.318499,-0.72486,0
189894505,0.068126,0.195128,0.458714,-2.823812,1.905427,2.223428,3.024427,0.694612,-0.311642,0
189927839,0.119099,-0.112526,0.103962,-0.470141,0.982162,2.19895,2.392153,0.394864,0.556755,0
189961173,0.341658,0.288989,0.960322,-0.641272,0.230307,1.519468,1.558744,0.019338,0.082822,0
189994507,0.340543,0.214046,0.804223,-0.595086,0.371989,1.977995,1.633403,0.456056,-0.621042,0
190027841,0.19835,0.090379,0.560295,-0.733502,1.274548,-0.951185,1.43398,3.280291,-1.122902,0
190061175,-0.153398,0.538402,0.444265,-1.524588,1.993768,0.36796,1.354209,2.105486,0.518847,0
190094509,-0.202017,0.423858,-0.290981,-0.227509,1.511045,-1.442616,-0.196474,0.43945,1.561343,0
190127843,0.319239,0.52142,-0.57023,-0.205419,1.121409,-0.28189,-0.278032,0.454972,0.503996,0
190161177,0.145364,0.25386,-0.865451,0.73671,1.181192,0.014377,-1.32764,-1.101258,-0.196777,0
190194511,0.914657,0.112934,-0.368971,0.751282,1.474925,0.040653,-1.734334,-0.877921,-0.260344,0
190227845,0.271528,0.597445,0.670238,2.01848,0.775458,1.72964,-2.56674,-2.138842,1.14498,0
190261179,1.142723,0.779024,1.298298,2.557507,0.0486,2.441792,-2.114016,-0.956212,0.857353,0
190294513,1.082035,0.362642,1.030682,2.778895,-1.120908,0.56026,-2.499222,-1.412124,2.742062,0
190327847,0.685653,0.313776,0.862517,3.261694,-2.160214,0.049855,-3.458013,-1.736361,2.100877,0
190361181,1.198034,0.357704,0.721057,3.094589,-1.802312,-0.180928,-2.901242,-1.2611,1.748623,0
190394515,0.983674,0.271929,0.465948,2.44639,-2.162983,-0.986665,-2.524318,-2.408865,0.796716,0
190427849,0.566217,0.110191,0.473267,2.350325,-2.048261,-1.072322,-2.474599,-1.562686,2.602682,0
190461183,0.542369,0.018975,1.00845,1.681937,-1.439258,-1.903184,-1.803159,-0.458002,2.120364,0
190494517,0.104695,-0.135602,0.843145,1.138856,-0.549288,-0.846579,-2.296603,-0.632889,2.955261,0
190527851,0.316741,-0.378404,0.726722,1.324732,-1.209448,0.638761,-0.135361,0.128127,3.122547,0
190561185,0.206144,0.014146,0.247928,0.975851,-1.428232,1.517849,1.115784,-0.40081,1.91332,0
190594519,0.629599,-0.148259,-0.235656,1.207236,-2.233107,1.377655,1.03232,-1.506109,-0.650681,0
190627853,0.119818,-0.13279,-0.22176,1.034712,-1.949123,1.218577,1.391286,0.058159,-0.491811,0
190661187,0.48752,-0.896399,-0.202269,1.333661,-1.321122,2.743669,1.536372,0.541693,-1.930673,0
190694521,0.74447,-1.042822,-0.095268,-0.775092,0.135256,2.046172,1.161255,-1.586949,-3.467752,0
190727855,-0.080511,-0.250181,0.4709,-1.322551,0.779038,1.912084,1.560539,-0.009907,-1.86889,0
190761189,0.049534,-0.561524,0.476406,-0.297655,0.419717,0.673964,0.661525,1.788697,-1.841829,0
190794523,0.238015,-0.81841,0.157104,-0.909847,1.180036,0.181129,0.830128,1.435614,-0.159684,0
190827857,0.299012,-0.694806,-0.431759,-0.613437,0.931582,0.275283,0.385833,0.445541,0.331141,0
190861191,0.694334,-0.950068,-1.182235,-0.339162,1.091314,0.277435,0.887158,1.08549,1.491522,0
190894525,0.684958,-0.010435,-0.369699,-0.295076,-0.01942,0.599294,0.876946,0.963304,1.463369,0
190927859,-0.68174,-0.332999,0.56183,0.166383,-0.771231,-0.068412,-0.256475,2.57189,1.104989,0
190961193,-0.999685,0.08989,1.878592,0.144607,-1.28408,-0.541185,-1.256563,2.016283,1.844848,0
190994527,-1.814608,-0.163623,2.222589,-3.936896,2.055928,-1.953804,-1.937883,1.461454,1.001008,0
191027861,-0.452112,0.558216,1.09343,-4.442683,3.584043,-1.209528,-2.129798,-0.599547,-0.055264,0
191061195,-0.69321,2.655351,-0.418294,-0.347937,4.658563,1.614287,-1.282654,-2.169724,0.762299,0
191094529,2.078131,0.85556,0.459051,2.990989,1.523882,0.952424,1.504554,-0.359061,-0.570068,0
191127863,1.214717,0.36189,1.301457,3.80343,-0.670425,-1.020074,1.674861,-1.720093,-0.888035,0
191161197,0.358433,-0.728076,2.244555,3.069756,-3.818693,-0.883161,3.234042,-1.54385,-0.944425,0
191194531,-1.496004,-0.998311,1.996339,-0.982152,-2.197218,0.532664,2.005911,-2.00118,-2.991698,0
191227865,-1.759287,-0.434758,1.806556,-3.477252,0.268923,2.517433,1.679936,0.477801,-1.034619,0
191261199,-0.323026,-0.008456,2.337181,-2.805717,1.247452,1.979959,0.68514,0.787345,0.639836,0
191294533,0.721244,-0.244626,1.193028,-0.791379,0.177296,0.416668,0.275496,-1.665836,0.753954,0
191327867,0.371794,-0.172195,1.379467,-2.002427,0.487427,0.550982,0.469915,2.752604,5.839514,0
191361201,-0.335043,-0.01215,0.633717,-1.15777,1.325492,2.125215,-0.311864,3.694842,3.783006,0
191394535,0.771068,0.347844,0.100115,0.177734,-0.178685,1.916071,-0.354475,1.797255,2.724466,0
191427869,0.013787,-0.01756,0.01707,-0.165203,-0.483291,1.008072,-0.712089,0.578077,2.519973,0
191461203,-0.145064,-0.054671,-0.525331,1.727983,-1.082417,-0.28982,0.093853,0.311542,-0.453763,0
191494537,0.125176,0.428106,-0.853808,0.972032,-0.565985,-1.432992,-0.285583,-0.253799,-2.154187,0
191527871,0.52952,0.77637,-1.038485,0.766075,-0.057862,-1.071676,-0.258996,-1.526231,-3.441724,0
191561205,-0.185186,0.347478,-0.684343,1.146777,-0.66569,-0.496009,0.551841,-1.573508,-2.001452,0
191594539,-0.621013,-0.164297,-0.902596,-0.029073,-0.108227,-0.982849,1.22964,-1.832434,-1.851479,0
191627873,-0.248184,0.458236,-0.344197,0.526953,0.786129,-1.400391,1.781897,-2.14902,-1.771057,0
191661207,-0.565672,1.309232,-0.882337,0.964219,2.737573,-3.440152,2.411998,-4.750404,-3.7516,0
191694541,0.846855,1.570647,-0.714086,-1.326195,3.894491,-3.526893,0.682692,-2.279292,0.665617,0
191727875,0.393679,-0.048961,1.320168,-4.162588,1.289635,-0.87624,-0.263059,1.851327,1.332392,0
191761209,1.084185,-0.897304,2.01198,-0.201891,-1.190216,2.493456,-2.320478,2.077227,4.220946,0
191794543,-0.322714,-1.687415,0.336246,2.851552,-2.541844,3.365612,-3.891201,3.935667,5.030957,0
191827877,0.056117,-0.774,-0.064979,1.220792,-3.087293,4.113483,-3.776937,4.133893,5.613632,0
191861211,0.513266,0.151348,-0.266311,0.681359,-2.263646,3.754405,-2.170552,2.867243,3.418938,0
191894545,0.698112,0.599061,-0.232288,-1.296299,-0.458181,2.3311,-0.32665,0.972518,1.289956,0
191927879,0.522218,0.6463,0.108091,-1.080179,0.726786,1.130103,1.048725,-0.227233,-0.76618,0
191961213,0.2139,0.136452,-0.901938,0.810149,-0.260405,-0.561266,1.60063,-0.01583,-3.026103,0
191994547,-0.255438,0.055743,-0.895144,0.886292,-0.432012,-1.145555,1.490273,-1.334009,-3.932341,0
192027881,-0.364155,-0.111653,-0.319035,0.058093,0.453953,-2.082193,1.470391,-2.147192,-4.075487,0
192061215,-0.098712,0.001909,-0.508232,-0.900989,0.62869,-1.704091,1.519792,-1.487058,-2.917132,0
192094549,-0.112504,-0.243875,-0.727148,-0.52205,0.200695,-1.657783,0.999278,-0.842081,-1.294132,0
192127883,-0.143738,-0.253025,-0.121819,0.240682,0.103041,-1.666413,0.308369,-0.009294,0.093155,0
192161217,0.09532,-0.185349,-0.102999,0.09632,0.42646,-0.529845,-0.494392,1.297597,1.85056,0
192194551,0.183662,-0.09801,0.006758,-0.154981,0.386299,-1.049497,-1.869862,2.134762,3.38346,0
192227885,-0.038954,0.010153,0.350361,0.74047,0.840268,-2.891777,-1.87952,1.047886,2.23119,0
192261219,0.580192,0.438199,-0.065744,-1.049233,1.589061,-0.599876,0.081213,-0.477783,-0.156196,0
192294553,0.549868,0.119263,0.509453,-1.127489,1.77546,-1.085307,0.489582,-0.661821,0.476013,0
192327887,-0.622186,0.23012,0.401623,0.944824,0.430882,0.958072,-0.025682,-0.092845,-0.2846,0
192361221,0.031227,0.140337,0.067393,1.054559,-1.098504,2.126933,0.0961,-0.182231,-0.687373,0
192394555,0.224159,-0.13095,0.684519,-2.695487,0.043624,2.283539,0.483307,-0.000773,-1.374755,0
192427889,0.602945,0.026515,0.390932,-2.331813,1.134364,-0.54617,0.374446,0.169072,-0.333962,0
192461223,-0.739042,0.143559,-0.399677,-0.284528,0.400197,0.777189,0.208761,-0.223099,0.158312,0
192494557,-0.798585,0.619408,-0.163359,1.494531,-0.391686,-0.030162,0.529285,-0.618274,-0.451012,0
192527891,0.650513,0.954086,0.001727,1.773236,0.333854,-1.452218,1.536748,-1.009074,-2.820562,0
192561225,0.634618,0.82377,-0.940592,-0.154378,0.340842,-0.000274,0.426618,0.88982,1.919754,0
192594559,-0.213817,-7e-06,-1.25046,-0.764663,-0.607524,0.669602,0.041146,-2.250394,0.799582,0
192627893,-0.236948,-0.773985,-0.173963,0.134773,-2.007469,0.369864,0.30811,0.317629,-1.077846,0
192661227,-0.183057,-0.730217,-0.13991,-0.640425,-1.975034,1.938399,-0.758361,-0.123812,1.597483,0
192694561,-0.23889,-0.421145,0.267401,0.504968,-1.202886,0.70903,-0.227248,0.370465,0.0803,0
192727895,-0.243955,-0.085038,-0.024908,-0.47329,-0.745957,0.833449,-0.256219,0.67625,0.039167,0
192761229,0.350385,-0.18276,-0.828749,0.275946,-0.089083,-0.964045,-0.993468,0.574455,0.315341,0
192794563,0.299398,-0.065844,-0.240428,-0.316692,0.276937,-1.374181,-0.701818,1.123083,0.626756,0
192827897,0.097989,-0.106997,-0.2654,0.020077,0.59859,-1.826785,-0.837535,0.830577,-0.230275,0
192861231,0.024382,-0.089931,-0.642815,0.40705,0.156982,-0.249475,-0.8562,0.899815,-0.071935,0
192894565,0.362257,0.444903,-0.375023,1.004522,0.01776,-0.338545,-0.471242,0.546296,0.099243,0
192927899,0.148332,0.157742,-0.246862,-0.521314,0.467671,-0.724316,-0.095721,0.228042,-0.559746,0
192961233,-0.159736,-0.09348,-0.651262,-0.784503,0.554759,-0.636868,0.201701,0.209352,-1.3528,0
192994567,-0.10951,0.071531,-0.689358,-0.924032,0.707282,-0.800915,0.466972,-0.180017,-1.238856,0
193027901,0.009967,0.061485,-0.532863,-0.400254,0.666511,-1.095426,0.732557,-0.092102,-1.309373,0
193061235,0.071967,0.116507,-0.505939,0.469305,0.074491,-1.104711,0.949435,-0.170335,-1.306672,0
193094569,-0.012984,0.071618,-0.311227,0.902344,-0.252168,-0.788189,0.81671,-0.317364,-1.111572,0
193127903,0.127847,-0.078049,-0.512463,0.587895,-0.67494,-0.375627,0.644007,-0.240008,-1.37864,0
193161237,0.021393,-0.242764,-0.407115,0.351617,-0.70597,-0.169592,0.218001,-0.589133,-0.951199,0
193194571,0.132563,-0.01034,-0.245214,0.027403,-0.461555,0.087708,0.172062,-0.202084,-1.083671,0
193227905,-0.040327,-0.216348,-0.371085,-0.156733,-0.433761,0.182086,-0.109633,-0.235971,-1.026646,0
193261239,-0.055913,-0.267086,0.322118,0.112666,-0.002502,-0.058687,-0.330167,-0.768237,1.497117,0
193294573,-0.067002,-0.238915,1.558149,0.069275,0.745612,-0.664416,0.522538,0.158535,-0.313526,0
193327907,-0.094027,-0.238744,0.781357,-0.257719,0.509238,-0.12391,0.0445,-0.579749,0.752107,0
193361241,0.332379,-0.035955,-0.613071,-0.335822,-0.267678,0.47651,-0.629537,-0.162983,1.021114,0
193394575,0.245553,0.198079,-0.802021,-0.072026,-0.226452,0.171226,-0.910042,0.079768,0.458628,0
193427909,0.143843,0.049258,-0.262673,0.224207,0.086677,-0.340158,-0.550864,0.273286,0.395955,0
193461243,-0.131938,-0.110818,0.196198,0.307364,-0.053003,-0.775164,-0.141041,0.275169,0.262463,0
193494577,-0.295297,-0.24344,0.457231,0.04435,-0.273027,-0.531203,-0.138346,0.390066,0.13766,0
193527911,-0.252687,-0.426939,0.359604,-0.27533,-0.1018,-0.00771,-0.051275,0.437387,0.187147,0
193561245,0.195373,-0.138339,0.005463,-0.26769,-0.041737,0.217199,-0.026639,0.212293,0.2104,0
193594579,0.223303,0.090847,-0.106413,-0.17458,-0.058448,0.240438,0.102105,0.125201,0.045543,0
193627913,0.178816,0.138371,-0.059604,-0.117432,0.0558,0.331264,0.195548,-0.004282,0.069501,0
173360841,-0.052361,-0.125808,-0.275846,-0.292305,0.00159,-0.105703,-0.104533,-0.010951,0.348419,0
173394175,-0.318813,-0.152687,-0.163536,-0.466432,-0.158594,-0.154662,-0.290437,0.472415,0.455441,0
173427509,-0.300386,-0.219331,0.039819,-0.527586,-0.483166,0.112196,-0.189805,0.469313,0.460375,0
173460843,-0.396261,-0.420637,0.18779,-0.540733,-0.624416,0.307168,-0.555728,0.519485,0.732599,0
173494177,-0.385034,-0.530283,0.231748,-0.497081,-0.4878,0.233736,-0.986741,1.123519,0.942123,0
173527511,-0.333316,-0.4965,-0.281079,-0.307571,-0.696148,0.279035,-1.119418,1.195545,0.559639,0
173560845,-1.015443,-0.309476,-0.189241,-0.377292,-0.932672,0.326308,-1.561546,1.334749,0.393653,0
173594179,-1.864394,-0.073332,0.715822,-0.985589,-0.891194,0.93018,-1.459994,1.654151,1.105588,0
173627513,-1.535528,0.654402,1.010043,-1.289442,-0.769284,1.718336,-0.911692,1.728037,1.134411,0
173660847,-0.887019,1.103746,0.766103,-1.075035,-0.539738,1.615654,-0.811942,1.199278,1.050393,0
173694181,-1.286017,0.961279,0.449035,-1.250609,0.138593,1.16991,-0.783649,1.36859,1.465264,0
173727515,-1.360901,0.599732,0.088574,-1.004057,0.116457,0.718421,-0.233169,0.93002,0.604982,0
173760849,-1.322358,0.392757,0.104648,-0.665981,0.50322,0.196143,0.040122,0.668647,-0.311033,0
173794183,-0.741131,0.017108,0.204201,-0.327845,0.881446,-0.514111,0.517917,0.264358,-0.824657,0
173827517,-0.176044,-0.304808,-1.184945,-0.129518,0.465964,-1.468823,0.531293,-0.474259,-1.542733,0
173860851,0.477466,-0.374173,-1.301337,-0.146297,0.216821,-2.1956,1.128644,-0.567834,-2.532907,0
173894185,0.531387,-0.616631,-0.963688,-0.138526,0.569035,-1.941151,1.943566,-0.627529,-2.912796,0
173927519,1.041898,-0.395805,-1.68729,-0.940866,1.32089,-1.541877,1.96582,-1.009501,-2.277423,0
173960853,1.032678,-0.401597,-1.371573,-0.473964,1.166896,-1.904716,2.304744,-0.910086,-2.263628,0
173994187,1.2029,-0.453618,-1.878218,0.853494,0.431608,-3.041589,2.456333,-1.160969,-2.797978,0
174027521,1.001095,-0.243424,-2.959927,1.039693,-0.670862,-3.386127,1.507941,-0.944504,-3.067567,0
174060855,0.381964,-0.095998,-2.231835,0.523735,-0.532042,-2.492959,0.272732,-0.700015,-2.064485,0
174094189,0.379792,0.876338,-1.321219,0.883859,-0.452644,-2.174469,-0.489327,-0.208787,-1.767427,0
174127523,0.194965,0.65973,0.247394,1.404444,-0.24337,-0.904425,-1.251481,-0.442289,-0.537753,0
174160857,0.1784,0.256057,0.295028,1.782593,0.091716,0.057379,-1.181863,-0.370388,1.248268,0
174194191,0.567069,0.431316,0.117914,1.555211,-0.074645,0.821228,-0.888067,-0.65373,1.49942,0
174227525,0.003311,0.468342,0.227312,1.46781,-0.272763,0.745886,-1.177513,-0.759385,1.010996,0
174260859,0.268366,0.25487,-0.356171,0.866447,-0.365566,0.322632,-1.234533,-0.415845,0.88453,0
174294193,0.007229,0.443784,-0.151656,0.517503,0.3725,-0.042902,-0.851337,-0.376612,0.105536,0
174327527,0.17909,0.456847,-0.011148,0.22937,0.801713,-0.609065,-0.326696,-0.260445,-0.181052,0
174360861,0.107925,0.375536,-0.148205,-0.292333,0.805031,-0.842726,0.737234,-0.085655,-0.221174,0
174394195,0.212232,0.384576,-0.042001,-0.492584,0.73347,-0.880467,0.58064,-0.625614,-0.226412,0
174427529,0.239232,0.161283,-0.245508,-0.653043,0.350391,-0.165267,1.780332,-0.163913,-0.396421,0
174460863,0.154374,0.350897,-0.16769,-0.402993,-0.10684,0.524149,2.351308,-0.464604,-1.548291,0
174494197,-0.291458,0.184425,0.63674,-0.235754,-0.307636,1.338459,2.337085,-1.269105,-1.539077,0
174527531,-0.216086,-0.05341,0.361402,-0.576844,-0.637593,1.836231,2.093507,-1.62333,-0.564765,0
