SampleTimeFine,D_Upper_Arm_Acc_X,D_Upper_Arm_Acc_Y,D_Upper_Arm_Acc_Z,L_Wrist_Acc_X,L_Wrist_Acc_Y,L_Wrist_Acc_Z,R_Wrist_Acc_X,R_Wrist_Acc_Y,R_Wrist_Acc_Z,Activity
1630140141,0.043999,-0.177486,-1.275278,-0.060438,0.149189,-1.652192,-0.090242,-0.080348,-1.212809,1
1630173475,0.368454,-0.078237,-0.355512,-0.594579,0.138753,-1.445901,-0.459482,0.130847,-0.924619,1
1630206809,0.438577,0.069788,1.561728,-0.97199,0.151019,0.194082,-0.828037,0.244505,0.736318,1
1630240143,-0.254355,-0.168848,1.64186,-0.463208,-0.160156,1.648685,-0.612899,0.276245,1.577251,1
1630273477,-0.408622,-0.535574,0.261824,-0.053414,-0.349081,0.932512,-0.194024,0.256714,0.714194,1
1630306811,-0.087332,-0.072361,-0.588862,-0.164708,-0.039592,-0.01885,0.135277,0.24596,0.0035,1
1630340145,0.18563,0.23298,-0.307019,-0.068613,0.018707,0.082951,0.196845,0.185205,0.019971,1
1630373479,0.457633,0.323863,0.055748,0.031185,-0.090335,0.295066,-0.08024,0.015963,-0.161828,1
1630406813,0.405507,0.065557,0.241765,-0.14885,0.185226,-0.111089,-0.035141,0.128155,-0.284649,1
1630440147,0.010137,-0.076655,0.262756,-0.17981,0.553228,-0.429209,0.289003,0.127447,-0.007746,1
1630473481,-0.091924,-0.270861,0.084706,0.221202,0.665741,-0.190464,0.620743,-0.112649,0.283363,1
1630506815,-0.093922,-0.219678,-0.086772,0.40815,0.664575,-0.08754,0.901893,-0.210888,0.447116,1
1630540149,0.041262,-0.264714,0.028338,0.441118,0.683379,-0.13256,1.019282,-0.28572,0.577587,1
1630573483,0.061522,-0.289592,0.227146,0.49621,0.498816,0.049897,0.891131,-0.395632,0.668752,1
1630606817,0.067438,-0.257565,0.53734,0.649565,0.125725,0.152752,0.583042,-0.470103,0.721689,1
1630640151,0.066048,-0.093864,0.34255,0.780721,-0.121328,0.291386,0.408583,-0.426736,0.546395,1
1630673485,0.023414,0.019515,-0.039989,0.732328,-0.213639,0.097632,0.234646,-0.272545,0.146323,1
1630706819,-0.019025,0.033463,-0.13054,0.46341,-0.101589,-0.065272,0.0324,-0.16049,-0.04186,1
1630740153,-0.07014,0.03719,-0.001621,0.262201,-0.019142,-0.067531,-0.198396,-0.096197,-0.033838,1
1630773487,-0.075804,0.033406,0.14477,0.179219,-0.088967,0.050892,-0.378516,-0.023901,0.066639,1
1630806821,-0.11693,-0.029371,0.162447,0.108638,-0.166072,0.038694,-0.489655,0.080804,0.100518,1
1630840155,-0.193067,-0.069175,0.110496,-0.018095,-0.120749,-0.15146,-0.473098,0.152118,0.068319,1
1630873489,-0.253924,-0.093929,0.036176,-0.061813,0.002465,-0.230141,-0.484882,0.133752,0.048485,1
1630906823,-0.251399,-0.08941,0.059686,-0.033757,0.114471,-0.254471,-0.52503,-0.018351,0.013509,1
1630940157,-0.193055,-0.036426,0.106723,-0.054661,0.281121,-0.21832,-0.533834,-0.172792,0.045679,1
1630973491,-0.133919,0.026522,0.172951,-0.027764,0.379962,-0.123287,-0.441853,-0.254586,0.125298,1
1631006825,-0.092574,0.023513,0.165333,0.028888,0.413058,-0.007707,-0.308266,-0.262636,0.182599,1
1631040159,-0.108586,-0.001088,0.134347,0.095303,0.39947,0.028143,-0.181932,-0.27105,0.215865,1
1631073493,-0.100319,-0.006977,0.11063,0.180541,0.33096,-0.019031,-0.057774,-0.266139,0.264989,1
1631106827,-0.070977,-0.086795,0.178539,0.256966,0.215462,-0.067513,-0.001024,-0.253832,0.282769,1
1631140161,0.013439,-0.057796,0.082634,0.170851,0.122087,-0.074307,0.042612,-0.187637,0.235548,1
1631173495,0.065484,-0.057617,0.246723,0.189481,-0.033756,-0.130249,0.096383,-0.096046,0.291471,1
1631206829,0.012182,-0.07647,0.175392,0.115609,-0.071545,-0.110759,0.167933,-0.026363,0.280317,1
1631240163,-0.024129,-0.098282,0.068339,0.125802,-0.080354,-0.110498,0.139627,-0.01224,0.204831,1
1631273497,-0.023228,-0.029218,0.099484,0.098466,-0.019457,-0.0752,0.095901,0.0091,0.218244,1
1631306831,-0.055966,0.019697,0.094628,-0.00734,0.072085,-0.047166,0.046756,0.016884,0.191946,1
1631340165,-0.003477,-0.001137,0.084736,0.000483,0.122606,-0.062139,-0.051619,0.062657,0.133667,1
1631373499,0.01532,-0.02586,0.106766,-0.033339,0.183854,-0.065856,-0.074921,0.106101,0.119277,1
1631406833,0.032613,-0.009788,0.127932,-0.09311,0.287895,-0.122971,-0.075647,0.10725,0.116512,1
1631440167,0.020927,-0.026509,0.093217,-0.097273,0.366028,-0.100888,-0.089925,0.063728,0.114715,1
1631473501,0.01801,-0.039704,0.05096,-0.08579,0.365169,-0.088758,-0.065017,-1.4e-05,0.108303,1
1631506835,0.042133,-0.038881,0.104507,-0.111275,0.358909,-0.080454,-0.028135,-0.044248,0.139214,1
1631540169,0.043302,-0.020297,0.104096,-0.104268,0.297542,-0.057901,0.001774,-0.079184,0.17119,1
1631573503,0.02287,-0.028433,0.10859,-0.088958,0.215003,-0.074133,0.010983,-0.075378,0.184089,1
1631606837,0.00769,-0.006979,0.120553,-0.059267,0.177695,-0.081017,0.0354,-0.060761,0.227161,1
1631640171,0.000702,0.016775,0.090719,-0.020433,0.168028,-0.087629,0.052565,-0.043062,0.20005,1
1631673505,-0.02551,-0.004405,0.131126,-0.01457,0.18716,-0.098905,0.001871,-0.023729,0.197375,1
1631706839,0.01021,0.035556,0.033404,-0.07823,0.184775,-0.080709,0.010299,0.007723,0.140468,1
1631740173,0.058173,0.039044,0.150244,-0.038734,0.129453,-0.114594,-0.036121,0.052863,0.154889,1
1631773507,0.011582,0.079345,0.114458,-0.04491,0.164331,-0.096556,0.043425,0.056392,0.18916,1
1631806841,-0.016807,0.03071,0.045969,-0.029795,0.225595,-0.109591,-0.01613,0.06986,0.120251,1
1631840175,-0.03532,0.080529,0.035261,-0.023265,0.304106,-0.076101,-0.000657,0.066334,0.139929,1
1631873509,-0.013841,0.108939,0.045671,-0.003885,0.279431,-0.035433,-0.017089,0.096644,0.126035,1
1631906843,-0.02609,0.095731,0.060785,0.040559,0.216591,-0.039432,-0.053124,0.118912,0.141291,1
1631940177,-0.011628,0.079777,0.11914,0.013703,0.231187,-0.080171,-0.095286,0.151815,0.143704,1
1631973511,-0.039714,0.110848,0.111567,0.007604,0.247207,-0.130189,-0.073899,0.113353,0.17948,1
1632006845,-0.062059,0.061496,0.094554,0.018331,0.234352,-0.129575,-0.080597,0.095388,0.152851,1
1632040179,-0.00902,0.048825,0.107551,0.00614,0.215671,-0.14279,-0.102539,0.03341,0.184582,1
1632073513,0.013664,0.060039,0.138124,-0.046653,0.157275,-0.133462,-0.05567,0.016426,0.207845,1
1632106847,0.017524,0.021134,0.103793,-0.067123,0.139862,-0.124253,-0.0619,-0.018415,0.16456,1
1632140181,0.059938,0.016397,0.080552,-0.053572,0.098424,-0.143695,-0.052558,-0.015878,0.130576,1
1632173515,0.039782,0.029616,0.115683,-0.078784,0.156476,-0.112106,-0.039861,-0.037158,0.167499,1
1632206849,-0.006234,0.058096,0.101478,-0.1139,0.245906,-0.048391,-0.089606,0.007103,0.15906,1
1632240183,-0.067885,0.053928,0.128716,-0.117798,0.261129,0.081488,-0.102547,0.091978,0.17098,1
1632273517,-0.307257,0.012333,-0.13544,-0.019693,0.226558,-0.011116,-0.08495,0.131317,0.031917,1
1632306851,-0.324101,-0.131082,-0.224335,0.061154,0.146293,-0.20381,-0.222153,0.162704,-0.145787,1
1632340185,-0.336789,-0.026255,-0.19848,0.037684,0.162096,-0.334612,-0.219425,0.192733,-0.137795,1
1632373519,-0.363206,-0.053154,-0.115517,0.078155,0.143582,-0.289614,-0.34785,0.116897,-0.097695,1
1632406853,-0.420807,-0.136457,-0.01539,0.074418,0.036826,-0.135908,-0.447994,0.007059,-0.058914,1
1632440187,-0.459274,-0.134043,0.094525,0.013318,0.007306,0.086429,-0.499043,-0.109403,0.105323,1
1632473521,-0.501695,-0.144042,0.185379,0.128496,-0.189707,0.184295,0.11493,-0.912316,0.97963,1
1632506855,-0.433091,-0.391079,0.291125,0.150241,-0.271652,0.066097,-0.584691,-2.029639,0.552921,1
1632540189,-0.500879,-0.561499,0.53521,0.178994,-0.356122,-0.018236,-0.132604,-1.246742,0.695897,1
