SampleTimeFine,D_Upper_Arm_Acc_X,D_Upper_Arm_Acc_Y,D_Upper_Arm_Acc_Z,L_Wrist_Acc_X,L_Wrist_Acc_Y,L_Wrist_Acc_Z,R_Wrist_Acc_X,R_Wrist_Acc_Y,R_Wrist_Acc_Z,Activity
99960643,0.134129,2.422342,-0.336837,-0.27146,3.025481,-2.616028,-1.800421,-2.290808,0.681325,0
99993977,0.243927,1.976135,0.238027,0.935578,1.937074,-4.830236,-1.199986,-0.932745,-0.45352,0
100027311,0.59896,0.882786,0.009756,1.68092,1.936242,-1.695799,-0.029115,-0.023925,-2.472523,0
100060645,0.15193,-0.717478,-0.250676,1.382195,0.385579,0.307051,1.933227,0.681474,-3.299396,0
100093979,-0.279003,-2.099381,-0.223131,2.04187,-3.934815,2.0653,3.482244,1.210985,-3.066039,0
100127313,-0.103262,-2.272617,-0.028498,1.288855,-4.130461,2.379433,3.788199,1.452576,-2.998644,0
100160647,0.304385,-1.812637,0.675905,1.3048,-3.005152,2.934214,4.377989,0.890646,-2.787082,0
100193981,0.634902,-0.781272,0.351922,1.10399,-1.83557,2.451655,3.050546,0.671716,-2.169276,0
100227315,0.117487,0.829909,0.22582,0.621164,-0.736032,0.922706,0.440906,0.163647,-0.293587,0
100260649,-0.417161,2.311987,0.002151,-0.327496,0.97039,-0.76782,-2.405979,-1.818078,2.063281,0
100293983,-0.617269,2.896493,-0.831339,-1.428027,2.602206,-2.243331,-4.872643,-2.754301,6.541306,0
100327317,-0.244513,2.280741,-0.168676,0.748629,2.417579,-0.230541,-4.195698,-3.439901,5.362476,0
100360651,0.274098,1.787875,0.505104,1.124603,1.78686,-2.182614,-2.981266,-2.68272,2.692251,0
100393985,0.652587,1.729668,0.710974,0.031975,0.453769,-1.371532,-2.087417,-1.138098,0.788831,0
100427319,1.222912,1.407567,0.917174,0.411792,0.851434,-1.697355,-0.727888,-0.25258,0.185167,0
100460653,1.141839,0.188158,0.54496,2.885922,-1.473085,2.856918,2.914469,-0.066976,-1.585172,0
100493987,0.444533,-1.072711,0.039714,2.222383,-4.544617,1.475047,2.946026,0.204179,-4.12004,0
100527321,0.39528,-1.317582,0.184661,2.998163,-3.866451,1.427178,4.722044,-0.267189,-4.187749,0
100560655,0.88767,-0.287129,0.857464,2.655494,-2.449315,0.914244,3.97081,-0.412638,-4.066131,0
100593989,0.63836,1.522008,0.965441,1.897627,0.148569,1.166871,4.046253,-0.21959,-3.411981,0
100627323,0.148127,3.619077,-0.827272,1.211596,0.655724,-0.247416,0.775599,-1.393577,-1.399994,0
100660657,-1.614063,4.276178,-1.896448,-0.549423,0.924302,-1.32107,-0.392017,-4.059572,0.684614,0
100693991,-1.579733,3.133807,-2.65415,-0.603631,1.573278,-1.336684,-1.396612,-5.503553,6.201715,0
100727325,-1.489224,1.046114,-2.365737,-2.17189,2.672309,-2.00669,-2.513056,-4.849773,6.119402,0
100760659,-1.698266,-0.33512,-0.469484,-2.855871,3.029977,-2.45647,-1.230357,-2.177945,2.713971,0
100793993,-0.758522,-0.323482,0.137947,-1.474535,2.662657,-2.303582,-1.052933,0.116439,-0.214783,0
100827327,-0.358422,-0.746397,0.230814,-0.655363,-0.475995,-2.255965,-1.605547,2.28568,-1.507008,0
100860661,-0.028893,-2.4615,0.892495,-1.491921,0.362435,-1.748881,-1.746591,4.944522,-1.972973,0
100893995,1.927119,-4.872035,-0.317179,0.693409,-0.76317,5.740115,-0.0729,7.304515,-3.217166,0
100927329,2.206589,-5.361325,-0.881226,1.739879,-3.060143,3.597698,0.550258,6.987467,-5.1015,0
100960663,1.852275,-3.825153,-0.421674,-0.927568,-1.903705,2.338076,0.956773,5.989262,-6.038764,0
100993997,0.377197,-2.369683,0.084422,-3.502365,-0.410925,2.601744,-0.516844,3.805996,-3.076146,0
101027331,-1.356661,-0.470231,1.432929,-2.74599,0.753946,2.076373,-1.72188,-0.144945,2.151167,0
101060665,-0.540833,1.059896,-0.784714,-2.470965,1.984933,0.62847,-2.695646,-2.25345,6.45702,0
