SampleTimeFine,D_Leg_Acc_X,D_Leg_Acc_Y,D_Leg_Acc_Z,D_Wrist_Acc_X,D_Wrist_Acc_Y,D_Wrist_Acc_Z,Activity
598948215,0.078772,-0.728474,-0.31817,-1.184486,-7.149222,3.292416,0
598981549,0.393017,-0.997329,-0.40218,-1.513316,-6.547007,3.170068,0
599014883,0.578787,-0.802803,0.2253,-0.77653,-5.370225,2.908576,0
599048217,0.229074,-0.454683,-0.050624,-0.141851,-3.543556,2.661901,0
599081551,0.38481,-0.137244,0.640844,0.30731,-1.200151,2.449867,0
599114885,0.065517,0.543092,0.426561,0.455466,0.704273,1.318328,0
599148219,0.074101,0.148202,-0.0342,0.002255,2.001436,0.017758,0
599181553,0.313209,-0.160833,0.782719,0.239534,2.861883,-1.105405,0
599214887,0.447955,-0.382672,0.711084,-0.187336,3.372333,-2.418567,0
599248221,-0.161218,-0.301186,-0.77265,0.228737,3.772163,-3.61716,0
599281555,0.020494,-0.228394,-0.765862,0.616699,3.505937,-4.073375,0
599314889,0.152639,0.560722,-0.111713,0.56364,3.754,-3.700769,0
599348223,0.321074,0.870025,0.15239,0.696701,4.875597,-3.762966,0
599381557,-0.350914,1.629077,1.381185,0.789396,4.817986,-3.648118,0
599414891,-0.438823,-0.043485,0.256926,0.634859,4.312413,-2.612614,0
599448225,-0.160021,-0.608738,-0.76347,0.663581,3.423669,-0.186725,0
599481559,0.226095,-0.077587,-0.219191,0.144236,2.19185,1.716438,0
599514893,0.70704,-0.400058,0.802978,-0.034783,-0.114006,2.779398,0
599548227,0.130957,0.016944,0.15104,0.01249,-3.828246,3.586056,0
599581561,0.293687,0.375226,0.056714,-0.950709,-6.085773,4.44945,0
599614895,0.432452,0.403221,0.213829,-0.996605,-8.204458,5.568899,0
599648229,0.949818,-0.111508,1.01258,-3.066908,-8.159031,5.590204,0
599681563,1.059403,-0.758055,1.167761,-2.22715,-6.473062,5.033549,0
599714897,1.048411,-0.796182,0.847251,-0.943367,-3.870497,4.746117,0
599748231,0.589248,-0.233494,0.331217,-0.367433,-1.99589,3.710319,0
599781565,0.502156,-0.60183,-0.190289,-0.021372,0.062144,2.356422,0
599814899,0.514304,-0.664922,0.106491,0.502143,1.697466,0.524475,0
599848233,0.206481,0.230669,0.249586,0.606633,2.532993,-1.421056,0
599881567,0.084223,0.230492,-0.38193,0.690235,3.046881,-2.818014,0
599914901,-0.477238,0.049411,-0.520613,0.814417,3.554918,-3.618121,0
599948235,-0.328749,0.048814,1.090338,0.712287,4.228772,-4.413641,0
599981569,-1.216833,0.902687,-0.612301,0.861665,5.425258,-5.164547,0
600014903,-0.198091,-0.65758,-0.511755,-0.093928,4.87392,-5.618795,0
600048237,-0.542669,0.186396,0.170472,0.91172,5.136906,-4.846988,0
600081571,-0.337782,-0.057096,0.001728,1.244513,4.481903,-2.86478,0
600114905,-0.527947,-0.237145,-0.130379,0.631926,3.572615,0.118984,0
600148239,-0.645973,0.180669,0.161875,0.269859,1.977694,2.387031,0
600181573,-0.463249,0.373506,-0.379219,-0.25472,-0.236377,3.860045,0
600214907,-0.039473,-0.197258,-0.28117,-0.016738,-2.762918,4.43026,0
600248241,0.208311,-0.580763,0.270603,-0.672133,-4.498959,4.761384,0
600281575,0.681758,-0.3322,0.237514,-1.195547,-6.378136,3.750721,0
600314909,0.440554,-0.506423,-0.609506,-1.376187,-7.174568,3.454395,0
600348243,0.386506,-0.596536,-0.213846,-1.296855,-6.933101,3.119977,0
600381577,0.453558,-0.075964,0.335482,-0.8327,-5.998507,2.935554,0
600414911,-0.228666,-0.201216,0.496791,-0.722756,-4.036034,2.648456,0
600448245,0.09761,0.536746,0.209415,-0.094546,-1.790768,2.434779,0
600481579,0.387088,0.057458,-0.203395,0.009236,0.025044,1.497656,0
600514913,0.301569,0.230558,0.274054,0.288748,1.448152,0.184862,0
600548247,0.196165,0.234957,0.341002,0.427442,2.179276,-1.286131,0
600581581,0.560837,0.081052,0.384089,0.651187,2.742649,-2.454607,0
600614915,0.845154,-0.367568,-0.122876,0.859108,3.328225,-3.514576,0
600648249,-0.044866,-0.383888,0.14746,0.130488,3.17602,-3.814094,0
600681583,0.325024,-0.178573,0.550143,0.633745,3.980434,-3.8235,0
600714917,0.745209,-0.453914,-0.376445,0.540017,4.022268,-3.19418,0
600748251,0.770256,0.091393,0.344947,0.218712,3.314274,-2.189151,0
600781585,0.261424,0.157479,0.393345,0.191068,2.766383,-1.392359,0
600814919,0.473815,0.558354,-0.149791,0.344078,2.033677,-0.86895,0
600848253,0.526438,0.863338,-0.447068,0.294912,1.041213,0.061233,0
600881587,-0.506097,1.136335,-0.245141,0.290108,-0.256442,0.975362,0
600914921,0.011381,0.25552,0.374518,-0.045864,-1.675705,1.912746,0
600948255,0.480885,-0.212866,0.910242,-0.037016,-3.406363,2.865108,0
600981589,0.464024,-0.235205,-0.431212,-0.268369,-4.409635,3.613192,0
601014923,0.535726,-0.653128,-0.245185,-0.429955,-4.893031,3.353717,0
601048257,0.417319,-0.655178,0.168072,-0.487643,-5.035311,2.952188,0
601081591,0.315777,-0.38514,-0.270132,-0.482686,-4.136673,2.705975,0
601114925,0.536459,-0.50942,-0.064273,-0.721165,-2.773405,2.164479,0
601148259,0.052539,-0.207941,-0.124567,-0.215835,-1.443883,1.560877,0
601181593,-0.632325,-0.124953,-0.299814,-0.082732,-0.160056,0.428723,0
601214927,-0.162934,-0.215511,-0.063721,0.022624,0.806366,-0.9435,0
601248261,-0.424058,-0.227661,-0.150573,0.207023,1.530975,-2.161077,0
601281595,0.461742,-0.627484,0.108174,0.392677,2.033717,-3.159293,0
