SampleTimeFine,D_Leg_Acc_X,D_Leg_Acc_Y,D_Leg_Acc_Z,D_Wrist_Acc_X,D_Wrist_Acc_Y,D_Wrist_Acc_Z,Activity
2550419990,0.288369,-0.323827,0.587691,0.539045,-1.051584,-1.338824,0
2550453324,0.631384,-0.689208,0.009478,0.353715,-2.539314,-3.115054,0
2550486658,0.120613,-0.670501,-0.286192,-0.503241,-2.291895,-3.430343,0
2550519992,-0.182174,-0.500315,-0.111029,0.157856,-1.682518,-1.663934,0
2550553326,-0.263688,-0.856906,-0.348988,0.083554,-1.199437,-0.170161,0
2550586660,-0.686107,-0.770845,-0.385641,-0.340313,0.219688,1.573293,0
2550619994,-1.114956,-0.753415,0.062676,-0.488359,1.441571,2.046311,0
2550653328,-1.10858,-0.105409,0.441754,-0.871668,2.202102,2.37467,0
2550686662,-0.762408,-0.363301,0.284643,-0.603768,2.360892,1.996541,0
2550719996,-0.183193,0.098682,-0.655223,0.245296,1.401013,1.284445,0
2550753330,0.022602,0.358445,-0.769574,0.579919,0.174449,-0.770873,0
2550786664,0.019109,0.534939,-0.335204,0.499618,-0.956652,-2.481581,0
2550819998,0.297722,1.378713,-0.027411,0.558505,-1.178303,-3.672228,0
2550853332,-0.117746,1.565604,0.009482,0.4974,-1.356888,-3.957948,0
2550886666,0.188716,1.716053,-0.114718,0.390518,-1.615353,-3.700303,0
2550920000,0.45152,1.114019,-0.250141,0.244345,-1.292984,-2.254401,0
2550953334,0.263877,0.611921,-0.34875,0.55292,-0.541638,-1.127246,0
2550986668,0.403867,0.826262,-0.084607,0.407542,0.108603,0.861614,0
2551020002,0.497279,0.968189,0.28373,-0.145609,1.043074,1.782699,0
2551053336,0.174975,0.565054,0.246282,-0.278808,1.710472,2.096077,0
2551086670,-0.666359,0.175532,-0.460247,-0.101497,1.577947,1.605128,0
2551120004,-0.756121,-0.564605,-0.536724,0.223241,1.375615,1.228247,0
2551153338,0.182573,-1.122772,-0.668959,0.560252,0.787206,0.479075,0
2551186672,0.834128,-0.431686,-0.385606,0.840815,0.239698,-0.51669,0
2551220006,0.667066,-0.741436,-0.593561,0.83666,-0.189809,-1.535817,0
2551253340,0.357986,-0.842304,-0.570823,0.890224,-0.4833,-2.110875,0
2551286674,0.690944,-0.933736,-0.408285,0.861623,-0.739649,-2.667017,0
2551320008,0.374678,0.190102,-0.43917,0.623743,-1.114473,-2.531902,0
2551353342,-0.965941,0.87384,-0.595517,0.701671,-1.267941,-2.229041,0
2670889066,-0.13166,-0.214688,-1.423058,0.029061,-0.15425,-1.610137,0
2670922400,0.240795,2.365044,-0.355416,0.039197,-0.122108,-1.865883,0
2670955734,0.397564,3.254668,2.10794,0.308093,-0.78353,-2.24565,0
2670989068,1.495693,0.640042,0.70729,0.435707,-0.639443,-3.043259,0
2671022402,0.128491,-1.320213,-0.444919,-0.25612,-0.641508,-3.807319,0
2671055736,-1.07022,-1.772136,0.318968,-0.374362,-0.643061,-2.929419,0
2671089070,-1.876419,-0.994992,-0.728497,-0.11457,-0.496106,-0.811397,0
2671122404,-0.219078,-0.425585,-1.632021,-0.172671,0.523036,1.782586,0
2671155738,0.230945,0.191126,-0.078997,-0.242144,1.526935,3.18866,0
2671189072,0.769657,-0.120521,0.867266,-0.275206,1.65227,3.933289,0
2671222406,-0.467642,-0.327686,-0.697147,-0.320776,1.043076,2.947356,0
2671255740,-0.703627,0.095602,-0.321334,-0.061,-0.274491,1.713199,0
