SampleTimeFine,D_Leg_Acc_X,D_Leg_Acc_Y,D_Leg_Acc_Z,D_Wrist_Acc_X,D_Wrist_Acc_Y,D_Wrist_Acc_Z,Activity
1953708056,-3.939445,-0.855177,-0.006003,-0.747186,0.657695,0.696004,0
1953741390,0.214248,-0.387579,0.502344,-1.185004,-0.651611,0.36715,0
1953774724,4.199154,-0.438414,0.772448,0.0456,-0.785087,-0.1887,0
1953808058,4.053321,-0.085819,-0.323648,0.534111,-0.184039,0.492237,0
1953841392,0.96643,0.268983,0.007348,-0.667634,0.276421,0.602323,0
1953874726,-0.008667,-0.042123,0.094151,-1.589117,-0.253527,0.16638,0
1953908060,-0.935413,0.2704,-0.16064,-0.573481,0.748251,-0.524712,0
1953941394,0.185549,-0.043464,-0.270162,-0.356251,1.322039,-0.360994,0
1953974728,0.358854,-0.279575,-0.127555,-0.297051,0.182255,-0.349197,0
1954008062,-0.378022,-0.213255,-0.295185,0.13528,-0.242542,-0.575182,0
1954041396,-0.165536,-0.00908,-0.010914,-0.325904,0.351472,-0.53746,0
1954074730,-0.3844,-0.409864,-0.343124,0.896553,0.204787,0.042211,0
1954108064,-0.388148,-0.283138,-0.07625,0.470925,0.835194,-0.436415,0
1954141398,-0.152752,-0.216159,0.158931,-1.078624,0.344803,-0.896106,0
1954174732,-0.177262,0.185247,-0.10693,-0.551385,-0.08167,-0.99764,0
1954208066,-0.734971,0.271152,-0.317503,-1.11566,0.470104,-1.282612,0
1954241400,0.155125,0.171568,-0.162996,-1.334093,-0.823341,-1.608491,0
1954274734,-0.52926,0.394811,-0.293728,-0.541309,0.726003,-1.262486,0
1954308068,0.392347,0.063898,-0.819071,-1.311079,1.012674,-0.506304,0
1954341402,0.431253,-0.058844,-0.071488,-0.996927,-0.531582,-0.856175,0
1954374736,-0.083137,0.259226,0.271423,-0.939848,0.02292,-1.235579,0
1954408070,-0.260668,-0.231231,-0.216779,-1.31177,0.313441,-0.28433,0
1954441404,-0.971565,-0.35319,-0.041901,-1.032578,-0.806266,-0.815704,0
1954474738,-0.317892,-0.034211,0.075222,-0.856047,0.3157,-0.13785,0
1954508072,-0.03212,-0.03745,-0.299542,-0.525398,0.750892,-0.433993,0
1954541406,-0.22043,-0.288094,-0.098792,-0.522657,-0.966053,-0.532637,0
1954574740,0.104124,0.062997,0.01808,-0.48946,0.535119,0.384675,0
1954608074,0.457356,-0.389425,-0.202132,0.025188,1.081599,0.186302,0
1954641408,0.421365,-0.195798,-0.075438,-0.629354,-0.291562,-1.031242,0
1954674742,0.403612,0.05048,0.084726,-0.733936,-0.153023,-0.202107,0
1954708076,-0.052347,-0.588784,-0.323481,-0.580592,-0.529094,-0.612799,0
1954741410,-0.440845,-0.805333,0.310801,-1.522863,-1.073096,-1.267474,0
1954774744,-0.628308,-0.529445,0.764945,0.780471,0.802777,0.812886,0
1954808078,0.140155,-0.586896,-0.065691,-0.126713,1.139139,-0.703419,0
1954841412,0.822224,-0.071923,0.009963,-0.652112,-0.039382,-0.743753,0
1954874746,1.496139,-0.294291,0.216488,1.171465,-0.235271,0.375578,0
1954908080,0.727625,0.087282,-0.127076,1.344216,-0.032397,0.629074,0
1954941414,-0.084823,-0.887749,-0.347185,0.716327,-0.575151,-0.047157,0
1954974748,-0.548723,-1.023783,0.111985,1.276179,-0.379497,0.15199,0
1955008082,0.456949,-0.123406,0.160897,1.189303,0.426967,0.824608,0
1955041416,0.049149,-0.269394,-0.591418,1.3462,0.345401,0.228531,0
1955074750,-0.556899,0.365268,-0.409068,1.659288,0.447756,-0.08013,0
1955108084,-0.87788,0.283138,0.104574,1.719177,0.583389,-0.291597,0
2215413290,0.127398,-0.022925,0.133599,-0.192122,-0.304866,-0.072003,0
2215446624,0.212936,0.000419,0.09611,-0.124104,-0.540694,0.101597,0
2215479958,0.239593,-0.052583,0.092568,0.11095,-0.572628,0.206178,0
2215513292,0.092583,-0.034821,0.128094,0.086945,-0.164045,-0.095698,0
2215546626,0.042047,0.114508,0.170633,0.036546,-0.032239,-0.166254,0
2215579960,-0.002496,-0.003832,0.166458,-0.011087,-0.035071,0.086612,0
2215613294,-0.091273,-0.102465,0.132909,-0.026974,0.008593,-0.13166,0
2215646628,-0.011099,-0.073542,0.127257,-0.083509,0.116436,-0.100515,0
2215679962,0.024797,0.002098,0.175013,-0.049866,0.140785,-0.080608,0
2215713296,0.111563,-0.047968,0.134566,-0.119908,0.146676,-0.140807,0
2215746630,0.17951,-0.109357,0.100971,-0.089207,0.071168,-0.062989,0
2215779964,0.176101,-0.133908,0.132778,-0.140559,0.074909,-0.10701,0
2215813298,0.1217,-0.002114,0.098022,-0.07527,-0.00324,-0.019382,0
2215846632,0.015918,0.031598,0.145763,-0.079699,0.007066,-0.045033,0
2215879966,0.023314,0.05381,0.141222,-0.095574,0.000112,-0.068452,0
2215913300,0.079264,0.086226,0.131415,-0.17532,0.071683,-0.021852,0
2215946634,0.079135,0.026586,0.104769,-0.178575,0.103262,-0.020044,0
2215979968,0.13559,-0.074326,0.120631,-0.169174,0.018485,0.017122,0
2216013302,0.085234,-0.03226,0.121123,-0.111902,0.067407,0.006487,0
2216046636,0.057576,0.034302,0.173482,-0.159929,0.02154,0.021369,0
2216079970,0.053852,3.3e-05,0.144744,-0.118181,-0.045263,0.004827,0
2216113304,0.091842,-0.034519,0.141224,-0.146332,0.004675,-0.032841,0
2216146638,0.017767,-0.039536,0.127099,-0.135212,-0.078694,-0.000279,0
2216179972,0.082745,-0.019598,0.119512,-0.085294,-0.051715,-0.068958,0
2216213306,0.11636,0.014677,0.112074,-0.057455,-0.069078,-0.063902,0
2216246640,0.102962,0.020357,0.148124,-0.099909,-0.114962,-0.003263,0
2216279974,0.099741,-0.038914,0.120852,-0.137088,-0.041283,-0.032762,0
2216313308,0.057044,-0.05688,0.115995,-0.108331,-0.075145,-0.005613,0
2216346642,0.042664,0.015229,0.133025,-0.041611,-0.138664,-0.008741,0
2216379976,0.080662,-0.021042,0.137929,-0.096844,-0.109278,-0.074409,0
2216413310,0.063001,0.009061,0.120146,-0.080134,-0.079009,0.053449,0
2216446644,0.035969,0.021547,0.1095,-3.1e-05,-0.091305,-0.01664,0
2216479978,0.048604,0.006856,0.151813,-0.028722,-0.106936,-0.037513,0
2216513312,0.039332,0.011964,0.143408,-0.020129,-0.088452,-0.017016,0
2216546646,0.088446,-0.057215,0.101819,-0.01486,-0.067346,-0.054462,0
2216579980,0.102103,-0.016581,0.119871,-0.047801,-0.062693,-0.058511,0
2216613314,0.122225,0.025137,0.136132,-0.090131,-0.150971,-0.078882,0
2216646648,0.037109,-0.022304,0.134707,-0.107882,-0.063964,-0.110854,0
2216679982,0.089267,-0.048583,0.121729,-0.126033,-0.138297,-0.08784,0
2216713316,0.110343,0.002567,0.114348,-0.141058,-0.093804,-0.132753,0
2216746650,0.062467,0.018786,0.133708,-0.149381,-0.032368,-0.014544,0
2216779984,0.027987,0.023938,0.162887,-0.147668,0.034835,0.102533,0
2216813318,0.064521,-0.031455,0.151126,-0.066515,-0.041995,0.157217,0
2216846652,0.053753,-0.05046,0.117447,-0.096757,-0.109633,0.083958,0
2216879986,0.007961,-0.000337,0.135053,-0.139009,-0.030789,0.078381,0
2216913320,0.119292,-0.010632,0.119674,-0.125614,-0.14201,-0.013632,0
2216946654,0.096961,0.054206,0.101289,-0.16853,-0.105595,0.018183,0
